                        solution  feasible  violations  trip_count  box_count  multi_stop_trip_count   makespan_s  total_energy_kwh  weighted_delay  on_expected_time_count  on_expected_time_rate  minimum_hard_deadline_slack_s  minimum_energy_margin_kwh
          Q2_moead_schedule_P001     False          11          20         80                      1  9627.836572         62.732217    5.580577e+04                      75                 0.9375                     205.960771                   0.216368
 Q2_moead_schedule_P001_repaired      True           0          20         80                      1  9630.501664         62.732217    5.597203e+04                      75                 0.9375                     205.843450                   0.216368
          Q2_moead_schedule_P002     False          12          20         80                      2  9561.836572         64.280477    1.512692e+04                      76                 0.9500                      -0.259491                   0.127035
 Q2_moead_schedule_P002_repaired      True           0          20         80                      2  9564.501664         64.280477    1.520127e+04                      77                 0.9625                     202.372882                   0.127035
          Q2_moead_schedule_P003     False          13          21         80                      1  9176.883741         62.304853    4.992381e+04                      77                 0.9625                     139.960771                   0.211792
 Q2_moead_schedule_P003_repaired      True           0          21         80                      1  9179.548833         62.304853    5.000376e+04                      77                 0.9625                     139.843450                   0.211792
          Q2_moead_schedule_P004     False          11          22         80                      1  9044.883741         63.138902    5.925672e+04                      76                 0.9500                     139.960771                   0.211792
 Q2_moead_schedule_P004_repaired      True           0          22         80                      1  9047.548833         63.138902    5.617337e+04                      76                 0.9500                     139.843450                   0.211792
          Q2_moead_schedule_P005     False          12          22         80                      1  8943.883741         64.532026    6.455791e+04                      75                 0.9375                     202.531340                   0.211792
 Q2_moead_schedule_P005_repaired      True           0          22         80                      1  8946.160885         64.532026    6.106921e+04                      75                 0.9375                     202.372882                   0.211792
          Q2_moead_schedule_P006     False          13          22         80                      1  8930.883741         64.845166    6.416791e+04                      75                 0.9375                     202.531340                   0.038547
 Q2_moead_schedule_P006_repaired      True           0          22         80                      1  8932.416563         64.845166    6.065688e+04                      75                 0.9375                     202.372882                   0.038547
          Q2_moead_schedule_P007     False          13          22         80                      2  8815.051067         65.605706    2.241961e+03                      78                 0.9750                     205.960771                   0.038547
 Q2_moead_schedule_P007_repaired      True           0          22         80                      2  8816.924907         65.605706    2.233225e+03                      78                 0.9750                     205.843450                   0.038547
          Q2_moead_schedule_P008     False          13          22         80                      2  8677.633500         65.620273    5.921961e+03                      78                 0.9750                     205.960771                   0.038547
 Q2_moead_schedule_P008_repaired      True           0          22         80                      2  8679.735334         65.620273    3.524286e+03                      78                 0.9750                     205.843450                   0.038547
          Q2_moead_schedule_P009     False           9          22         80                      4  8662.351266         65.925511    4.034002e+04                      75                 0.9375                     503.323984                   0.189549
 Q2_moead_schedule_P009_repaired      True           0          22         80                      4  8665.113350         65.925511    3.739871e+04                      76                 0.9500                     502.286244                   0.189549
          Q2_moead_schedule_P010     False          12          22         80                      3  8617.633500         66.834212    0.000000e+00                      80                 1.0000                     202.531340                   0.038547
 Q2_moead_schedule_P010_repaired      True           0          22         80                      3  8619.735334         66.834212    0.000000e+00                      80                 1.0000                     202.372882                   0.038547
          Q2_moead_schedule_P011     False          11          22         80                      3  8416.962197         67.166670    0.000000e+00                      80                 1.0000                     202.531340                   0.038547
 Q2_moead_schedule_P011_repaired      True           0          22         80                      3  8417.525358         67.166670    0.000000e+00                      80                 1.0000                     202.372882                   0.038547
          Q2_moead_schedule_P012     False          11          22         80                      3  8407.836572         67.807001    2.741584e+04                      77                 0.9625                     202.531340                   0.032439
 Q2_moead_schedule_P012_repaired      True           0          22         80                      3  8410.418682         67.807001    1.938465e+04                      77                 0.9625                     202.372882                   0.032439
          Q2_moead_schedule_P013     False          13          23         80                      1  8956.883741         64.123655    5.661672e+04                      76                 0.9500                     202.531340                   0.211792
 Q2_moead_schedule_P013_repaired      True           0          23         80                      1  8959.521974         64.123655    5.353256e+04                      76                 0.9500                     202.372882                   0.211792
          Q2_moead_schedule_P014     False          11          23         80                      1  8923.883741         64.185232    4.233381e+04                      77                 0.9625                     191.363657                   0.211792
 Q2_moead_schedule_P014_repaired      True           0          23         80                      1  8927.304534         64.185232    4.243643e+04                      77                 0.9625                     195.177069                   0.211792
          Q2_moead_schedule_P015     False          13          23         80                      3  8809.633500         64.600400    7.024722e+00                      76                 0.9500                      -0.140494                   0.189549
 Q2_moead_schedule_P015_repaired      True           0          23         80                      3  8811.143272         64.600400    0.000000e+00                      80                 1.0000                      86.849172                   0.189549
          Q2_moead_schedule_P016     False          12          23         80                      3  8608.051067         64.646336    2.799381e+04                      77                 0.9625                      44.873129                   0.189549
 Q2_moead_schedule_P016_repaired      True           0          23         80                      3  8610.890358         64.646336    2.809514e+04                      77                 0.9625                      44.532141                   0.189549
          Q2_moead_schedule_P017     False           8          23         80                      3  8040.051067         64.932858    1.709791e+04                      75                 0.9375                     227.092968                   0.189549
 Q2_moead_schedule_P017_repaired      True           0          23         80                      3  8040.497898         64.932858    1.718862e+04                      75                 0.9375                     225.901135                   0.189549
          Q2_moead_schedule_P018     False          11          23         80                      3  7971.764693         64.977117    3.464101e+03                      78                 0.9750                     286.859506                   0.189549
 Q2_moead_schedule_P018_repaired      True           0          23         80                      3  7973.410650         64.977117    3.497021e+03                      78                 0.9750                     285.667673                   0.189549
          Q2_moead_schedule_P019     False          12          23         80                      3  7946.051067         64.978794    1.486454e+04                      76                 0.9500                     227.092968                   0.189549
 Q2_moead_schedule_P019_repaired      True           0          23         80                      3  7948.427255         64.978794    1.346034e+04                      76                 0.9500                     225.901135                   0.189549
          Q2_moead_schedule_P020     False          10          23         80                      2  7929.883741         64.981679    1.402719e+04                      74                 0.9250                      -0.382550                   0.189549
 Q2_moead_schedule_P020_repaired      True           0          23         80                      2  7932.143965         64.981679    1.258161e+04                      77                 0.9625                      86.849172                   0.189549
