external_box,original_box
B001,S001-MED-01
B002,S001-MED-02
B003,S001-WAT-01
B004,S001-WAT-02
B005,S001-WAT-03
B006,S001-WAT-04
B007,S001-WAT-05
B008,S001-WAT-06
B009,S001-WAT-07
B010,S001-WAT-08
B011,S001-FOD-01
B012,S001-FOD-02
B013,S001-FOD-03
B014,S001-HYG-01
B015,S001-HYG-02
B016,S002-MED-01
B017,S002-WAT-01
B018,S002-WAT-02
B019,S002-WAT-03
B020,S002-WAT-04
B021,S002-FOD-01
B022,S002-FOD-02
B023,S002-HYG-01
B024,S003-MED-01
B025,S003-WAT-01
B026,S003-WAT-02
B027,S003-WAT-03
B028,S003-WAT-04
B029,S003-FOD-01
B030,S003-FOD-02
B031,S003-HYG-01
B032,S004-MED-01
B033,S004-WAT-01
B034,S004-WAT-02
B035,S004-WAT-03
B036,S004-FOD-01
B037,S004-HYG-01
B038,S005-MED-01
B039,S005-WAT-01
B040,S005-WAT-02
B041,S005-WAT-03
B042,S005-FOD-01
B043,S005-HYG-01
B044,S006-MED-01
B045,S006-WAT-01
B046,S006-WAT-02
B047,S006-WAT-03
B048,S006-FOD-01
B049,S006-HYG-01
B050,S007-MED-01
B051,S007-WAT-01
B052,S007-WAT-02
B053,S007-FOD-01
B054,S007-HYG-01
B055,S008-MED-01
B056,S008-WAT-01
B057,S008-WAT-02
B058,S008-FOD-01
B059,S008-HYG-01
B060,S009-MED-01
B061,S009-WAT-01
B062,S009-FOD-01
B063,S010-MED-01
B064,S010-WAT-01
B065,S010-FOD-01
B066,S011-MED-01
B067,S011-WAT-01
B068,S011-FOD-01
B069,S012-MED-01
B070,S012-WAT-01
B071,S012-FOD-01
B072,S013-MED-01
B073,S013-WAT-01
B074,S013-FOD-01
B075,S014-MED-01
B076,S014-WAT-01
B077,S014-FOD-01
B078,S015-MED-01
B079,S015-WAT-01
B080,S015-FOD-01
