solution,feasible,violations,trip_count,box_count,multi_stop_trip_count,makespan_s,total_energy_kwh,weighted_delay,on_expected_time_count,on_expected_time_rate,minimum_hard_deadline_slack_s,minimum_energy_margin_kwh
Q2_moead_schedule_P001,False,11,20,80,1,9627.8365721046,62.7322166278873,55805.767456874135,75,0.9375,205.960771185637,0.21636789711855364
Q2_moead_schedule_P001_repaired,True,0,20,80,1,9630.501664331274,62.7322166278873,55972.030524309026,75,0.9375,205.84345025104358,0.21636789711855364
Q2_moead_schedule_P002,False,12,20,80,2,9561.8365721046,64.28047726435628,15126.920006644526,76,0.95,-0.2594907262705419,0.12703493028702084
Q2_moead_schedule_P002_repaired,True,0,20,80,2,9564.501664331274,64.28047726435629,15201.269402906582,77,0.9625,202.3728819039775,0.12703493028702084
Q2_moead_schedule_P003,False,13,21,80,1,9176.883741195285,62.304852782154036,49923.80611792931,77,0.9625,139.960771185637,0.21179200885197247
Q2_moead_schedule_P003_repaired,True,0,21,80,1,9179.548833421959,62.30485278215403,50003.75888472954,77,0.9625,139.84345025104358,0.21179200885197247
Q2_moead_schedule_P004,False,11,22,80,1,9044.883741195285,63.138902020844235,59256.718543720584,76,0.95,139.960771185637,0.21179200885197247
Q2_moead_schedule_P004_repaired,True,0,22,80,1,9047.548833421959,63.138902020844235,56173.37034750919,76,0.95,139.84345025104358,0.21179200885197247
Q2_moead_schedule_P005,False,12,22,80,1,8943.883741195285,64.53202608895764,64557.90761121047,75,0.9375,202.53133953270344,0.21179200885197247
Q2_moead_schedule_P005_repaired,True,0,22,80,1,8946.160885128382,64.53202608895764,61069.210651618036,75,0.9375,202.3728819039775,0.21179200885197247
Q2_moead_schedule_P006,False,13,22,80,1,8930.883741195285,64.84516566949871,64167.90761121047,75,0.9375,202.53133953270344,0.03854697867147294
Q2_moead_schedule_P006_repaired,True,0,22,80,1,8932.416562960174,64.8451656694987,60656.8809865718,75,0.9375,202.3728819039775,0.03854697867147294
Q2_moead_schedule_P007,False,13,22,80,2,8815.051067070412,65.60570599981737,2241.961338944875,78,0.975,205.960771185637,0.03854697867147294
Q2_moead_schedule_P007_repaired,True,0,22,80,2,8816.924906828994,65.60570599981736,2233.224572507188,78,0.975,205.84345025104358,0.03854697867147294
Q2_moead_schedule_P008,False,13,22,80,2,8677.63349962541,65.62027305674069,5921.961338944875,78,0.975,205.960771185637,0.03854697867147294
Q2_moead_schedule_P008_repaired,True,0,22,80,2,8679.735333683731,65.62027305674069,3524.286092660186,78,0.975,205.84345025104358,0.03854697867147294
Q2_moead_schedule_P009,False,9,22,80,4,8662.351266022946,65.9255114916127,40340.01625010171,75,0.9375,503.3239839838816,0.1895493558598309
Q2_moead_schedule_P009_repaired,True,0,22,80,4,8665.113349503543,65.9255114916127,37398.70749012654,76,0.95,502.28624381260033,0.1895493558598309
Q2_moead_schedule_P010,False,12,22,80,3,8617.63349962541,66.83421232941802,0.0,80,1.0,202.53133953270344,0.03854697867147294
Q2_moead_schedule_P010_repaired,True,0,22,80,3,8619.735333683731,66.83421232941802,0.0,80,1.0,202.3728819039775,0.03854697867147294
Q2_moead_schedule_P011,False,11,22,80,3,8416.962196563587,67.16667023276372,0.0,80,1.0,202.53133953270344,0.03854697867147294
Q2_moead_schedule_P011_repaired,True,0,22,80,3,8417.525358241703,67.16667023276374,0.0,80,1.0,202.3728819039775,0.03854697867147294
Q2_moead_schedule_P012,False,11,22,80,3,8407.8365721046,67.80700117068388,27415.83848474092,77,0.9625,202.53133953270344,0.03243874896773846
Q2_moead_schedule_P012_repaired,True,0,22,80,3,8410.418681603842,67.80700117068388,19384.649639776082,77,0.9625,202.3728819039775,0.03243874896773846
Q2_moead_schedule_P013,False,13,23,80,1,8956.883741195285,64.12365544390236,56616.71854372058,76,0.95,202.53133953270344,0.21179200885197247
Q2_moead_schedule_P013_repaired,True,0,23,80,1,8959.521973804203,64.12365544390235,53532.56455897641,76,0.95,202.3728819039775,0.21179200885197247
Q2_moead_schedule_P014,False,11,23,80,1,8923.883741195285,64.1852317561001,42333.80611792931,77,0.9625,191.36365725706492,0.21179200885197247
Q2_moead_schedule_P014_repaired,True,0,23,80,1,8927.304534463521,64.18523175610008,42436.429915976296,77,0.9625,195.17706945720965,0.21179200885197247
Q2_moead_schedule_P015,False,13,23,80,3,8809.63349962541,64.60040010520149,7.024721818788748,76,0.95,-0.14049443637577497,0.1895493558598309
Q2_moead_schedule_P015_repaired,True,0,23,80,3,8811.143271828927,64.60040010520149,0.0,80,1.0,86.84917241503854,0.1895493558598309
Q2_moead_schedule_P016,False,12,23,80,3,8608.051067070412,64.64633586308595,27993.806117929278,77,0.9625,44.873129402357335,0.1895493558598309
Q2_moead_schedule_P016_repaired,True,0,23,80,3,8610.890358155646,64.64633586308595,28095.136422626783,77,0.9625,44.53214052960584,0.1895493558598309
Q2_moead_schedule_P017,False,8,23,80,3,8040.051067070412,64.9328580085472,17097.907611210438,75,0.9375,227.09296755979904,0.1895493558598309
Q2_moead_schedule_P017_repaired,True,0,23,80,3,8040.497898377545,64.9328580085472,17188.622531435693,75,0.9375,225.90113466766252,0.1895493558598309
Q2_moead_schedule_P018,False,11,23,80,3,7971.764692772957,64.97711675450057,3464.1014932811595,78,0.975,286.8595055636242,0.1895493558598309
Q2_moead_schedule_P018_repaired,True,0,23,80,3,7973.410650077971,64.97711675450057,3497.0206393814624,78,0.975,285.6676726714877,0.1895493558598309
Q2_moead_schedule_P019,False,12,23,80,3,7946.051067070412,64.97879376643166,14864.54311432486,76,0.95,227.09296755979904,0.1895493558598309
Q2_moead_schedule_P019_repaired,True,0,23,80,3,7948.427254607826,64.97879376643166,13460.336356036232,76,0.95,225.90113466766252,0.1895493558598309
Q2_moead_schedule_P020,False,10,23,80,2,7929.883741195285,64.98167884536592,14027.189085283931,74,0.925,-0.38255043139133704,0.1895493558598309
Q2_moead_schedule_P020_repaired,True,0,23,80,2,7932.143965170401,64.9816788453659,12581.612837182756,77,0.9625,86.84917241503854,0.1895493558598309
Q2_moead_schedule_P021,False,10,23,80,4,7821.340988872751,65.75678030996484,2913.80611792928,77,0.9625,63.74050927372946,0.1895493558598309
Q2_moead_schedule_P021_repaired,True,0,23,80,4,7822.030962259409,65.75678030996482,2996.6686223471515,77,0.9625,98.16953217696755,0.1895493558598309
Q2_moead_schedule_P022,False,10,23,80,3,7610.340988872751,66.19395031595936,40109.543109389044,76,0.95,309.8595055636242,0.03854697867147294
Q2_moead_schedule_P022_repaired,True,0,23,80,3,7612.645824675881,66.19395031595936,13440.343051824373,76,0.95,328.9807346350144,0.03854697867147294
Q2_moead_schedule_P023,False,14,24,80,3,7590.836572104598,67.27264226009049,933.8061179292799,77,0.9625,343.2233920025119,0.03854697867147294
Q2_moead_schedule_P023_repaired,True,0,24,80,3,7591.219759801362,67.27264226009049,0.0,80,1.0,341.4406109882848,0.03854697867147294
Q2_moead_schedule_P024,False,11,25,80,3,7589.836572104598,69.08684502838267,38293.2801008488,75,0.9375,146.74050927372946,0.03854697867147294
Q2_moead_schedule_P024_repaired,True,0,25,80,3,7590.674450216154,69.08684502838267,12625.25549095395,79,0.9875,146.51215457825174,0.03854697867147294
Q2_moead_schedule_P025,False,14,25,80,3,7477.883741195285,69.22242759609328,11011.736991459762,79,0.9875,681.5313395327034,0.03854697867147294
Q2_moead_schedule_P025_repaired,True,0,25,80,3,7480.645824675881,69.22242759609328,0.0,80,1.0,681.1929079226252,0.03854697867147294
Q2_moead_schedule_P026,False,8,25,80,4,7308.472032032237,70.25387527092214,0.0,80,1.0,503.3239839838816,0.03854697867147294
Q2_moead_schedule_P026_repaired,True,0,25,80,4,7309.509772203518,70.25387527092212,0.0,80,1.0,502.28624381260033,0.03854697867147294
Q2_moead_schedule_P027,False,12,25,80,4,6869.099882661642,70.67631472165525,36963.473982919524,78,0.975,369.0023314889809,0.03854697867147294
Q2_moead_schedule_P027_repaired,True,0,25,80,4,6869.724400479458,70.67631472165525,36734.967606777005,78,0.975,458.2118014494008,0.03854697867147294
Q2_joint_schedule_E,False,13,21,80,1,9176.883741195285,62.304852782154036,49923.80611792931,77,0.9625,139.960771185637,0.21179200885197247
Q2_joint_schedule_E_repaired,True,0,21,80,1,9179.548833421959,62.30485278215403,50003.75888472954,77,0.9625,139.84345025104358,0.21179200885197247
Q2_joint_schedule_N,False,12,20,80,2,9561.8365721046,64.28047726435628,15126.920006644526,76,0.95,-0.2594907262705419,0.12703493028702084
Q2_joint_schedule_N_repaired,True,0,20,80,2,9564.501664331274,64.28047726435629,15201.269402906582,77,0.9625,202.3728819039775,0.12703493028702084
Q2_joint_schedule_T,False,10,24,80,4,7721.051067070412,67.44182539210448,2984.5431143248607,76,0.95,117.74050927372946,0.1895493558598309
Q2_joint_schedule_T_repaired,True,0,24,80,4,7719.806017324852,67.44182539210448,3086.791799200082,76,0.95,116.97223212015933,0.1895493558598309
Q2_anchor_Cmax_schedule,False,19,31,80,6,7367.969660086773,84.95499831855867,78471.01684554755,76,0.95,59.17199435415296,0.27740695805320037
Q2_anchor_Cmax_schedule_repaired,True,0,31,80,6,7369.085897772538,84.95499831855867,78528.99211412304,76,0.95,59.11156198597246,0.27740695805320037
Q2_anchor_E_schedule,False,22,32,80,5,22087.326018819203,77.8887733815017,1825819.8864603941,52,0.65,18.335195393014146,0.10547014274446687
Q2_anchor_E_schedule_repaired,True,0,32,80,5,22093.929649130172,77.8887733815017,1827102.858164966,52,0.65,14.887247820632183,0.10547014274446687
Q2_anchor_F1_schedule,False,24,44,80,9,12126.33364640423,119.44258726140944,0.0,80,1.0,75.89317679788564,0.019397095627677885
Q2_anchor_F1_schedule_repaired,True,0,44,80,9,11944.367902099359,119.44258726140946,0.0,80,1.0,95.23015928199902,0.019397095627677885
Q2_anchor_N_schedule,False,21,29,80,7,12370.883741195285,89.48569821547805,791390.9814172869,66,0.825,118.87312940235734,0.13584442671647823
Q2_anchor_N_schedule_repaired,True,0,29,80,7,12375.015354366758,89.48569821547805,791933.980107245,66,0.825,118.47540990666448,0.13584442671647823
local_baseline,True,0,25,80,14,7999.3602268442555,87.55055768048484,70443.62115062858,73,0.9125,1649.5766595985592,0.03401380519633079
local_improved,True,0,25,80,14,7993.355462971289,86.34817428329802,31830.130286444655,76,0.95,968.4276071234772,0.12927103176289112
