电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
C-B01,C,OPT-001,0.0,1561.8837411952854,0.613221601651024,1671.3531964227811,3233.236937618067
C-B02,C,OPT-002,0.0,1429.8837411952854,0.7136649091526222,1453.7260301693188,2883.609771364604
B-B01,B,OPT-003,0.0,1564.7453695624845,0.619747251033673,1325.7714315416333,2890.516801104118
A-B01,A,OPT-004,0.0,1696.7480190044457,0.5102653114935992,1136.655095058321,2833.4031140627667
A-B02,A,OPT-005,0.0,1692.6029400021396,0.4798252738776434,1176.2271439590636,2868.830083961203
A-B03,A,OPT-006,0.0,2437.5465212461404,0.2749226426511646,1442.6005645534858,3880.1470857996264
A-B04,A,OPT-007,0.0,2071.020046420254,0.4911997743117894,1161.440293394674,3232.460339814928
B-B02,B,OPT-008,0.0,1869.4056481192079,0.46513624077098803,1593.7638493302875,3463.1694974494953
C-B03,C,OPT-009,1430.0,2991.3384316100783,0.6754079689847342,1536.6160671997427,4527.9544988098205
C-B04,C,OPT-010,1562.0,3674.1173209345934,0.22647400110649651,2509.306330935924,6183.4236518705175
B-B03,B,OPT-011,1565.0,3141.867399279117,0.5855111545912213,1385.1139987085496,4526.981397987666
A-B05,A,OPT-012,1693.0,3421.164084914326,0.5616269246351062,1069.884997974362,4491.049082888688
A-B06,A,OPT-013,1697.0,3309.9286703553717,0.5494711231823133,1085.6875398629927,4395.616210218364
B-B04,B,OPT-014,1870.0,4110.76827715357,0.3672878950173668,1763.3676486365641,5874.135925790134
A-B01,A,OPT-015,2834.0,5313.659116243527,0.28764406444213186,1426.0627162252285,6739.721832468756
A-B02,A,OPT-016,2869.0,4565.748019004446,0.5262684279575816,1115.851043655144,5681.59906265959
C-B02,C,OPT-017,2992.0,5298.340988872751,0.22704598713981916,2508.0670278637253,7806.408016736476
B-B01,B,OPT-018,3142.0,4661.81627588064,0.5391176989405295,1465.5293218364154,6127.345597717056
A-B04,A,OPT-019,3310.0,5319.119152083769,0.3521683373697049,1342.1811614193837,6661.300313503153
C-B01,C,OPT-020,3675.0,6111.894064880402,0.22369366948247882,2515.3303827879627,8627.224447668365
A-B03,A,OPT-021,3881.0,6097.4837554491605,0.436602817539804,1232.4163371982547,7329.9000926474155
B-B02,B,OPT-022,4111.0,6078.099882661642,0.2526908431196614,1962.0025385925871,8040.10242125423
A-B06,A,OPT-023,4566.0,6537.333646404229,0.4492623957522923,1215.9588855220202,7753.292531926249
B-B03,B,OPT-024,4662.0,6569.099882661642,0.3058879275657178,1869.7942588860892,8438.894141547731
C-B03,C,OPT-025,5299.0,6530.883741195285,0.7517033000136508,1371.30951663709,7902.193257832376
