货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-FOD-01,OPT-001,S001,应急食品,否,1249.1268705976427,,7200,0.0,10
S001-FOD-02,OPT-001,S001,应急食品,否,1249.1268705976427,,7200,0.0,10
S001-FOD-03,OPT-001,S001,应急食品,否,1249.1268705976427,,7200,0.0,10
S001-WAT-03,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-06,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-MED-01,OPT-002,S001,医疗物资,是,1117.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-002,S001,医疗物资,否,1117.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-002,S001,饮用水,是,1117.1268705976427,3600.0,3600,0.0,12
S001-WAT-07,OPT-002,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-08,OPT-002,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-02,OPT-003,S001,饮用水,否,858.5307689130724,,3600,0.0,12
S011-FOD-01,OPT-003,S011,应急食品,否,1281.906502693945,,14400,0.0,6
S011-MED-01,OPT-003,S011,医疗物资,是,1281.906502693945,10800.0,10800,0.0,16
S005-FOD-01,OPT-004,S005,应急食品,否,1131.1306761688895,,14400,0.0,6
S005-WAT-03,OPT-004,S005,饮用水,否,1131.1306761688895,,10800,0.0,8
S009-FOD-01,OPT-005,S009,应急食品,否,1127.8914700010698,,14400,0.0,6
S009-WAT-01,OPT-005,S009,饮用水,是,1127.8914700010698,10800.0,10800,0.0,8
S009-MED-01,OPT-006,S009,医疗物资,是,1872.8350512450706,10800.0,10800,0.0,16
S012-MED-01,OPT-006,S012,医疗物资,是,1365.828005645847,3600.0,7200,0.0,22
S012-WAT-01,OPT-006,S012,饮用水,是,1365.828005645847,3600.0,3600,0.0,12
S010-MED-01,OPT-007,S010,医疗物资,是,1134.9089808650415,3600.0,3600,0.0,24
S010-WAT-01,OPT-007,S010,饮用水,是,1134.9089808650415,3600.0,3600,0.0,12
S013-MED-01,OPT-007,S013,医疗物资,是,1542.0890445759017,3600.0,3600,0.0,24
S014-FOD-01,OPT-008,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-008,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-008,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S006-FOD-01,OPT-009,S006,应急食品,否,2639.314215805039,,7200,0.0,10
S006-HYG-01,OPT-009,S006,生活卫生用品,否,2639.314215805039,,10800,0.0,8
S006-MED-01,OPT-009,S006,医疗物资,是,2639.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-009,S006,饮用水,是,2639.314215805039,3600.0,3600,0.0,12
