from,to,raster_peak_m,used_peak_m,peak_difference_m
O01,S001,223.05661010742188,223.05661010742188,0.0
O01,S002,258.9542541503906,258.9542541503906,0.0
O01,S003,511.80413818359375,511.80413818359375,0.0
O01,S004,348.2391662597656,348.2391662597656,0.0
O01,S005,276.410888671875,276.410888671875,0.0
O01,S006,316.09783935546875,316.0978393554688,-5.684341886080802e-14
O01,S007,461.9731750488281,461.9731750488281,0.0
O01,S008,322.9093322753906,322.9093322753906,0.0
O01,S009,243.22891235351562,243.22891235351562,0.0
O01,S010,385.63653564453125,385.6365356445313,-5.684341886080802e-14
O01,S011,245.36175537109375,245.3617553710937,5.684341886080802e-14
O01,S012,363.3009948730469,363.3009948730469,0.0
O01,S013,349.18182373046875,349.1818237304688,-5.684341886080802e-14
O01,S014,541.9473876953125,541.9473876953125,0.0
O01,S015,521.7992553710938,521.7992553710938,0.0
S001,O01,223.05661010742188,223.05661010742188,0.0
S001,S011,226.38790893554688,226.38790893554688,0.0
S002,O01,258.9542541503906,258.9542541503906,0.0
S003,O01,511.80413818359375,511.80413818359375,0.0
S004,O01,348.2391662597656,348.2391662597656,0.0
S005,O01,276.410888671875,276.410888671875,0.0
S006,O01,316.09783935546875,316.0978393554688,-5.684341886080802e-14
S007,O01,461.9731750488281,461.9731750488281,0.0
S007,S003,360.6993408203125,360.6993408203125,0.0
S008,O01,322.9093322753906,322.9093322753906,0.0
S009,O01,243.22891235351562,243.22891235351562,0.0
S010,S012,423.1903076171875,423.1903076171875,0.0
S010,S013,454.07037353515625,454.07037353515625,0.0
S011,O01,245.36175537109375,245.3617553710937,5.684341886080802e-14
S011,S015,538.7306518554688,538.7306518554688,0.0
S012,O01,363.3009948730469,363.3009948730469,0.0
S012,S009,310.91961669921875,310.9196166992188,-5.684341886080802e-14
S013,O01,349.18182373046875,349.1818237304688,-5.684341886080802e-14
S014,O01,541.9473876953125,541.9473876953125,0.0
S015,O01,521.7992553710938,521.7992553710938,0.0
