无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U07,C,OPT-001,0.0,1561.8837411952854,1561.8837411952854
U08,C,OPT-002,0.0,1429.8837411952854,1429.8837411952854
U05,B,OPT-003,0.0,1564.7453695624845,1564.7453695624845
U01,A,OPT-004,0.0,1696.7480190044457,1696.7480190044457
U02,A,OPT-005,0.0,1692.6029400021396,1692.6029400021396
U03,A,OPT-006,0.0,2437.5465212461404,2437.5465212461404
U04,A,OPT-007,0.0,2071.020046420254,2071.020046420254
U06,B,OPT-008,0.0,1869.4056481192079,1869.4056481192079
U08,C,OPT-009,1430.0,2991.3384316100783,1561.3384316100783
U07,C,OPT-010,1562.0,3674.1173209345934,2112.1173209345934
U05,B,OPT-011,1565.0,3141.867399279117,1576.8673992791169
U02,A,OPT-012,1693.0,3421.164084914326,1728.1640849143257
U01,A,OPT-013,1697.0,3309.9286703553717,1612.9286703553717
U06,B,OPT-014,1870.0,4110.76827715357,2240.76827715357
U04,A,OPT-015,2834.0,5313.659116243527,2479.6591162435275
U03,A,OPT-016,2869.0,4565.748019004446,1696.7480190044457
U08,C,OPT-017,2992.0,5298.340988872751,2306.3409888727515
U05,B,OPT-018,3142.0,4661.81627588064,1519.8162758806402
U01,A,OPT-019,3310.0,5319.119152083769,2009.1191520837692
U07,C,OPT-020,3675.0,6111.894064880402,2436.894064880402
U02,A,OPT-021,3881.0,6097.4837554491605,2216.4837554491605
U06,B,OPT-022,4111.0,6078.099882661642,1967.0998826616424
U03,A,OPT-023,4566.0,6537.333646404229,1971.3336464042286
U05,B,OPT-024,4662.0,6569.099882661642,1907.0998826616424
U08,C,OPT-025,5299.0,6530.883741195285,1231.8837411952854
