架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
OPT-001,1,O01,S001,510.0,817.1268705976427,80.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,2.04455921500963,0.0824651454238256,2.1270243604334556
OPT-001,2,S001,O01,1249.1268705976427,1561.8837411952854,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,312.7568705976427,0.9436427146198294,0.02356011173852285,0.9672028263583523
OPT-002,1,O01,S001,450.0,757.1268705976427,48.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,1.2586170555542995,0.06486084486637117,1.3234779004206707
OPT-002,2,S001,O01,1117.1268705976427,1429.8837411952854,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,312.7568705976427,0.9436427146198294,0.02356011173852285,0.9672028263583523
OPT-003,1,O01,S001,390.0,678.5307689130724,25.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,288.5307689130724,0.650053855865653,0.049512095317840586,0.6995659511834936
OPT-003,2,S001,S011,858.5307689130724,1071.906502693945,11.0,2352.9690084220733,92.38790893554688,64.28790893554688,276.3879089355469,213.3757337808726,0.371487191474322,0.026574355472988552,0.39806154694731055
OPT-003,3,S011,O01,1281.906502693945,1564.7453695624845,0.0,2820.30369394606,83.26175537109376,167.66175537109376,295.36175537109375,282.8388668685394,0.40290052770657997,0.020482970027923583,0.42338349773450357
OPT-004,1,O01,S005,360.0,921.1306761688895,22.0,5307.952293714175,198.710888671875,131.410888671875,326.410888671875,561.1306761688895,1.1443698981821977,0.06919002748616537,1.2135599256683631
OPT-004,2,S005,O01,1131.1306761688895,1696.7480190044457,0.0,5307.952293714175,131.410888671875,198.710888671875,326.410888671875,565.6173428355562,0.9554314128685514,0.034814759741889106,0.9902461726104405
OPT-005,1,O01,S009,360.0,917.8914700010698,22.0,5729.0832113019,165.52891235351564,63.228912353515625,293.2289123535156,557.8914700010698,1.235163770962847,0.05763624767642552,1.2928000186392725
OPT-005,2,S009,O01,1127.8914700010698,1692.6029400021396,0.0,5729.0832113019,63.228912353515625,165.52891235351564,293.2289123535156,564.7114700010698,1.031234978034342,0.016751270876990423,1.0479862489113323
OPT-006,1,O01,S012,390.0,1155.828005645847,20.0,7406.727312867355,285.6009948730469,133.50099487304686,413.3009948730469,765.8280056458472,1.555868722944598,0.09728283887863161,1.6531515618232295
OPT-006,2,S012,S009,1365.828005645847,1692.8350512450706,3.0,2971.191920237559,81.11961669921874,130.91961669921875,360.91961669921875,327.00704559922366,0.5392981865686808,0.022412110766516787,0.5617102973351976
OPT-006,3,S009,O01,1872.8350512450706,2437.5465212461404,0.0,5729.0832113019,63.228912353515625,165.52891235351564,293.2289123535156,564.7114700010698,1.031234978034342,0.016751270876990423,1.0479862489113323
OPT-007,1,O01,S010,390.0,924.9089808650415,20.0,4783.786256708622,307.93653564453126,84.03653564453123,435.63653564453125,534.9089808650415,1.0048896225914636,0.10489088245391848,1.1097805050453822
OPT-007,2,S010,S013,1134.9089808650415,1362.0890445759017,3.0,1384.9014774209477,152.47037353515623,152.37037353515626,504.07037353515625,227.1800637108602,0.2513721346178433,0.0421252347992791,0.2934973694171224
OPT-007,3,S013,O01,1542.0890445759017,2071.020046420254,0.0,4854.131973304105,47.48182373046876,271.48182373046876,399.18182373046875,528.9310018443524,0.8737437551947388,0.012579385939704051,0.8863231411344429
