架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
OPT-001,U07,C,C-B01,0.0,O01→S001→O01,1561.8837411952854,3.094227186791808,7,80.0,0.192,0.613221601651024,3233.236937618067
OPT-002,U08,C,C-B02,0.0,O01→S001→O01,1429.8837411952854,2.290680726779023,5,48.0,0.105,0.7136649091526222,2883.609771364604
OPT-003,U05,B,B-B01,0.0,O01→S001→S011→O01,1564.7453695624845,1.521010995865308,3,25.0,0.067,0.619747251033673,2890.516801104118
OPT-004,U01,A,A-B01,0.0,O01→S005→O01,1696.7480190044457,2.2038060982788035,2,22.0,0.055,0.5102653114935992,2833.4031140627667
OPT-005,U02,A,A-B02,0.0,O01→S009→O01,1692.6029400021396,2.340786267550605,2,22.0,0.055,0.4798252738776434,2868.830083961203
OPT-006,U03,A,A-B03,0.0,O01→S012→S009→O01,2437.5465212461404,3.2628481080697593,3,20.0,0.051000000000000004,0.2749226426511646,3880.1470857996264
OPT-007,U04,A,A-B04,0.0,O01→S010→S013→O01,2071.020046420254,2.2896010155969475,3,20.0,0.051000000000000004,0.4911997743117894,3232.460339814928
OPT-008,U06,B,B-B02,0.0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,0.46513624077098803,3463.1694974494953
OPT-009,U08,C,C-B03,1430.0,O01→S006→O01,2991.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,4527.9544988098205
OPT-010,U07,C,C-B04,1562.0,O01→S002→O01,3674.1173209345934,6.188207991148028,6,65.0,0.155,0.22647400110649651,6183.4236518705175
OPT-011,U05,B,B-B03,1565.0,O01→S007→O01,3141.867399279117,1.657955381635115,2,20.0,0.062,0.5855111545912213,4526.981397987666
OPT-012,U02,A,A-B05,1693.0,O01→S007→O01,3421.164084914326,1.9726788391420222,2,22.0,0.055,0.5616269246351062,4491.049082888688
OPT-013,U01,A,A-B06,1697.0,O01→S013→O01,3309.9286703553717,2.0273799456795905,2,22.0,0.055,0.5494711231823133,4395.616210218364
OPT-014,U06,B,B-B04,1870.0,O01→S007→S003→O01,4110.76827715357,2.5308484199305328,3,19.0,0.068,0.3672878950173668,5874.135925790134
OPT-015,U04,A,A-B01,2834.0,O01→S010→S012→O01,5313.659116243527,3.2056017100104066,2,16.0,0.056,0.28764406444213186,6739.721832468756
OPT-016,U03,A,A-B02,2869.0,O01→S005→O01,4565.748019004446,2.131792074190883,2,17.0,0.039,0.5262684279575816,5681.59906265959
OPT-017,U08,C,C-B02,2992.0,O01→S004→O01,5298.340988872751,6.183632102881447,6,59.0,0.156,0.22704598713981916,7806.408016736476
OPT-018,U05,B,B-B01,3142.0,O01→S005→O01,4661.81627588064,1.8435292042378821,2,20.0,0.062,0.5391176989405295,6127.345597717056
OPT-019,U01,A,A-B04,3310.0,O01→S002→O01,5319.119152083769,2.9152424818363283,2,16.0,0.056,0.3521683373697049,6661.300313503153
OPT-020,U07,C,C-B01,3675.0,O01→S003→O01,6111.894064880402,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8627.224447668365
OPT-021,U02,A,A-B03,3881.0,O01→S011→S015→O01,6097.4837554491605,2.5352873210708817,2,22.0,0.055,0.436602817539804,7329.9000926474155
OPT-022,U06,B,B-B02,4111.0,O01→S008→O01,6078.099882661642,2.9892366275213544,3,25.0,0.067,0.2526908431196614,8040.10242125423
OPT-023,U03,A,A-B06,4566.0,O01→S015→O01,6537.333646404229,2.4783192191146846,2,17.0,0.039,0.4492623957522923,7753.292531926249
OPT-024,U05,B,B-B03,4662.0,O01→S008→O01,6569.099882661642,2.7764482897371288,2,20.0,0.062,0.3058879275657178,8438.894141547731
OPT-025,U08,C,C-B03,5299.0,O01→S001→O01,6530.883741195285,1.9863735998907939,2,12.0,0.07,0.7517033000136508,7902.193257832376
