电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,P000001-1,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B02,A,P000074-1,0.0,1313.2088986841472,0.6985757433199744,891.8515336840333,2205.0604323681805
A-B03,A,P000136-1,0.0,1989.971351327395,0.4911176555831851,1161.5470477418594,3151.5183990692544
A-B04,A,P000143-1,0.0,1971.3336464042286,0.4670075414149635,1192.8901961605472,3164.2238425647756
B-B01,B,P002706-1,0.0,1150.8148711594781,0.751553411688026,1097.3074197407548,2248.1222909002327
B-B02,B,P007378-1,0.0,2056.2945266162474,0.5011011688112654,1531.4246407271398,3587.719167343387
C-B01,C,P007696-1,0.0,1561.8837411952854,0.613221601651024,1671.3531964227811,3233.236937618067
C-B02,C,P007706-1,0.0,1429.8837411952854,0.7136649091526222,1453.7260301693188,2883.609771364604
B-B03,B,P004780-1,1150.8148711594781,3331.5831483130482,0.38064742026661436,1740.2111382045352,5071.794286517584
A-B05,A,P000128-1,1193.0428319099597,2805.9715022653313,0.5494711231823133,1085.6875398629927,3891.659042128324
A-B06,A,P002651-1,1313.2088986841472,3653.0697585371067,0.32614505358272394,1376.011430342459,5029.081188879566
C-B03,C,P007726-1,1429.8837411952854,3344.001062129879,0.39057606815372525,2153.7518523335953,5497.752914463474
C-B04,C,P007813-1,1561.8837411952854,2991.2221728053637,0.7163041663485958,1448.0076395780422,4439.229812383406
A-B01,A,P000110-1,2046.7488795666027,3701.4935079633524,0.5506823789488882,1084.1129073664456,4785.6064153297975
B-B04,B,P002822-1,2056.2945266162474,3633.161925895364,0.5855111545912213,1385.1139987085496,5018.275924603914
A-B02,A,P000125-1,2205.0604323681805,4316.856443659875,0.36177951073307657,1329.6866360470005,5646.543079706876
C-B02,C,P007746-1,2991.2221728053637,5296.116237685766,0.35448566454959995,2231.9477268092,7528.063964494966
A-B03,A,P000084-1,3151.5183990692544,4879.68248398358,0.5616269246351062,1069.884997974362,5949.567481957942
B-B01,B,P002751-1,3331.5831483130482,5352.909167132252,0.33570103567061893,1818.118204837594,7171.027371969846
C-B01,C,P007755-1,3344.001062129879,5518.34205100263,0.28325414999859166,2386.2826750030513,7904.624726005681
B-B02,B,P004503-1,3633.161925895364,5782.181172697661,0.26935173951330005,1933.12365151028,7715.304824207941
A-B04,A,P000027-1,3653.0697585371067,5662.188910620876,0.32634143769133184,1375.7561310012686,7037.945041622145
A-B05,A,P000099-1,3891.659042128324,6069.377140287734,0.2855487683934328,1428.7866010885373,7498.163741376271
A-B01,A,P001421-1,4785.6064153297975,7330.889153793771,0.26352058293226943,1457.4232421880497,8788.31239598182
A-B06,A,P001153-1,5029.081188879566,7250.270921524635,0.34417028176466813,1352.5786337059315,8602.849555230567
C-B04,C,P007855-1,5296.116237685766,7369.085897772538,0.32158268817081015,2303.2375089632446,9672.323406735783
B-B03,B,P002778-1,5352.909167132252,7279.837100585081,0.3870900213887476,1729.043962926171,9008.881063511253
C-B03,C,P007781-1,5518.34205100263,7267.178623107228,0.5020729171838554,1912.1753461016467,9179.353969208874
A-B02,A,P000067-1,5662.188910620876,7358.936929625323,0.5448380069200914,1091.710591003881,8450.647520629203
B-B04,B,P002853-1,5782.181172697661,7283.814672323071,0.49791790894877586,1536.9422911554552,8820.756963478527
A-B03,A,P000116-1,6069.377140287734,7293.438330489681,0.7341918807421295,845.5505550352317,8138.988885524913
