货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-WAT-02,P000001-1,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S006-FOD-01,P000074-1,S006,应急食品,否,935.3677826754069,,7200,0.0,10
S006-WAT-01,P000074-1,S006,饮用水,是,935.3677826754069,3600.0,3600,0.0,12
S014-MED-01,P000136-1,S014,医疗物资,是,1272.5423423303641,3600.0,7200,0.0,22
S014-WAT-01,P000136-1,S014,饮用水,是,1272.5423423303641,3600.0,3600,0.0,12
S015-FOD-01,P000143-1,S015,应急食品,否,1259.1068232021144,,14400,0.0,6
S015-MED-01,P000143-1,S015,医疗物资,是,1259.1068232021144,7200.0,7200,0.0,18
S001-HYG-01,P002706-1,S001,生活卫生用品,否,858.5307689130724,,10800,0.0,8
S001-HYG-02,P002706-1,S001,生活卫生用品,否,858.5307689130724,,10800,0.0,8
S010-MED-01,P007378-1,S010,医疗物资,是,995.1792099198976,3600.0,3600,0.0,24
S014-FOD-01,P007378-1,S014,应急食品,否,1429.1483692233103,,7200,0.0,10
S001-FOD-01,P007696-1,S001,应急食品,否,1249.1268705976427,,7200,0.0,10
S001-FOD-02,P007696-1,S001,应急食品,否,1249.1268705976427,,7200,0.0,10
S001-FOD-03,P007696-1,S001,应急食品,否,1249.1268705976427,,7200,0.0,10
S001-WAT-03,P007696-1,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-04,P007696-1,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-05,P007696-1,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-06,P007696-1,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-MED-01,P007706-1,S001,医疗物资,是,1117.1268705976427,3600.0,3600,0.0,24
S001-MED-02,P007706-1,S001,医疗物资,否,1117.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,P007706-1,S001,饮用水,是,1117.1268705976427,3600.0,3600,0.0,12
S001-WAT-07,P007706-1,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-08,P007706-1,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S003-WAT-03,P004780-1,S003,饮用水,否,2598.89347223678,,7200,0.0,10
S007-MED-01,P004780-1,S007,医疗物资,是,2186.8885707990366,3600.0,3600,0.0,24
S013-FOD-01,P000128-1,S013,应急食品,否,2277.040500420979,,7200,0.0,10
S013-WAT-01,P000128-1,S013,饮用水,是,2277.040500420979,3600.0,3600,0.0,12
S012-WAT-01,P002651-1,S012,饮用水,是,2877.1017528912594,3600.0,3600,0.0,12
S013-MED-01,P002651-1,S013,医疗物资,是,2367.2065671951664,3600.0,3600,0.0,24
S002-HYG-01,P007726-1,S002,生活卫生用品,否,2721.352401662582,,10800,0.0,8
S002-MED-01,P007726-1,S002,医疗物资,是,2721.352401662582,3600.0,3600,0.0,24
S002-WAT-01,P007726-1,S002,饮用水,是,2721.352401662582,3600.0,3600,0.0,12
S006-HYG-01,P007813-1,S006,生活卫生用品,否,2639.1979570003245,,10800,0.0,8
S006-MED-01,P007813-1,S006,医疗物资,是,2639.1979570003245,3600.0,3600,0.0,24
S006-WAT-02,P007813-1,S006,饮用水,否,2639.1979570003245,,3600,0.0,12
S006-WAT-03,P007813-1,S006,饮用水,否,2639.1979570003245,,3600,0.0,12
S010-FOD-01,P000110-1,S010,应急食品,否,3151.657860431644,,7200,0.0,10
S010-WAT-01,P000110-1,S010,饮用水,是,3151.657860431644,3600.0,3600,0.0,12
S007-HYG-01,P002822-1,S007,生活卫生用品,否,3122.368226255806,,10800,0.0,8
S007-WAT-01,P002822-1,S007,饮用水,是,3122.368226255806,3600.0,3600,0.0,12
S012-FOD-01,P000125-1,S012,应急食品,否,3540.8884380140275,,7200,0.0,10
S012-MED-01,P000125-1,S012,医疗物资,是,3540.8884380140275,3600.0,7200,0.0,22
S003-HYG-01,P007746-1,S003,生活卫生用品,否,4505.129205245565,,14400,0.0,6
S003-MED-01,P007746-1,S003,医疗物资,是,4505.129205245565,7200.0,7200,0.0,20
S003-WAT-01,P007746-1,S003,饮用水,是,4505.129205245565,7200.0,7200,0.0,10
S003-WAT-04,P007746-1,S003,饮用水,否,4505.129205245565,,7200,0.0,10
S007-FOD-01,P000084-1,S007,应急食品,否,4293.240441526417,,7200,0.0,10
S007-WAT-02,P000084-1,S007,饮用水,否,4293.240441526417,,3600,693.2404415264173,12
S003-FOD-02,P002751-1,S003,应急食品,否,4620.219491055984,,10800,0.0,8
S003-WAT-02,P002751-1,S003,饮用水,否,4620.219491055984,,7200,0.0,10
S004-HYG-01,P007755-1,S004,生活卫生用品,否,4798.141556566255,,14400,0.0,6
S004-WAT-01,P007755-1,S004,饮用水,是,4798.141556566255,7200.0,7200,0.0,10
S004-WAT-02,P007755-1,S004,饮用水,否,4798.141556566255,,7200,0.0,10
S004-WAT-03,P007755-1,S004,饮用水,否,4798.141556566255,,7200,0.0,10
S002-FOD-02,P004503-1,S002,应急食品,否,5183.621554588763,,7200,0.0,10
S002-WAT-04,P004503-1,S002,饮用水,否,5183.621554588763,,3600,1583.6215545887626,12
S011-MED-01,P004503-1,S011,医疗物资,是,4480.3741260972365,10800.0,10800,0.0,16
S002-FOD-01,P000027-1,S002,应急食品,否,4939.569334578991,,7200,0.0,10
S002-WAT-02,P000027-1,S002,饮用水,否,4939.569334578991,,3600,1339.5693345789914,12
S008-MED-01,P000099-1,S008,医疗物资,是,5260.744757874696,7200.0,7200,0.0,20
S008-WAT-01,P000099-1,S008,饮用水,是,5260.744757874696,7200.0,7200,0.0,10
S003-FOD-01,P001421-1,S003,应急食品,否,6477.046150698761,,10800,0.0,8
S015-WAT-01,P001421-1,S015,饮用水,是,6014.713238531912,10800.0,10800,0.0,8
S002-WAT-03,P001153-1,S002,饮用水,否,6527.65134548275,,3600,2927.65134548275,12
S009-MED-01,P001153-1,S009,医疗物资,是,6126.972658880636,10800.0,10800,0.0,16
S008-FOD-01,P007855-1,S008,应急食品,否,6664.441067729152,,10800,0.0,8
S008-HYG-01,P007855-1,S008,生活卫生用品,否,6664.441067729152,,14400,0.0,6
S008-WAT-02,P007855-1,S008,饮用水,否,6664.441067729152,,7200,0.0,10
S004-FOD-01,P002778-1,S004,应急食品,否,6598.019800525333,,10800,0.0,8
S004-MED-01,P002778-1,S004,医疗物资,是,6598.019800525333,7200.0,7200,0.0,20
