无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,P000001-1,0.0,1193.0428319099597,1193.0428319099597
U02,A,P000074-1,0.0,1313.2088986841472,1313.2088986841472
U03,A,P000136-1,0.0,1989.971351327395,1989.971351327395
U04,A,P000143-1,0.0,1971.3336464042286,1971.3336464042286
U05,B,P002706-1,0.0,1150.8148711594781,1150.8148711594781
U06,B,P007378-1,0.0,2056.2945266162474,2056.2945266162474
U07,C,P007696-1,0.0,1561.8837411952854,1561.8837411952854
U08,C,P007706-1,0.0,1429.8837411952854,1429.8837411952854
U05,B,P004780-1,1150.8148711594781,3331.5831483130482,2180.76827715357
U01,A,P000128-1,1193.0428319099597,2805.9715022653313,1612.9286703553717
U02,A,P002651-1,1313.2088986841472,3653.0697585371067,2339.8608598529595
U08,C,P007726-1,1429.8837411952854,3344.001062129879,1914.1173209345932
U07,C,P007813-1,1561.8837411952854,2991.2221728053637,1429.3384316100783
U03,A,P000110-1,2046.7488795666027,3701.4935079633524,1654.7446283967497
U06,B,P002822-1,2056.2945266162474,3633.161925895364,1576.8673992791169
U04,A,P000125-1,2205.0604323681805,4316.856443659875,2111.7960112916944
U07,C,P007746-1,2991.2221728053637,5296.116237685766,2304.894064880402
U01,A,P000084-1,3151.5183990692544,4879.68248398358,1728.1640849143257
U05,B,P002751-1,3331.5831483130482,5352.909167132252,2021.326018819204
U08,C,P007755-1,3344.001062129879,5518.34205100263,2174.3409888727515
U06,B,P004503-1,3633.161925895364,5782.181172697661,2149.0192468022965
U02,A,P000027-1,3653.0697585371067,5662.188910620876,2009.1191520837692
U03,A,P000099-1,3891.659042128324,6069.377140287734,2177.7180981594097
U04,A,P001421-1,4785.6064153297975,7330.889153793771,2545.2827384639736
U01,A,P001153-1,5029.081188879566,7250.270921524635,2221.189732645069
U07,C,P007855-1,5296.116237685766,7369.085897772538,2072.969660086773
U05,B,P002778-1,5352.909167132252,7279.837100585081,1926.9279334528294
U08,C,P007781-1,5518.34205100263,7267.178623107228,1748.8365721045984
U02,A,P000067-1,5662.188910620876,7358.936929625323,1696.7480190044457
U06,B,P002853-1,5782.181172697661,7283.814672323071,1501.6334996254095
U03,A,P000116-1,6069.377140287734,7293.438330489681,1224.0611902019475
