架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
P000001-1,U01,A,A-B01,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
P000074-1,U02,A,A-B02,0.0,O01→S006→O01,1313.2088986841472,1.3564091550601154,2,22.0,0.055,0.6985757433199744,2205.0604323681805
P000136-1,U03,A,A-B03,0.0,O01→S014→O01,1989.971351327395,2.289970549875667,2,17.0,0.039,0.4911176555831851,3151.5183990692544
P000143-1,U04,A,A-B04,0.0,O01→S015→O01,1971.3336464042286,2.3984660636326645,2,11.0,0.04,0.4670075414149635,3164.2238425647756
P002706-1,U05,B,B-B01,0.0,O01→S001→O01,1150.8148711594781,0.9937863532478961,2,12.0,0.07,0.751553411688026,2248.1222909002327
P007378-1,U06,B,B-B02,0.0,O01→S010→S014→O01,2056.2945266162474,1.9955953247549385,2,11.0,0.04,0.5011011688112654,3587.719167343387
P007696-1,U07,C,C-B01,0.0,O01→S001→O01,1561.8837411952854,3.094227186791808,7,80.0,0.192,0.613221601651024,3233.236937618067
P007706-1,U08,C,C-B02,0.0,O01→S001→O01,1429.8837411952854,2.290680726779023,5,48.0,0.105,0.7136649091526222,2883.609771364604
P004780-1,U05,B,B-B03,1150.8148711594781,O01→S007→S003→O01,3331.5831483130482,2.4774103189335426,2,17.0,0.039,0.38064742026661436,5071.794286517584
P000128-1,U01,A,A-B05,1193.0428319099597,O01→S013→O01,2805.9715022653313,2.0273799456795905,2,22.0,0.055,0.5494711231823133,3891.659042128324
P002651-1,U02,A,A-B06,1313.2088986841472,O01→S013→S012→O01,3653.0697585371067,3.0323472588777425,2,17.0,0.039,0.32614505358272394,5029.081188879566
P007726-1,U08,C,C-B03,1429.8837411952854,O01→S002→O01,3344.001062129879,4.875391454770198,3,23.0,0.074,0.39057606815372525,5497.752914463474
P007813-1,U07,C,C-B04,1561.8837411952854,O01→S006→O01,2991.2221728053637,2.2695666692112337,4,37.0,0.10099999999999999,0.7163041663485958,4439.229812383406
P000110-1,U03,A,A-B01,2046.7488795666027,O01→S010→O01,3701.4935079633524,2.0219292947300036,2,22.0,0.055,0.5506823789488882,4785.6064153297975
P002822-1,U06,B,B-B04,2056.2945266162474,O01→S007→O01,3633.161925895364,1.657955381635115,2,20.0,0.062,0.5855111545912213,5018.275924603914
P000125-1,U04,A,A-B02,2205.0604323681805,O01→S012→O01,4316.856443659875,2.8719922017011554,2,11.0,0.04,0.36177951073307657,5646.543079706876
P007746-1,U07,C,C-B02,2991.2221728053637,O01→S003→O01,5296.116237685766,5.1641146836032,4,37.0,0.10099999999999999,0.35448566454959995,7528.063964494966
P000084-1,U01,A,A-B03,3151.5183990692544,O01→S007→O01,4879.68248398358,1.9726788391420222,2,22.0,0.055,0.5616269246351062,5949.567481957942
P002751-1,U05,B,B-B01,3331.5831483130482,O01→S003→O01,5352.909167132252,2.6571958573175243,2,22.0,0.055,0.33570103567061893,7171.027371969846
P007755-1,U08,C,C-B01,3344.001062129879,O01→S004→O01,5518.34205100263,5.733966800011267,4,48.0,0.11599999999999999,0.28325414999859166,7904.624726005681
P004503-1,U06,B,B-B02,3633.161925895364,O01→S011→S002→O01,5782.181172697661,2.9225930419468,3,25.0,0.067,0.26935173951330005,7715.304824207941
P000027-1,U02,A,A-B04,3653.0697585371067,O01→S002→O01,5662.188910620876,3.031463530389007,2,22.0,0.055,0.32634143769133184,7037.945041622145
P000099-1,U03,A,A-B05,3891.659042128324,O01→S008→O01,6069.377140287734,3.2150305422295524,2,17.0,0.039,0.2855487683934328,7498.163741376271
P001421-1,U04,A,A-B01,4785.6064153297975,O01→S015→S003→O01,7330.889153793771,3.3141573768047876,2,22.0,0.055,0.26352058293226943,8788.31239598182
P001153-1,U01,A,A-B06,5029.081188879566,O01→S009→S002→O01,7250.270921524635,2.9512337320589936,2,17.0,0.039,0.34417028176466813,8602.849555230567
P007855-1,U07,C,C-B04,5296.116237685766,O01→S008→O01,7369.085897772538,5.427338494633519,3,28.0,0.09,0.32158268817081015,9672.323406735783
P002778-1,U05,B,B-B03,5352.909167132252,O01→S004→O01,7279.837100585081,2.4516399144450096,2,11.0,0.04,0.3870900213887476,9008.881063511253
P007781-1,U08,C,C-B03,5518.34205100263,O01→S005→O01,7267.178623107228,3.983416662529157,4,50.0,0.109,0.5020729171838554,9179.353969208874
P000067-1,U02,A,A-B02,5662.188910620876,O01→S005→O01,7358.936929625323,2.0482289688595885,2,9.0,0.047,0.5448380069200914,8450.647520629203
P002853-1,U06,B,B-B04,5782.181172697661,O01→S009→O01,7283.814672323071,2.0083283642048966,2,22.0,0.055,0.49791790894877586,8820.756963478527
P000116-1,U03,A,A-B03,6069.377140287734,O01→S011→O01,7293.438330489681,1.1961365366604175,2,22.0,0.055,0.7341918807421295,8138.988885524913
