电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,P000110-1,0.0,1654.7446283967497,0.5506823789488882,1084.1129073664456,2738.8575357631953
A-B02,A,P000128-1,0.0,1612.9286703553717,0.5494711231823133,1085.6875398629927,2698.6162102183644
B-B01,B,P002890-1,0.0,1809.4056481192079,0.5189547198686011,1500.4784855610912,3309.884133680299
B-B02,B,P007378-1,0.0,2056.2945266162474,0.5011011688112654,1531.4246407271398,3587.719167343387
C-B01,C,P007706-1,0.0,1429.8837411952854,0.7136649091526222,1453.7260301693188,2883.609771364604
C-B02,C,P007727-1,0.0,1980.1173209345932,0.3569165295034722,2226.680852742477,4206.79817367707
C-B03,C,P007818-1,1429.8837411952854,2859.2221728053637,0.713566033505242,1453.9402607386423,4313.1624335440065
B-B03,B,P007572-1,1809.4056481192079,3897.133016584258,0.36911156508706755,1760.2066205157494,5657.339637100007
C-B04,C,P007836-1,1980.1173209345932,3756.2757785633194,0.6010453604504462,1697.7350523573666,5454.010830920686
B-B04,B,P002877-1,2056.2945266162474,3921.19962747903,0.4143821165942083,1681.737664570039,5602.937292049069
C-B01,C,P007746-1,2883.609771364604,5188.503836245006,0.35448566454959995,2231.9477268092,7420.451563054206
B-B01,B,P002846-1,3897.133016584258,5804.232899245901,0.32993934699361427,1828.1051318777352,7632.338031123636
B-B02,B,P002897-1,3921.19962747903,5691.671659511267,0.48099650068901045,1566.2727321390485,7257.944391650315
C-B02,C,P007696-1,4206.79817367707,5768.681914872355,0.613221601651024,1671.3531964227811,7440.035111295137
B-B03,B,P003780-1,5691.671659511267,7256.417029073751,0.6191278176050632,1326.845116151224,8583.262145224975
B-B04,B,P002776-1,5804.232899245901,7731.16083269873,0.35272187425736345,1788.6154179539035,9519.776250652634
B-B02,B,P002856-1,7257.944391650315,8759.577891275725,0.5534708744465257,1440.6504842926888,10200.228375568415
B-B01,B,P007527-1,7731.16083269873,9742.447947572382,0.4696383411224465,1585.9602087210926,11328.408156293475
B-B03,B,P006882-1,8759.577891275725,11050.194662162361,0.22636753568611667,2007.6296048107313,13057.824266973092
B-B04,B,P002794-1,9742.447947572382,11262.264223453021,0.5549516312715544,1438.0838391293055,12700.348062582327
B-B02,B,P002751-1,11050.194662162361,13071.520680981565,0.33570103567061893,1818.118204837594,14889.638885819159
B-B01,B,P002841-1,11328.408156293475,13235.508038955119,0.2868722734098612,1902.754726089574,15138.262765044692
B-B03,B,P002731-1,13071.520680981565,14832.51991719936,0.3499964401279958,1793.3395037781406,16625.8594209775
B-B04,B,P002731-2,13235.508038955119,14996.507275172915,0.3499964401279958,1793.3395037781406,16789.846778951054
B-B02,B,P002826-1,14889.638885819159,16466.506285098276,0.6113628352707474,1340.3044188640376,17806.810703962314
B-B01,B,P002804-1,15138.262765044692,16345.31858353628,0.7155952465935835,1159.634905904455,17504.953489440733
B-B03,B,P002786-1,16625.8594209775,18145.67569685814,0.5391176989405295,1465.5293218364154,19611.205018694556
B-B04,B,P002706-1,16789.846778951054,17940.66165011053,0.751553411688026,1097.3074197407548,19037.969069851286
B-B01,B,P002789-1,17940.66165011053,19460.47792599117,0.5266125042623105,1487.204992611995,20947.682918603165
B-B02,B,P002771-1,18145.67569685814,20072.60363031097,0.31141501845071273,1860.2139680187645,21932.817598329733
B-B04,B,P002768-1,19460.47792599117,21387.405859444,0.32964633445632563,1828.6130202757022,23216.0188797197
B-B03,B,P002751-2,20072.60363031097,22093.929649130172,0.33570103567061893,1818.118204837594,23912.047853967764
