货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S010-FOD-01,P000110-1,S010,应急食品,否,1104.9089808650415,,7200,0.0,10
S010-WAT-01,P000110-1,S010,饮用水,是,1104.9089808650415,3600.0,3600,0.0,12
S013-FOD-01,P000128-1,S013,应急食品,否,1083.9976685110191,,7200,0.0,10
S013-WAT-01,P000128-1,S013,饮用水,是,1083.9976685110191,3600.0,3600,0.0,12
S014-MED-01,P002890-1,S014,医疗物资,是,1182.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,P002890-1,S014,饮用水,是,1182.2594907262705,3600.0,3600,0.0,12
S010-MED-01,P007378-1,S010,医疗物资,是,995.1792099198976,3600.0,3600,0.0,24
S014-FOD-01,P007378-1,S014,应急食品,否,1429.1483692233103,,7200,0.0,10
S001-MED-01,P007706-1,S001,医疗物资,是,1117.1268705976427,3600.0,3600,0.0,24
S001-MED-02,P007706-1,S001,医疗物资,否,1117.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,P007706-1,S001,饮用水,是,1117.1268705976427,3600.0,3600,0.0,12
S001-WAT-07,P007706-1,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-08,P007706-1,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S002-HYG-01,P007727-1,S002,生活卫生用品,否,1357.4686604672966,,10800,0.0,8
S002-MED-01,P007727-1,S002,医疗物资,是,1357.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,P007727-1,S002,饮用水,是,1357.4686604672966,3600.0,3600,0.0,12
S002-WAT-04,P007727-1,S002,饮用水,否,1357.4686604672966,,3600,0.0,12
S006-FOD-01,P007818-1,S006,应急食品,否,2507.1979570003245,,7200,0.0,10
S006-MED-01,P007818-1,S006,医疗物资,是,2507.1979570003245,3600.0,3600,0.0,24
S006-WAT-01,P007818-1,S006,饮用水,是,2507.1979570003245,3600.0,3600,0.0,12
S006-WAT-03,P007818-1,S006,饮用水,否,2507.1979570003245,,3600,0.0,12
S012-WAT-01,P007572-1,S012,饮用水,是,3244.6104661528666,3600.0,3600,0.0,12
S013-MED-01,P007572-1,S013,医疗物资,是,2782.5011170751586,3600.0,3600,0.0,24
S007-MED-01,P007836-1,S007,医疗物资,是,3196.1565497489564,3600.0,3600,0.0,24
S007-WAT-01,P007836-1,S007,饮用水,是,3196.1565497489564,3600.0,3600,0.0,12
S007-WAT-02,P007836-1,S007,饮用水,否,3196.1565497489564,,3600,0.0,12
S012-FOD-01,P002877-1,S012,应急食品,否,3268.6770770476387,,7200,0.0,10
S012-MED-01,P002877-1,S012,医疗物资,是,3268.6770770476387,3600.0,7200,0.0,22
S003-HYG-01,P007746-1,S003,生活卫生用品,否,4397.516803804805,,14400,0.0,6
S003-MED-01,P007746-1,S003,医疗物资,是,4397.516803804805,7200.0,7200,0.0,20
S003-WAT-01,P007746-1,S003,饮用水,是,4397.516803804805,7200.0,7200,0.0,10
S003-WAT-04,P007746-1,S003,饮用水,否,4397.516803804805,,7200,0.0,10
S008-MED-01,P002846-1,S008,医疗物资,是,5130.909624581745,7200.0,7200,0.0,20
S008-WAT-01,P002846-1,S008,饮用水,是,5130.909624581745,7200.0,7200,0.0,10
S015-MED-01,P002897-1,S015,医疗物资,是,5079.875643495148,7200.0,7200,0.0,18
S015-WAT-01,P002897-1,S015,饮用水,是,5079.875643495148,10800.0,10800,0.0,8
S001-FOD-01,P007696-1,S001,应急食品,否,5455.9250442747125,,7200,0.0,10
S001-FOD-02,P007696-1,S001,应急食品,否,5455.9250442747125,,7200,0.0,10
S001-FOD-03,P007696-1,S001,应急食品,否,5455.9250442747125,,7200,0.0,10
S001-WAT-03,P007696-1,S001,饮用水,否,5455.9250442747125,,3600,1855.9250442747125,12
S001-WAT-04,P007696-1,S001,饮用水,否,5455.9250442747125,,3600,1855.9250442747125,12
S001-WAT-05,P007696-1,S001,饮用水,否,5455.9250442747125,,3600,1855.9250442747125,12
S001-WAT-06,P007696-1,S001,饮用水,否,5455.9250442747125,,3600,1855.9250442747125,12
S001-WAT-02,P003780-1,S001,饮用水,否,6964.132926827346,,3600,3364.1329268273457,12
S011-FOD-01,P003780-1,S011,应急食品,否,6568.88385971314,,14400,0.0,6
S011-MED-01,P003780-1,S011,医疗物资,是,6568.88385971314,10800.0,10800,0.0,16
S004-MED-01,P002776-1,S004,医疗物资,是,7049.343532638982,7200.0,7200,0.0,20
S004-WAT-01,P002776-1,S004,饮用水,是,7049.343532638982,7200.0,7200,0.0,10
S009-FOD-01,P002856-1,S009,应急食品,否,8290.35114146302,,14400,0.0,6
S009-MED-01,P002856-1,S009,医疗物资,是,8290.35114146302,10800.0,10800,0.0,16
