无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,P000110-1,0.0,1654.7446283967497,1654.7446283967497
U02,A,P000128-1,0.0,1612.9286703553717,1612.9286703553717
U05,B,P002890-1,0.0,1809.4056481192079,1809.4056481192079
U06,B,P007378-1,0.0,2056.2945266162474,2056.2945266162474
U07,C,P007706-1,0.0,1429.8837411952854,1429.8837411952854
U08,C,P007727-1,0.0,1980.1173209345932,1980.1173209345932
U07,C,P007818-1,1429.8837411952854,2859.2221728053637,1429.3384316100783
U05,B,P007572-1,1809.4056481192079,3897.133016584258,2087.72736846505
U08,C,P007836-1,1980.1173209345932,3756.2757785633194,1776.158457628726
U06,B,P002877-1,2056.2945266162474,3921.19962747903,1864.9051008627825
U07,C,P007746-1,2883.609771364604,5188.503836245006,2304.894064880402
U05,B,P002846-1,3897.133016584258,5804.232899245901,1907.0998826616424
U06,B,P002897-1,3921.19962747903,5691.671659511267,1770.4720320322367
U08,C,P007696-1,4206.79817367707,5768.681914872355,1561.8837411952854
U06,B,P003780-1,5691.671659511267,7256.417029073751,1564.7453695624845
U05,B,P002776-1,5804.232899245901,7731.16083269873,1926.9279334528294
U06,B,P002856-1,7257.944391650315,8759.577891275725,1501.6334996254095
U05,B,P007527-1,7731.16083269873,9742.447947572382,2011.2871148736513
U06,B,P006882-1,8759.577891275725,11050.194662162361,2290.616770886635
U05,B,P002794-1,9742.447947572382,11262.264223453021,1519.8162758806402
U06,B,P002751-1,11050.194662162361,13071.520680981565,2021.326018819204
U05,B,P002841-1,11328.408156293475,13235.508038955119,1907.0998826616424
U06,B,P002731-1,13071.520680981565,14832.51991719936,1760.9992362177964
U05,B,P002731-2,13235.508038955119,14996.507275172915,1760.9992362177964
U06,B,P002826-1,14889.638885819159,16466.506285098276,1576.8673992791169
U05,B,P002804-1,15138.262765044692,16345.31858353628,1207.0558184915885
U05,B,P002786-1,16625.8594209775,18145.67569685814,1519.8162758806402
U06,B,P002706-1,16789.846778951054,17940.66165011053,1150.8148711594781
U06,B,P002789-1,17940.66165011053,19460.47792599117,1519.8162758806402
U05,B,P002771-1,18145.67569685814,20072.60363031097,1926.9279334528294
U06,B,P002768-1,19460.47792599117,21387.405859444,1926.9279334528294
U05,B,P002751-2,20072.60363031097,22093.929649130172,2021.326018819204
