架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
P000110-1,1,O01,S010,360.0,894.9089808650415,22.0,4783.786256708622,307.93653564453126,84.03653564453123,435.63653564453125,534.9089808650415,1.0313621314942873,0.10722179095289444,1.1385839224471819
P000110-1,2,S010,O01,1104.9089808650415,1654.7446283967497,0.0,4783.786256708622,84.03653564453123,307.93653564453126,435.63653564453125,549.8356475317081,0.861081526207552,0.022263846075269905,0.8833453722828218
P000128-1,1,O01,S013,360.0,873.9976685110191,22.0,4854.131973304105,271.48182373046876,47.48182373046876,399.18182373046875,513.9976685110191,1.0465283417545523,0.09452846279059517,1.1410568045451475
P000128-1,2,S013,O01,1083.9976685110191,1612.9286703553717,0.0,4854.131973304105,47.48182373046876,271.48182373046876,399.18182373046875,528.9310018443524,0.8737437551947388,0.012579385939704051,0.8863231411344429
P002890-1,1,O01,S014,360.0,972.2594907262705,17.0,5416.97109624562,464.2473876953125,240.9473876953125,591.9473876953125,612.2594907262705,0.9469754889622632,0.14407788719516332,1.0910533761574266
P002890-1,2,S014,O01,1182.2594907262705,1809.4056481192079,0.0,5416.97109624562,240.9473876953125,464.2473876953125,591.9473876953125,627.1461573929372,0.7738530137493743,0.05927473061879475,0.833127744368169
P007378-1,1,O01,S010,360.0,815.1792099198976,11.0,4783.786256708622,307.93653564453126,84.03653564453123,435.63653564453125,455.1792099198977,0.755265077762286,0.08857452296108671,0.8438396007233727
P007378-1,2,S010,S014,995.1792099198976,1249.1483692233103,8.0,1760.3381402836126,185.96356811523435,186.56356811523438,537.5635681152344,253.9691593034127,0.2672490869032259,0.051378892760170825,0.31862797966339673
P007378-1,3,S014,O01,1429.1483692233103,2056.2945266162474,0.0,5416.97109624562,240.9473876953125,464.2473876953125,591.9473876953125,627.1461573929372,0.7738530137493743,0.05927473061879475,0.833127744368169
P007706-1,1,O01,S001,450.0,757.1268705976427,48.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,1.2586170555542995,0.06486084486637117,1.3234779004206707
P007706-1,2,S001,O01,1117.1268705976427,1429.8837411952854,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,312.7568705976427,0.9436427146198294,0.02356011173852285,0.9672028263583523
P007727-1,1,O01,S002,420.0,1033.4686604672966,37.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,613.4686604672967,2.7573316900769758,0.07333307968006135,2.8306647697570373
P007727-1,2,S002,O01,1357.4686604672966,1980.1173209345932,0.0,7443.597475979177,89.45425415039062,181.25425415039064,308.9542541503906,622.6486604672966,2.2903376849166697,0.023665309298515323,2.314002994215185
P007818-1,1,O01,S006,1849.8837411952854,2183.1979570003245,39.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,333.3142158050391,1.1997690358163755,0.09825715947685244,1.298026195293228
P007818-1,2,S006,O01,2507.1979570003245,2859.2221728053637,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,352.02421580503915,0.9798745863928487,0.013570950271987913,0.9934455366648367
P007572-1,1,O01,S013,2169.405648119208,2602.5011170751586,17.0,4854.131973304105,271.48182373046876,47.48182373046876,399.18182373046875,433.0954689559507,0.8485819690071652,0.08425362987857396,0.9328355988857392
P007572-1,2,S013,S012,2782.5011170751586,3064.6104661528666,14.0,2867.1501971031175,84.82636718750001,156.7263671875,436.5263671875,282.10934907770786,0.47440957238171744,0.025362494717068144,0.4997720670987856
P007572-1,3,S012,O01,3244.6104661528666,3897.133016584258,0.0,7406.727312867355,133.50099487304686,285.6009948730469,413.3009948730469,652.5225504313913,1.0581039018381935,0.0328421718290117,1.0909460736672052
P007836-1,1,O01,S007,2370.1173209345934,2908.1565497489564,31.0,4538.900569056266,384.27317504882814,163.47317504882812,511.9731750488281,538.0392288143631,1.6050595038856683,0.14674565300362905,1.7518051568892974
P007836-1,2,S007,O01,3196.1565497489564,3756.2757785633194,0.0,4538.900569056266,163.47317504882812,384.27317504882814,511.9731750488281,560.119228814363,1.396584790478851,0.04324716902828217,1.4398319595071332
P002877-1,1,O01,S012,2416.2945266162474,3058.6770770476387,11.0,7406.727312867355,285.6009948730469,133.50099487304686,413.3009948730469,642.3825504313913,1.169375507125117,0.08214995283084446,1.2515254599559615
P002877-1,2,S012,O01,3268.6770770476387,3921.19962747903,0.0,7406.727312867355,133.50099487304686,285.6009948730469,413.3009948730469,652.5225504313913,1.0581039018381935,0.0328421718290117,1.0909460736672052
P007746-1,1,O01,S003,3303.609771364604,4073.516803804805,37.0,7269.199621124498,434.10413818359376,223.30413818359375,561.8041381835938,769.907032440201,2.6927294955837824,0.17563280654614769,2.8683623021299303
P007746-1,2,S003,O01,4397.516803804805,5188.503836245006,0.0,7269.199621124498,223.30413818359375,434.10413818359376,561.8041381835938,790.9870324402009,2.2366768064998457,0.059075574973424284,2.29575238147327
P002846-1,1,O01,S008,4257.133016584257,4920.909624581745,17.0,8118.546464933021,245.20933227539064,102.00933227539065,372.9093322753906,663.7766079974879,1.4192552206197342,0.0761000351346334,1.4953552557543677
P002846-1,2,S008,O01,5130.909624581745,5804.2328992459,0.0,8118.546464933021,102.00933227539065,245.20933227539064,372.9093322753906,673.3232746641546,1.1597923521332887,0.0250950041378869,1.1848873562711755
P002897-1,1,O01,S015,4281.19962747903,4869.875643495148,17.0,6025.848431159745,444.09925537109376,97.29925537109375,571.7992553710938,588.6760160161184,1.0534172442723415,0.13782497029537627,1.1912422145677177
P002897-1,2,S015,O01,5079.875643495148,5691.671659511267,0.0,6025.848431159745,97.29925537109375,444.09925537109376,571.7992553710938,611.7960160161184,0.8608354901656778,0.023936292510562472,0.8847717826762403
P007696-1,1,O01,S001,4716.79817367707,5023.9250442747125,80.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,2.04455921500963,0.0824651454238256,2.1270243604334556
P007696-1,2,S001,O01,5455.9250442747125,5768.681914872355,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,312.7568705976427,0.9436427146198294,0.02356011173852285,0.9672028263583523
P003780-1,1,O01,S011,6081.671659511267,6358.88385971314,25.0,2820.30369394606,167.66175537109376,83.26175537109376,295.36175537109375,277.21220020187275,0.5977977314956027,0.05710978542327882,0.6549075169188815
P003780-1,2,S011,S001,6568.88385971314,6784.132926827346,14.0,2352.9690084220733,64.28790893554688,92.38790893554688,276.3879089355469,215.24906711420593,0.38933119801006455,0.019221638327916468,0.408552836337981
P003780-1,3,S001,O01,6964.132926827346,7256.417029073751,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,292.2841022464057,0.4381198317877779,0.021908544535107082,0.460028376322885
P002776-1,1,O01,S004,6164.232899245901,6839.343532638982,17.0,7754.328672038799,270.53916625976564,169.9391662597656,398.2391662597656,675.1106333930813,1.3555839703238248,0.08396107875103422,1.4395450490748591
P002776-1,2,S004,O01,7049.343532638982,7731.16083269873,0.0,7754.328672038799,169.9391662597656,270.53916625976564,398.2391662597656,681.817300059748,1.1077612388626856,0.041806215033001366,1.149567453895687
P002856-1,1,O01,S009,7617.944391650315,8080.35114146302,11.0,5729.0832113019,165.52891235351564,63.228912353515625,293.2289123535156,462.40674981270473,0.9045087394994977,0.04761255242835151,0.9521212919278492
P002856-1,2,S009,O01,8290.35114146302,8759.577891275723,0.0,5729.0832113019,63.228912353515625,165.52891235351564,293.2289123535156,469.2267498127048,0.8184404587574142,0.015554751528633965,0.8339952102860482
P007527-1,1,O01,S011,8091.16083269873,8368.373032900603,22.0,2820.30369394606,167.66175537109376,83.26175537109376,295.36175537109375,277.21220020187275,0.5512677379502882,0.055206125909169526,0.6064738638594577
P007527-1,2,S011,S015,8548.373032900603,8950.651931556264,8.0,3465.6463094247456,376.6306518554687,114.23065185546875,588.7306518554688,402.2788986556601,0.5261436939462534,0.10405729502826265,0.630200988974516
P007527-1,3,S015,O01,9130.651931556264,9742.447947572382,0.0,6025.848431159745,97.29925537109375,444.09925537109376,571.7992553710938,611.7960160161184,0.8608354901656778,0.023936292510562472,0.8847717826762403
P006882-1,1,O01,S009,9119.577891275725,9581.98464108843,20.0,5729.0832113019,165.52891235351564,63.228912353515625,293.2289123535156,462.40674981270473,1.067463370939644,0.05325088100539314,1.120714251945037
P006882-1,2,S009,S008,9761.98464108843,10196.871387498206,6.0,5023.877221537263,158.620361328125,117.72036132812502,388.620361328125,434.88674640977587,0.7463045345838222,0.04262371445549859,0.7889282490393208
P006882-1,3,S008,O01,10376.871387498206,11050.194662162361,0.0,8118.546464933021,102.00933227539065,245.20933227539064,372.9093322753906,673.3232746641546,1.1597923521332887,0.0250950041378869,1.1848873562711755
P002794-1,1,O01,S005,10102.447947572382,10575.112752179368,17.0,5307.952293714175,198.710888671875,131.410888671875,326.410888671875,472.6648046069867,0.9279172122982345,0.06166937232462567,0.9895865846228602
P002794-1,2,S005,O01,10785.112752179368,11262.264223453021,0.0,5307.952293714175,131.410888671875,198.710888671875,326.410888671875,477.1514712736533,0.758278899102025,0.03232799118889702,0.790606890290922
