架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
P000110-1,U01,A,A-B01,0.0,O01→S010→O01,1654.7446283967497,2.0219292947300036,2,22.0,0.055,0.5506823789488882,2738.8575357631953
P000128-1,U02,A,A-B02,0.0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,0.5494711231823133,2698.6162102183644
P002890-1,U05,B,B-B01,0.0,O01→S014→O01,1809.4056481192079,1.9241811205255956,2,17.0,0.039,0.5189547198686011,3309.884133680299
P007378-1,U06,B,B-B02,0.0,O01→S010→S014→O01,2056.2945266162474,1.9955953247549385,2,11.0,0.04,0.5011011688112654,3587.719167343387
P007706-1,U07,C,C-B01,0.0,O01→S001→O01,1429.8837411952854,2.290680726779023,5,48.0,0.105,0.7136649091526222,2883.609771364604
P007727-1,U08,C,C-B02,0.0,O01→S002→O01,1980.1173209345932,5.1446677639722225,4,37.0,0.10099999999999999,0.3569165295034722,4206.79817367707
P007818-1,U07,C,C-B03,1429.8837411952854,O01→S006→O01,2859.2221728053637,2.2914717319580644,4,39.0,0.094,0.713566033505242,4313.1624335440065
P007572-1,U05,B,B-B03,1809.4056481192079,O01→S013→S012→O01,3897.133016584258,2.52355373965173,2,17.0,0.039,0.36911156508706755,5657.339637100007
P007836-1,U08,C,C-B04,1980.1173209345932,O01→S007→O01,3756.2757785633194,3.1916371163964303,3,31.0,0.066,0.6010453604504462,5454.010830920686
P002877-1,U06,B,B-B04,2056.2945266162474,O01→S012→O01,3921.19962747903,2.3424715336231667,2,11.0,0.04,0.4143821165942083,5602.937292049069
P007746-1,U07,C,C-B01,2883.609771364604,O01→S003→O01,5188.503836245006,5.1641146836032,4,37.0,0.10099999999999999,0.35448566454959995,7420.451563054206
P002846-1,U05,B,B-B01,3897.133016584258,O01→S008→O01,5804.232899245901,2.680242612025543,2,17.0,0.039,0.32993934699361427,7632.338031123636
P002897-1,U06,B,B-B02,3921.19962747903,O01→S015→O01,5691.671659511267,2.076013997243958,2,17.0,0.039,0.48099650068901045,7257.944391650315
P007696-1,U08,C,C-B02,4206.79817367707,O01→S001→O01,5768.681914872355,3.094227186791808,7,80.0,0.192,0.613221601651024,7440.035111295137
P003780-1,U06,B,B-B03,5691.671659511267,O01→S011→S001→O01,7256.417029073751,1.5234887295797475,3,25.0,0.067,0.6191278176050632,8583.262145224975
P002776-1,U05,B,B-B04,5804.232899245901,O01→S004→O01,7731.16083269873,2.589112502970546,2,17.0,0.039,0.35272187425736345,9519.776250652634
P002856-1,U06,B,B-B02,7257.944391650315,O01→S009→O01,8759.577891275725,1.7861165022138974,2,11.0,0.04,0.5534708744465257,10200.228375568415
P007527-1,U05,B,B-B01,7731.16083269873,O01→S011→S015→O01,9742.447947572382,2.121446635510214,2,22.0,0.055,0.4696383411224465,11328.408156293475
P006882-1,U06,B,B-B03,8759.577891275725,O01→S009→S008→O01,11050.194662162361,3.0945298572555333,2,20.0,0.062,0.22636753568611667,13057.824266973092
P002794-1,U05,B,B-B04,9742.447947572382,O01→S005→O01,11262.264223453021,1.7801934749137822,2,17.0,0.039,0.5549516312715544,12700.348062582327
P002751-1,U06,B,B-B02,11050.194662162361,O01→S003→O01,13071.520680981565,2.6571958573175243,2,22.0,0.055,0.33570103567061893,14889.638885819159
P002841-1,U05,B,B-B01,11328.408156293475,O01→S008→O01,13235.508038955119,2.852510906360555,2,22.0,0.055,0.2868722734098612,15138.262765044692
P002731-1,U06,B,B-B03,13071.520680981565,O01→S002→O01,14832.51991719936,2.600014239488017,2,22.0,0.055,0.3499964401279958,16625.8594209775
P002731-2,U05,B,B-B04,13235.508038955119,O01→S002→O01,14996.507275172915,2.600014239488017,2,22.0,0.055,0.3499964401279958,16789.846778951054
P002826-1,U06,B,B-B02,14889.638885819159,O01→S007→O01,16466.506285098276,1.55454865891701,2,14.0,0.063,0.6113628352707474,17806.810703962314
P002804-1,U05,B,B-B01,15138.262765044692,O01→S006→O01,16345.31858353628,1.1376190136256659,2,20.0,0.062,0.7155952465935835,17504.953489440733
P002786-1,U05,B,B-B03,16625.8594209775,O01→S005→O01,18145.67569685814,1.8435292042378821,2,20.0,0.062,0.5391176989405295,19611.205018694556
P002706-1,U06,B,B-B04,16789.846778951054,O01→S001→O01,17940.66165011053,0.9937863532478961,2,12.0,0.07,0.751553411688026,19037.969069851286
P002789-1,U06,B,B-B01,17940.66165011053,O01→S005→O01,19460.47792599117,1.8935499829507578,2,22.0,0.055,0.5266125042623105,20947.682918603165
P002771-1,U05,B,B-B02,18145.67569685814,O01→S004→O01,20072.60363031097,2.754339926197149,2,22.0,0.055,0.31141501845071273,21932.817598329733
P002768-1,U06,B,B-B04,19460.47792599117,O01→S004→O01,21387.405859444,2.6814146621746975,2,20.0,0.062,0.32964633445632563,23216.0188797197
P002751-2,U05,B,B-B03,20072.60363031097,O01→S003→O01,22093.929649130172,2.6571958573175243,2,22.0,0.055,0.33570103567061893,23912.047853967764
