电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,P000069-1,0.0,1253.2088986841472,0.7137170513168669,872.1678332880731,2125.37673197222
A-B02,A,P000076-1,0.0,1313.2088986841472,0.7086782465571957,878.7182794756455,2191.9271781597927
A-B03,A,P000149-1,0.0,2224.9115907765577,0.303866975770245,1404.9729314986814,3629.884522275239
A-B04,A,P002664-1,0.0,2399.8608598529595,0.2950319094428979,1416.4585177242327,3816.3193775771924
B-B01,B,P002898-1,0.0,1809.4056481192079,0.48879662285813397,1552.7525203792343,3362.158168498442
B-B02,B,P004315-1,0.0,2120.691331387855,0.322658328938783,1840.725563172776,3961.4168945606307
C-B01,C,P008672-1,0.0,1908.158457628726,0.5732464688409069,1757.9659841780351,3666.124441806761
C-B02,C,P016757-1,0.0,2822.6676193642843,0.30802729848988164,2332.6075199385896,5155.275139302874
A-B05,A,P000203-1,1253.2088986841472,3538.120489460705,0.3584456166087261,1334.0206984086562,4872.141187869362
A-B06,A,P000241-1,1313.2088986841472,4135.591295827027,0.21030929730249293,1526.5979135067594,5662.1892093337865
B-B03,B,P003513-1,1809.4056481192079,3597.8219861829984,0.45677655229645886,1608.253976019471,5206.07596220247
C-B03,C,P008383-1,1908.158457628726,3690.2757785633194,0.40551438270170725,2121.3855041463007,5811.66128270962
B-B04,B,P002734-1,2120.691331387855,3881.6905676056513,0.27942936263788654,1915.6557714276635,5797.3463390333145
A-B01,A,P000024-1,2224.9115907765577,4174.030742860326,0.35920271766900624,1333.036467030292,5507.067209890618
A-B02,A,P000112-1,2399.8608598529595,4054.605488249709,0.5656470103516276,1064.6588865428844,5119.264374792594
C-B04,C,P008526-1,2822.6676193642843,4931.008608237036,0.3404591412413549,2262.3385273103977,7193.347135547434
B-B01,B,P002848-1,3597.8219861829984,5504.921868844641,0.3058879275657178,1869.7942588860892,7374.71612773073
C-B01,C,P008444-1,3690.2757785633194,5797.169843443721,0.4047423938567467,2123.058146643715,7920.227990087436
A-B03,A,P000121-1,3629.884522275239,5681.680533566933,0.3697371960557704,1319.3416451274984,7001.022178694431
B-B02,B,P002890-1,3961.4168945606307,5352.541165805866,0.6207315368926035,1324.0653360528204,6676.606501858686
A-B04,A,P001075-1,4054.605488249709,6569.742379408576,0.20431046569503952,1534.3963945964488,8104.138774005025
A-B05,A,P000004-1,4872.141187869362,6065.184019779321,0.7352660733002401,844.1541047096879,6909.338124489009
A-B02,A,P001695-1,5119.264374792594,7618.910396679069,0.2821565005289084,1433.196549312419,9052.106945991487
C-B02,C,P008447-1,5155.275139302874,7460.169204183276,0.3159118646242718,2315.524293314078,9775.693497497354
B-B03,B,P002845-1,5352.541165805866,7199.641048467508,0.349617797951181,1793.9958168846197,8993.636865352128
B-B04,B,P002816-1,5797.3463390333145,6944.402157524903,0.7457744904599842,1107.3242165360273,8051.72637406093
C-B03,C,P008712-1,5811.66128270962,7348.275214430925,0.6147016077087758,1668.1465166309858,9016.421731061911
A-B01,A,P000142-1,5681.680533566933,7653.014179971162,0.4492623957522923,1215.9588855220202,8868.973065493183
A-B06,A,P000004-2,6065.184019779321,7258.22685168928,0.7352660733002401,844.1541047096879,8102.380956398968
A-B05,A,P000060-1,6909.338124489009,8546.086143493454,0.5498127401552195,1085.2434377982147,9631.32958129167
A-B03,A,P000058-1,7258.22685168928,8894.974870693726,0.5341657067408478,1105.5845812368977,10000.559451930623
B-B01,B,P002865-1,7374.71612773073,8876.34962735614,0.5282738850798658,1484.3252658615659,10360.674893217705
C-B04,C,P008559-1,7348.275214430925,8899.111786535523,0.5764906652546735,1750.9368919482074,10650.04867848373
A-B04,A,P000058-2,8104.138774005025,9740.886793009471,0.5341657067408478,1105.5845812368977,10846.471374246368
B-B02,B,P002862-1,7199.641048467508,8641.274548092917,0.5626250006936294,1424.7833321310425,10066.05788022396
A-B06,A,P000049-1,8102.380956398968,10227.786512253091,0.34488660670572224,1351.6474112825613,11579.433923535653
C-B01,C,P008512-1,7920.227990087436,9896.568978960187,0.3827567259424298,2170.6937604580685,12067.262739418256
B-B04,B,P002760-1,8876.34962735614,10837.675646175343,0.42077120460334505,1670.663245354202,12508.338891529545
A-B02,A,P000038-1,9052.106945991487,11255.739618848174,0.3659169513448828,1324.3079632516524,12580.047582099827
A-B01,A,P000117-1,8868.973065493183,10033.034255695131,0.7582341690386504,814.2955802497545,10847.329835944885
C-B03,C,P008600-1,9016.421731061911,10247.76016267199,0.7434049021340302,1389.2893787096011,11637.049541381592
B-B03,B,P002793-1,8993.636865352128,10453.453141232767,0.5679264917080371,1415.5940810394022,11869.04722227217
A-B05,A,P000116-1,9740.886793009471,10964.94798321142,0.7341918807421295,845.5505550352317,11810.498538246651
A-B03,A,P000139-1,10033.034255695131,11944.367902099359,0.47401589232233177,1183.7793399809689,13128.147242080327
