货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S006-WAT-02,P000069-1,S006,饮用水,否,875.3677826754069,,3600,0.0,12
S006-MED-01,P000076-1,S006,医疗物资,是,935.3677826754069,3600.0,3600,0.0,24
S006-WAT-03,P000076-1,S006,饮用水,否,935.3677826754069,,3600,0.0,12
S001-WAT-01,P000149-1,S001,饮用水,是,1881.513508154911,3600.0,3600,0.0,12
S002-FOD-01,P000149-1,S002,应急食品,否,1256.4995760418847,,7200,0.0,10
S012-MED-01,P002664-1,S012,医疗物资,是,1335.828005645847,3600.0,7200,0.0,22
S013-MED-01,P002664-1,S013,医疗物资,是,1870.929858008607,3600.0,3600,0.0,24
S013-WAT-01,P002664-1,S013,饮用水,是,1870.929858008607,3600.0,3600,0.0,12
S014-FOD-01,P002898-1,S014,应急食品,否,1182.2594907262705,,7200,0.0,10
S014-WAT-01,P002898-1,S014,饮用水,是,1182.2594907262705,3600.0,3600,0.0,12
S001-WAT-04,P004315-1,S001,饮用水,否,828.5307689130724,,3600,0.0,12
S012-WAT-01,P004315-1,S012,饮用水,是,1468.1687809564637,3600.0,3600,0.0,12
S007-FOD-01,P008672-1,S007,应急食品,否,1348.039228814363,,7200,0.0,10
S007-HYG-01,P008672-1,S007,生活卫生用品,否,1348.039228814363,,10800,0.0,8
S007-MED-01,P008672-1,S007,医疗物资,是,1348.039228814363,3600.0,3600,0.0,24
S007-WAT-01,P008672-1,S007,饮用水,是,1348.039228814363,3600.0,3600,0.0,12
S007-WAT-02,P008672-1,S007,饮用水,否,1348.039228814363,,3600,0.0,12
S001-FOD-03,P016757-1,S001,应急食品,否,1279.1268705976427,,7200,0.0,10
S001-HYG-01,P016757-1,S001,生活卫生用品,否,1279.1268705976427,,10800,0.0,8
S001-HYG-02,P016757-1,S001,生活卫生用品,否,1279.1268705976427,,10800,0.0,8
S001-WAT-05,P016757-1,S001,饮用水,否,1279.1268705976427,,3600,0.0,12
S001-WAT-06,P016757-1,S001,饮用水,否,1279.1268705976427,,3600,0.0,12
S001-WAT-07,P016757-1,S001,饮用水,否,1279.1268705976427,,3600,0.0,12
S001-WAT-08,P016757-1,S001,饮用水,否,1279.1268705976427,,3600,0.0,12
S014-MED-01,P016757-1,S014,医疗物资,是,2133.0335640221283,3600.0,7200,0.0,22
S001-MED-02,P000203-1,S001,医疗物资,否,3194.7224068390583,3600.0,3600,0.0,24
S002-HYG-01,P000203-1,S002,生活卫生用品,否,2569.708474726032,,10800,0.0,8
S002-MED-01,P000203-1,S002,医疗物资,是,2569.708474726032,3600.0,3600,0.0,24
S001-MED-01,P000241-1,S001,医疗物资,是,2252.8536479724603,3600.0,3600,0.0,24
S001-WAT-02,P000241-1,S001,饮用水,否,2252.8536479724603,,3600,0.0,12
S003-MED-01,P000241-1,S003,医疗物资,是,3281.7482927320166,7200.0,7200,0.0,20
S001-WAT-03,P003513-1,S001,饮用水,否,2637.93641703228,,3600,0.0,12
S006-WAT-01,P003513-1,S006,饮用水,是,3273.0574102705377,3600.0,3600,0.0,12
S002-WAT-04,P008383-1,S002,饮用水,否,3067.6271180960225,,3600,0.0,12
S002-WAT-02,P002734-1,S002,饮用水,否,3283.130949496753,,3600,0.0,12
S002-WAT-03,P002734-1,S002,饮用水,否,3283.130949496753,,3600,0.0,12
S002-WAT-01,P000024-1,S002,饮用水,是,3451.4111668184423,3600.0,3600,0.0,12
S010-MED-01,P000112-1,S010,医疗物资,是,3504.769840718001,3600.0,3600,0.0,24
S010-WAT-01,P000112-1,S010,饮用水,是,3504.769840718001,3600.0,3600,0.0,12
S004-MED-01,P008526-1,S004,医疗物资,是,4210.80811380066,7200.0,7200,0.0,20
S004-WAT-02,P008526-1,S004,饮用水,否,4210.80811380066,,7200,0.0,10
S004-WAT-03,P008526-1,S004,饮用水,否,4210.80811380066,,7200,0.0,10
S008-HYG-01,P002848-1,S008,生活卫生用品,否,4831.5985941804865,,14400,0.0,6
S008-WAT-02,P002848-1,S008,饮用水,否,4831.5985941804865,,7200,0.0,10
S003-WAT-01,P008444-1,S003,饮用水,是,5006.18281100352,7200.0,7200,0.0,10
S012-FOD-01,P000121-1,S012,应急食品,否,4905.712527921086,,7200,0.0,10
S013-FOD-01,P002890-1,S013,应急食品,否,4904.512363516582,,7200,0.0,10
S002-FOD-02,P001075-1,S002,应急食品,否,5847.122803366692,,7200,0.0,10
S004-WAT-01,P001075-1,S004,饮用水,是,5398.954932843437,7200.0,7200,0.0,10
S001-FOD-01,P000004-1,S001,应急食品,否,5721.785937157675,,7200,0.0,10
S005-MED-01,P001695-1,S005,医疗物资,是,6250.395050961483,10800.0,10800,0.0,16
S008-FOD-01,P001695-1,S008,应急食品,否,6810.27801426603,,10800,0.0,8
S008-MED-01,P001695-1,S008,医疗物资,是,6810.27801426603,7200.0,7200,0.0,20
S003-HYG-01,P008447-1,S003,生活卫生用品,否,6669.182171743075,,14400,0.0,6
S003-WAT-02,P008447-1,S003,饮用水,否,6669.182171743075,,7200,0.0,10
S003-WAT-03,P008447-1,S003,饮用水,否,6669.182171743075,,7200,0.0,10
S003-WAT-04,P008447-1,S003,饮用水,否,6669.182171743075,,7200,0.0,10
S008-WAT-01,P002845-1,S008,饮用水,是,6526.317773803354,7200.0,7200,0.0,10
S006-FOD-01,P002816-1,S006,应急食品,否,6619.637581612442,,7200,0.0,10
S010-FOD-01,P008712-1,S010,应急食品,否,6841.773248570273,,7200,0.0,10
S015-MED-01,P000142-1,S015,医疗物资,是,6940.787356769048,7200.0,7200,0.0,18
S015-WAT-01,P000142-1,S015,饮用水,是,6940.787356769048,10800.0,10800,0.0,8
S001-FOD-02,P000004-2,S001,应急食品,否,6914.828769067634,,7200,0.0,10
S005-HYG-01,P000060-1,S005,生活卫生用品,否,7980.468800657898,,18000,0.0,4
S005-WAT-02,P000058-1,S005,饮用水,否,8329.35752785817,,10800,0.0,8
S009-MED-01,P002865-1,S009,医疗物资,是,8407.122877543434,10800.0,10800,0.0,16
S009-WAT-01,P002865-1,S009,饮用水,是,8407.122877543434,10800.0,10800,0.0,8
S005-FOD-01,P008559-1,S005,应急食品,否,8393.328500483225,,14400,0.0,6
S005-WAT-03,P000058-2,S005,饮用水,否,9175.269450173915,,10800,0.0,8
S009-FOD-01,P002862-1,S009,应急食品,否,8172.047798280213,,14400,0.0,6
S004-HYG-01,P000049-1,S004,生活卫生用品,否,9416.730400992696,,14400,0.0,6
S004-FOD-01,P008512-1,S004,应急食品,否,9176.368484523813,,10800,0.0,8
S003-FOD-02,P002760-1,S003,应急食品,否,10104.985970099075,,10800,0.0,8
S003-FOD-01,P000038-1,S003,应急食品,否,10401.896615753165,,10800,0.0,8
S011-MED-01,P000117-1,S011,医疗物资,是,9703.190327260823,10800.0,10800,0.0,16
S006-HYG-01,P008600-1,S006,生活卫生用品,否,9895.735946866951,,10800,0.0,8
S005-WAT-01,P002793-1,S005,饮用水,是,9976.301669959113,10800.0,10800,0.0,8
S011-FOD-01,P000116-1,S011,应急食品,否,10635.104054777112,,14400,0.0,6
S011-WAT-01,P000116-1,S011,饮用水,是,10635.104054777112,10800.0,10800,0.0,8
S015-FOD-01,P000139-1,S015,应急食品,否,11232.141078897246,,14400,0.0,6
