无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,P000069-1,0.0,1253.2088986841472,1253.2088986841472
U02,A,P000076-1,0.0,1313.2088986841472,1313.2088986841472
U03,A,P000149-1,0.0,2224.9115907765577,2224.9115907765577
U04,A,P002664-1,0.0,2399.8608598529595,2399.8608598529595
U05,B,P002898-1,0.0,1809.4056481192079,1809.4056481192079
U06,B,P004315-1,0.0,2120.691331387855,2120.691331387855
U07,C,P008672-1,0.0,1908.158457628726,1908.158457628726
U08,C,P016757-1,0.0,2822.6676193642843,2822.6676193642843
U01,A,P000203-1,1253.2088986841472,3538.120489460705,2284.9115907765577
U02,A,P000241-1,1313.2088986841472,4135.591295827027,2822.3823971428797
U05,B,P003513-1,1809.4056481192079,3597.8219861829984,1788.4163380637906
U07,C,P008383-1,1908.158457628726,3690.2757785633194,1782.1173209345932
U06,B,P002734-1,2120.691331387855,3881.6905676056513,1760.9992362177964
U03,A,P000024-1,2224.9115907765577,4174.030742860326,1949.1191520837692
U04,A,P000112-1,2399.8608598529595,4054.605488249709,1654.7446283967497
U08,C,P008526-1,2822.6676193642843,4931.008608237036,2108.3409888727515
U05,B,P002848-1,3597.8219861829984,5504.921868844641,1907.0998826616424
U07,C,P008444-1,3690.2757785633194,5797.169843443721,2106.894064880402
U01,A,P000121-1,3629.884522275239,5681.680533566933,2051.7960112916944
U06,B,P002890-1,3961.4168945606307,5352.541165805866,1391.124271245235
U04,A,P001075-1,4054.605488249709,6569.742379408576,2515.136891158867
U02,A,P000004-1,4872.141187869362,6065.184019779321,1193.0428319099597
U03,A,P001695-1,5119.264374792594,7618.910396679069,2499.646021886475
U08,C,P008447-1,5155.275139302874,7460.169204183276,2304.894064880402
U06,B,P002845-1,5352.541165805866,7199.641048467508,1847.0998826616424
U05,B,P002816-1,5797.3463390333145,6944.402157524903,1147.0558184915885
U07,C,P008712-1,5811.66128270962,7348.275214430925,1536.6139317213058
U01,A,P000142-1,5681.680533566933,7653.014179971162,1971.3336464042286
U02,A,P000004-2,6065.184019779321,7258.22685168928,1193.0428319099597
U04,A,P000060-1,6909.338124489009,8546.086143493454,1636.7480190044457
U02,A,P000058-1,7258.22685168928,8894.974870693726,1636.7480190044457
U05,B,P002865-1,7374.71612773073,8876.34962735614,1501.6334996254095
U07,C,P008559-1,7348.275214430925,8899.111786535523,1550.8365721045984
U01,A,P000058-2,8104.138774005025,9740.886793009471,1636.7480190044457
U06,B,P002862-1,7199.641048467508,8641.274548092917,1441.6334996254095
U03,A,P000049-1,8102.380956398968,10227.786512253091,2125.4055558541227
U08,C,P008512-1,7920.227990087436,9896.568978960187,1976.3409888727515
U05,B,P002760-1,8876.34962735614,10837.675646175343,1961.326018819204
U02,A,P000038-1,9052.106945991487,11255.739618848174,2203.6326728566873
U04,A,P000117-1,8868.973065493183,10033.034255695131,1164.0611902019475
U07,C,P008600-1,9016.421731061911,10247.76016267199,1231.3384316100783
U06,B,P002793-1,8993.636865352128,10453.453141232767,1459.8162758806402
U01,A,P000116-1,9740.886793009471,10964.94798321142,1224.0611902019475
U04,A,P000139-1,10033.034255695131,11944.367902099359,1911.3336464042286
