架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
P000069-1,U01,A,A-B01,0.0,O01→S006→O01,1253.2088986841472,1.288273269074099,1,14.0,0.027,0.7137170513168669,2125.37673197222
P000076-1,U02,A,A-B02,0.0,O01→S006→O01,1313.2088986841472,1.3109478904926193,2,17.0,0.039,0.7086782465571957,2191.9271781597927
P000149-1,U03,A,A-B03,0.0,O01→S002→S001→O01,2224.9115907765577,3.1325986090338973,2,22.0,0.055,0.303866975770245,3629.884522275239
P002664-1,U04,A,A-B04,0.0,O01→S012→S013→O01,2399.8608598529595,3.1723564075069595,3,20.0,0.051000000000000004,0.2950319094428979,3816.3193775771924
P002898-1,U05,B,B-B01,0.0,O01→S014→O01,1809.4056481192079,2.044813508567464,2,22.0,0.055,0.48879662285813397,3362.158168498442
P004315-1,U06,B,B-B02,0.0,O01→S001→S012→O01,2120.691331387855,2.709366684244868,2,28.0,0.054,0.322658328938783,3961.4168945606307
P008672-1,U07,C,C-B01,0.0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,0.5732464688409069,3666.124441806761
P016757-1,U08,C,C-B02,0.0,O01→S001→S014→O01,2822.6676193642843,5.535781612080947,8,79.0,0.218,0.30802729848988164,5155.275139302874
P000203-1,U01,A,A-B05,1253.2088986841472,O01→S002→S001→O01,3538.120489460705,2.8869947252607324,3,12.0,0.059,0.3584456166087261,4872.141187869362
P000241-1,U02,A,A-B06,1313.2088986841472,O01→S001→S003→O01,4135.591295827027,3.5536081621387816,3,20.0,0.051000000000000004,0.21030929730249293,5662.1892093337865
P003513-1,U05,B,B-B03,1809.4056481192079,O01→S001→S006→O01,3597.8219861829984,2.1728937908141646,2,28.0,0.054,0.45677655229645886,5206.07596220247
P008383-1,U07,C,C-B03,1908.158457628726,O01→S002→O01,3690.2757785633194,4.755884938386342,1,14.0,0.027,0.40551438270170725,5811.66128270962
P002734-1,U06,B,B-B04,2120.691331387855,O01→S002→O01,3881.6905676056513,2.882282549448454,2,28.0,0.054,0.27942936263788654,5797.3463390333145
P000024-1,U03,A,A-B01,2224.9115907765577,O01→S002→O01,4174.030742860326,2.8835877704894717,1,14.0,0.027,0.35920271766900624,5507.067209890618
P000112-1,U04,A,A-B02,2399.8608598529595,O01→S010→O01,4054.605488249709,1.954588453417676,2,17.0,0.039,0.5656470103516276,5119.264374792594
P008526-1,U08,C,C-B04,2822.6676193642843,O01→S004→O01,4931.008608237036,5.276326870069161,3,31.0,0.066,0.3404591412413549,7193.347135547434
P002848-1,U05,B,B-B01,3597.8219861829984,O01→S008→O01,5504.921868844641,2.7764482897371288,2,20.0,0.062,0.3058879275657178,7374.71612773073
P008444-1,U07,C,C-B01,3690.2757785633194,O01→S003→O01,5797.169843443721,4.762060849146026,1,14.0,0.027,0.4047423938567467,7920.227990087436
P000121-1,U01,A,A-B03,3629.884522275239,O01→S012→O01,5681.680533566933,2.8361826177490332,1,8.0,0.028,0.3697371960557704,7001.022178694431
P002890-1,U06,B,B-B02,3961.4168945606307,O01→S013→O01,5352.541165805866,1.517073852429586,1,8.0,0.028,0.6207315368926035,6676.606501858686
P001075-1,U04,A,A-B04,4054.605488249709,O01→S004→S002→O01,6569.742379408576,3.580602904372322,2,22.0,0.055,0.20431046569503952,8104.138774005025
P000004-1,U02,A,A-B05,4872.141187869362,O01→S001→O01,6065.184019779321,1.1913026701489198,1,8.0,0.028,0.7352660733002401,6909.338124489009
P001695-1,U03,A,A-B02,5119.264374792594,O01→S005→S008→O01,7618.910396679069,3.230295747619912,3,14.0,0.052000000000000005,0.2821565005289084,9052.106945991487
P008447-1,U08,C,C-B02,5155.275139302874,O01→S003→O01,7460.169204183276,5.472705083005826,4,48.0,0.11599999999999999,0.3159118646242718,9775.693497497354
P002845-1,U06,B,B-B03,5352.541165805866,O01→S008→O01,7199.641048467508,2.601528808195276,1,14.0,0.027,0.349617797951181,8993.636865352128
P002816-1,U05,B,B-B04,5797.3463390333145,O01→S006→O01,6944.402157524903,1.016902038160063,1,8.0,0.028,0.7457744904599842,8051.72637406093
P008712-1,U07,C,C-B03,5811.66128270962,O01→S010→O01,7348.275214430925,3.0823871383297936,1,8.0,0.028,0.6147016077087758,9016.421731061911
P000142-1,U01,A,A-B01,5681.680533566933,O01→S015→O01,7653.014179971162,2.4783192191146846,2,17.0,0.039,0.4492623957522923,8868.973065493183
P000004-2,U02,A,A-B06,6065.184019779321,O01→S001→O01,7258.22685168928,1.1913026701489198,1,8.0,0.028,0.7352660733002401,8102.380956398968
P000060-1,U04,A,A-B05,6909.338124489009,O01→S005→O01,8546.086143493454,2.025842669301512,1,6.0,0.035,0.5498127401552195,9631.32958129167
P000058-1,U02,A,A-B03,7258.22685168928,O01→S005→O01,8894.974870693726,2.0962543196661847,1,14.0,0.027,0.5341657067408478,10000.559451930623
P002865-1,U05,B,B-B01,7374.71612773073,O01→S009→O01,8876.34962735614,1.8869044596805367,2,17.0,0.039,0.5282738850798658,10360.674893217705
P008559-1,U07,C,C-B04,7348.275214430925,O01→S005→O01,8899.111786535523,3.3880746779626123,1,8.0,0.028,0.5764906652546735,10650.04867848373
P000058-2,U01,A,A-B04,8104.138774005025,O01→S005→O01,9740.886793009471,2.0962543196661847,1,14.0,0.027,0.5341657067408478,10846.471374246368
P002862-1,U06,B,B-B02,7199.641048467508,O01→S009→O01,8641.274548092917,1.7494999972254823,1,8.0,0.028,0.5626250006936294,10066.05788022396
P000049-1,U03,A,A-B06,8102.380956398968,O01→S004→O01,10227.786512253091,2.94801026982425,1,6.0,0.035,0.34488660670572224,11579.433923535653
