电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,P000122-1,0.0,2111.7960112916944,0.3189155227204693,1385.40982046339,3497.2058317550845
A-B02,A,P000136-1,0.0,1989.971351327395,0.4911176555831851,1161.5470477418594,3151.5183990692544
A-B03,A,P001345-1,0.0,2423.1679598656283,0.3312660784588548,1369.3540980034888,3792.522057869117
A-B04,A,P002663-1,0.0,2339.8608598529595,0.3588216110098785,1333.5319056871579,3673.3927655401176
B-B01,B,P002808-1,0.0,1207.0558184915885,0.7078670236053644,1173.0304924173684,2380.086310908957
B-B02,B,P002862-1,0.0,1495.285086506462,0.5910191901937334,1375.5667369975288,2870.851823503991
C-B01,C,P007727-1,0.0,1980.1173209345932,0.3569165295034722,2226.680852742477,4206.79817367707
C-B02,C,P013592-1,0.0,2364.397719495693,0.39889216414271456,2135.733644357452,4500.131363853145
B-B03,B,P002898-1,1207.0558184915885,2977.5278505238252,0.5090314781223222,1517.6787712546413,4495.206621778467
B-B04,B,P002777-1,1495.285086506462,3422.213019959291,0.3957454026694831,1714.0413020395627,5136.254321998854
C-B03,C,P007813-1,1980.1173209345932,3409.4557525446717,0.7163041663485958,1448.0076395780422,4857.463392122714
A-B05,A,P000128-1,1989.971351327395,3602.9000216827667,0.5494711231823133,1085.6875398629927,4688.587561545759
A-B06,A,P000099-1,2111.7960112916944,4289.514109451104,0.2855487683934328,1428.7866010885373,5718.300710539641
C-B04,C,P007706-1,2364.397719495693,3794.2814606909783,0.7136649091526222,1453.7260301693188,5248.007490860297
B-B01,B,P004078-1,2977.5278505238252,5151.450216342028,0.3560604026685408,1782.8286353745295,6934.278851716558
A-B02,A,P000067-1,3151.5183990692544,4848.2664180737,0.5448380069200914,1091.710591003881,5939.977009077581
B-B02,B,P002853-1,3422.213019959291,4923.8465195847,0.49791790894877586,1536.9422911554552,6460.788810740156
A-B01,A,P002438-1,3497.2058317550845,6209.162365762709,0.23018765038143962,1500.7560545041285,7709.9184202668375
A-B04,A,P000039-1,3673.3927655401176,5937.025438396805,0.31422791181361165,1391.5037146423049,7328.52915303911
C-B01,C,P007757-1,4206.79817367707,6381.139162549822,0.2744331976949803,2405.3947383275427,8786.533900877364
A-B03,A,P000027-1,4289.514109451104,6298.633261534873,0.32634143769133184,1375.7561310012686,7674.389392536142
C-B02,C,P007746-1,4500.131363853145,6805.0254287335465,0.35448566454959995,2231.9477268092,9036.973155542746
B-B03,B,P004503-1,4923.8465195847,7072.865766386996,0.26935173951330005,1933.12365151028,9005.989417897275
B-B04,B,P002704-1,5151.450216342028,6302.265087501506,0.730446442616603,1133.892832797888,7436.157920299394
C-B03,C,P007781-1,6381.139162549822,8129.97573465442,0.5020729171838554,1912.1753461016467,10042.151080756066
C-B04,C,P024774-1,6805.0254287335465,8990.436843848258,0.4434617040192361,2039.166307958322,11029.60315180658
C-B01,C,P007855-1,8786.533900877364,10859.503560964138,0.32158268817081015,2303.2375089632446,13162.741069927382
C-B02,C,P007831-1,9036.973155542746,10813.131613171472,0.605743518017303,1687.5557109625101,12500.687324133982
C-B03,C,P007696-1,10813.131613171472,12375.015354366758,0.613221601651024,1671.3531964227811,14046.368550789539
