货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S012-FOD-01,P000122-1,S012,应急食品,否,1335.828005645847,,7200,0.0,10
S012-WAT-01,P000122-1,S012,饮用水,是,1335.828005645847,3600.0,3600,0.0,12
S014-MED-01,P000136-1,S014,医疗物资,是,1272.5423423303641,3600.0,7200,0.0,22
S014-WAT-01,P000136-1,S014,饮用水,是,1272.5423423303641,3600.0,3600,0.0,12
S003-FOD-02,P001345-1,S003,应急食品,否,1569.3249567706182,,10800,0.0,8
S007-WAT-01,P001345-1,S007,饮用水,是,1111.7220424571628,3600.0,3600,0.0,12
S012-MED-01,P002663-1,S012,医疗物资,是,1563.8928542071121,3600.0,7200,0.0,22
S013-MED-01,P002663-1,S013,医疗物资,是,1053.9976685110191,3600.0,3600,0.0,24
S006-FOD-01,P002808-1,S006,应急食品,否,882.2912425791276,,7200,0.0,10
S006-WAT-01,P002808-1,S006,饮用水,是,882.2912425791276,3600.0,3600,0.0,12
S010-MED-01,P002862-1,S010,医疗物资,是,1025.1792099198976,3600.0,3600,0.0,24
S010-WAT-01,P002862-1,S010,饮用水,是,1025.1792099198976,3600.0,3600,0.0,12
S002-HYG-01,P007727-1,S002,生活卫生用品,否,1357.4686604672966,,10800,0.0,8
S002-MED-01,P007727-1,S002,医疗物资,是,1357.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,P007727-1,S002,饮用水,是,1357.4686604672966,3600.0,3600,0.0,12
S002-WAT-04,P007727-1,S002,饮用水,否,1357.4686604672966,,3600,0.0,12
S003-WAT-04,P013592-1,S003,饮用水,否,1345.907032440201,,7200,0.0,10
S007-MED-01,P013592-1,S007,医疗物资,是,1804.27849068133,3600.0,3600,0.0,24
S015-FOD-01,P002898-1,S015,应急食品,否,2365.731834507707,,14400,0.0,6
S015-MED-01,P002898-1,S015,医疗物资,是,2365.731834507707,7200.0,7200,0.0,18
S004-HYG-01,P002777-1,S004,生活卫生用品,否,2740.395719899543,,14400,0.0,6
S004-MED-01,P002777-1,S004,医疗物资,是,2740.395719899543,7200.0,7200,0.0,20
S006-HYG-01,P007813-1,S006,生活卫生用品,否,3057.431536739632,,10800,0.0,8
S006-MED-01,P007813-1,S006,医疗物资,是,3057.431536739632,3600.0,3600,0.0,24
S006-WAT-02,P007813-1,S006,饮用水,否,3057.431536739632,,3600,0.0,12
S006-WAT-03,P007813-1,S006,饮用水,否,3057.431536739632,,3600,0.0,12
S013-FOD-01,P000128-1,S013,应急食品,否,3073.969019838414,,7200,0.0,10
S013-WAT-01,P000128-1,S013,饮用水,是,3073.969019838414,3600.0,3600,0.0,12
S008-MED-01,P000099-1,S008,医疗物资,是,3480.881727038066,7200.0,7200,0.0,20
S008-WAT-01,P000099-1,S008,饮用水,是,3480.881727038066,7200.0,7200,0.0,10
S001-MED-01,P007706-1,S001,医疗物资,是,3481.5245900933355,3600.0,3600,0.0,24
S001-MED-02,P007706-1,S001,医疗物资,否,3481.5245900933355,3600.0,3600,0.0,24
S001-WAT-01,P007706-1,S001,饮用水,是,3481.5245900933355,3600.0,3600,0.0,12
S001-WAT-07,P007706-1,S001,饮用水,否,3481.5245900933355,,3600,0.0,12
S001-WAT-08,P007706-1,S001,饮用水,否,3481.5245900933355,,3600,0.0,12
S001-HYG-02,P004078-1,S001,生活卫生用品,否,4859.166114095623,,10800,0.0,8
S015-WAT-01,P004078-1,S015,饮用水,是,4106.203866539943,10800.0,10800,0.0,8
S005-HYG-01,P000067-1,S005,生活卫生用品,否,4282.649075238144,,18000,0.0,4
S005-MED-01,P000067-1,S005,医疗物资,是,4282.649075238144,10800.0,10800,0.0,16
S009-FOD-01,P002853-1,S009,应急食品,否,4454.619769771996,,14400,0.0,6
S009-WAT-01,P002853-1,S009,饮用水,是,4454.619769771996,10800.0,10800,0.0,8
S009-MED-01,P002438-1,S009,医疗物资,是,4595.097301756155,10800.0,10800,0.0,16
S014-FOD-01,P002438-1,S014,应急食品,否,5491.733356765678,,7200,0.0,10
S003-FOD-01,P000039-1,S003,应急食品,否,5083.182435301795,,10800,0.0,8
S003-WAT-02,P000039-1,S003,饮用水,否,5083.182435301795,,7200,0.0,10
S004-FOD-01,P007757-1,S004,应急食品,否,5660.938668113446,,10800,0.0,8
S004-WAT-01,P007757-1,S004,饮用水,是,5660.938668113446,7200.0,7200,0.0,10
S004-WAT-02,P007757-1,S004,饮用水,否,5660.938668113446,,7200,0.0,10
S004-WAT-03,P007757-1,S004,饮用水,否,5660.938668113446,,7200,0.0,10
S002-FOD-01,P000027-1,S002,应急食品,否,5576.013685492988,,7200,0.0,10
S002-WAT-02,P000027-1,S002,饮用水,否,5576.013685492988,,3600,1976.0136854929879,12
S003-HYG-01,P007746-1,S003,生活卫生用品,否,6014.038396293346,,14400,0.0,6
S003-MED-01,P007746-1,S003,医疗物资,是,6014.038396293346,7200.0,7200,0.0,20
S003-WAT-01,P007746-1,S003,饮用水,是,6014.038396293346,7200.0,7200,0.0,10
S003-WAT-03,P007746-1,S003,饮用水,否,6014.038396293346,,7200,0.0,10
S002-FOD-02,P004503-1,S002,应急食品,否,6474.306148278099,,7200,0.0,10
S002-WAT-03,P004503-1,S002,饮用水,否,6474.306148278099,,3600,2874.3061482780986,12
S011-MED-01,P004503-1,S011,医疗物资,是,5771.058719786573,10800.0,10800,0.0,16
S001-HYG-01,P002704-1,S001,生活卫生用品,否,6009.980985255101,,10800,0.0,8
S001-WAT-02,P002704-1,S001,饮用水,否,6009.980985255101,,3600,2409.9809852551007,12
S005-FOD-01,P007781-1,S005,应急食品,否,7624.192448602121,,14400,0.0,6
S005-WAT-01,P007781-1,S005,饮用水,是,7624.192448602121,10800.0,10800,0.0,8
S005-WAT-02,P007781-1,S005,饮用水,否,7624.192448602121,,10800,0.0,8
S005-WAT-03,P007781-1,S005,饮用水,否,7624.192448602121,,10800,0.0,8
S010-FOD-01,P024774-1,S010,应急食品,否,8483.934877987605,,7200,1283.9348779876054,10
S011-FOD-01,P024774-1,S011,应急食品,否,7743.741254830602,,14400,0.0,6
S011-WAT-01,P024774-1,S011,饮用水,是,7743.741254830602,10800.0,10800,0.0,8
S008-FOD-01,P007855-1,S008,应急食品,否,10154.85873092075,,10800,0.0,8
S008-HYG-01,P007855-1,S008,生活卫生用品,否,10154.85873092075,,14400,0.0,6
S008-WAT-02,P007855-1,S008,饮用水,否,10154.85873092075,,7200,2954.8587309207505,10
S007-FOD-01,P007831-1,S007,应急食品,否,10253.01238435711,,7200,3053.012384357109,10
S007-HYG-01,P007831-1,S007,生活卫生用品,否,10253.01238435711,,10800,0.0,8
S007-WAT-02,P007831-1,S007,饮用水,否,10253.01238435711,,3600,6653.012384357109,12
S001-FOD-01,P007696-1,S001,应急食品,否,12062.258483769114,,7200,4862.258483769114,10
S001-FOD-02,P007696-1,S001,应急食品,否,12062.258483769114,,7200,4862.258483769114,10
S001-FOD-03,P007696-1,S001,应急食品,否,12062.258483769114,,7200,4862.258483769114,10
S001-WAT-03,P007696-1,S001,饮用水,否,12062.258483769114,,3600,8462.258483769114,12
S001-WAT-04,P007696-1,S001,饮用水,否,12062.258483769114,,3600,8462.258483769114,12
S001-WAT-05,P007696-1,S001,饮用水,否,12062.258483769114,,3600,8462.258483769114,12
S001-WAT-06,P007696-1,S001,饮用水,否,12062.258483769114,,3600,8462.258483769114,12
