无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,P000122-1,0.0,2111.7960112916944,2111.7960112916944
U02,A,P000136-1,0.0,1989.971351327395,1989.971351327395
U03,A,P001345-1,0.0,2423.1679598656283,2423.1679598656283
U04,A,P002663-1,0.0,2339.8608598529595,2339.8608598529595
U05,B,P002808-1,0.0,1207.0558184915885,1207.0558184915885
U06,B,P002862-1,0.0,1495.285086506462,1495.285086506462
U07,C,P007727-1,0.0,1980.1173209345932,1980.1173209345932
U08,C,P013592-1,0.0,2364.397719495693,2364.397719495693
U05,B,P002898-1,1207.0558184915885,2977.5278505238252,1770.4720320322367
U06,B,P002777-1,1495.285086506462,3422.213019959291,1926.9279334528294
U07,C,P007813-1,1980.1173209345932,3409.4557525446717,1429.3384316100783
U02,A,P000128-1,1989.971351327395,3602.9000216827667,1612.9286703553717
U01,A,P000099-1,2111.7960112916944,4289.514109451104,2177.7180981594097
U08,C,P007706-1,2364.397719495693,3794.2814606909783,1429.8837411952854
U05,B,P004078-1,2977.5278505238252,5151.450216342028,2173.922365818203
U03,A,P000067-1,3151.5183990692544,4848.2664180737,1696.7480190044457
U06,B,P002853-1,3422.213019959291,4923.8465195847,1501.6334996254095
U04,A,P002438-1,3497.2058317550845,6209.162365762709,2711.956534007624
U02,A,P000039-1,3673.3927655401176,5937.025438396805,2263.6326728566873
U07,C,P007757-1,4206.79817367707,6381.139162549822,2174.3409888727515
U01,A,P000027-1,4289.514109451104,6298.633261534873,2009.1191520837692
U08,C,P007746-1,4500.131363853145,6805.0254287335465,2304.894064880402
U06,B,P004503-1,4923.8465195847,7072.865766386996,2149.0192468022965
U05,B,P002704-1,5151.450216342028,6302.265087501506,1150.8148711594781
U07,C,P007781-1,6381.139162549822,8129.97573465442,1748.8365721045984
U08,C,P024774-1,6805.0254287335465,8990.436843848258,2185.411415114711
U07,C,P007855-1,8786.533900877364,10859.503560964138,2072.969660086773
U08,C,P007831-1,9036.973155542746,10813.131613171472,1776.158457628726
U08,C,P007696-1,10813.131613171472,12375.015354366758,1561.8837411952854
