架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
P000122-1,1,O01,S012,360.0,1125.828005645847,22.0,7406.727312867355,285.6009948730469,133.50099487304686,413.3009948730469,765.8280056458472,1.5968560589602276,0.0994446797426012,1.6963007387028288
P000122-1,2,S012,O01,1335.828005645847,2111.7960112916944,0.0,7406.727312867355,133.50099487304686,285.6009948730469,413.3009948730469,775.9680056458473,1.3332109163161239,0.035368492738935685,1.3685794090550596
P000136-1,1,O01,S014,360.0,1062.5423423303641,17.0,5416.97109624562,464.2473876953125,240.9473876953125,591.9473876953125,702.5423423303642,1.0982183030504178,0.15286312421925863,1.2510814272696764
P000136-1,2,S014,O01,1272.5423423303641,1989.971351327395,0.0,5416.97109624562,240.9473876953125,464.2473876953125,591.9473876953125,717.4290089970309,0.9750547973242116,0.06383432528177897,1.0388891226059906
P001345-1,1,O01,S007,360.0,931.7220424571628,22.0,4538.900569056266,384.27317504882814,163.47317504882812,511.9731750488281,571.7220424571628,0.9785659129267481,0.1338017847010295,1.1123676976277777
P001345-1,2,S007,S003,1111.7220424571628,1389.3249567706182,8.0,2735.8807725427137,62.1993408203125,72.1993408203125,410.6993408203125,277.6029143134553,0.5109571643801355,0.01836176373799642,0.529318928118132
P001345-1,3,S003,O01,1569.3249567706182,2423.1679598656283,0.0,7269.199621124498,223.30413818359375,434.10413818359376,561.8041381835938,853.8430030950103,1.3084559318024096,0.059160089386834036,1.3676160211892436
P002663-1,1,O01,S013,360.0,873.9976685110191,6.0,4854.131973304105,271.48182373046876,47.48182373046876,399.18182373046875,513.9976685110191,0.8947847084623657,0.07808873013136124,0.9728734385937269
P002663-1,2,S013,S012,1053.9976685110191,1383.8928542071121,3.0,2867.1501971031175,84.82636718750001,156.7263671875,436.5263671875,329.8951856960931,0.5204136735112413,0.023436229295518664,0.54384990280676
P002663-1,3,S012,O01,1563.8928542071121,2339.8608598529595,0.0,7406.727312867355,133.50099487304686,285.6009948730469,413.3009948730469,775.9680056458473,1.3332109163161239,0.035368492738935685,1.3685794090550596
P002808-1,1,O01,S006,360.0,672.2912425791276,22.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,312.29124257912764,0.6224730533788381,0.07849745522944132,0.7009705086082794
