架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
P000122-1,U01,A,A-B01,0.0,O01→S012→O01,2111.7960112916944,3.064880147757888,2,22.0,0.055,0.3189155227204693,3497.2058317550845
P000136-1,U02,A,A-B02,0.0,O01→S014→O01,1989.971351327395,2.289970549875667,2,17.0,0.039,0.4911176555831851,3151.5183990692544
P001345-1,U03,A,A-B03,0.0,O01→S007→S003→O01,2423.1679598656283,3.0093026469351534,2,22.0,0.055,0.3312660784588548,3792.522057869117
P002663-1,U04,A,A-B04,0.0,O01→S013→S012→O01,2339.8608598529595,2.8853027504555464,2,6.0,0.024,0.3588216110098785,3673.3927655401176
P002808-1,U05,B,B-B01,0.0,O01→S006→O01,1207.0558184915885,1.1685319055785428,2,22.0,0.055,0.7078670236053644,2380.086310908957
P002862-1,U06,B,B-B02,0.0,O01→S010→O01,1495.285086506462,1.6359232392250667,2,17.0,0.039,0.5910191901937334,2870.851823503991
P007727-1,U07,C,C-B01,0.0,O01→S002→O01,1980.1173209345932,5.1446677639722225,4,37.0,0.10099999999999999,0.3569165295034722,4206.79817367707
P013592-1,U08,C,C-B02,0.0,O01→S003→S007→O01,2364.397719495693,4.8088626868582836,2,17.0,0.039,0.39889216414271456,4500.131363853145
P002898-1,U05,B,B-B03,1207.0558184915885,O01→S015→O01,2977.5278505238252,1.9638740875107112,2,11.0,0.04,0.5090314781223222,4495.206621778467
P002777-1,U06,B,B-B04,1495.285086506462,O01→S004→O01,3422.213019959291,2.4170183893220676,2,9.0,0.047,0.3957454026694831,5136.254321998854
P007813-1,U07,C,C-B03,1980.1173209345932,O01→S006→O01,3409.4557525446717,2.2695666692112337,4,37.0,0.10099999999999999,0.7163041663485958,4857.463392122714
P000128-1,U02,A,A-B05,1989.971351327395,O01→S013→O01,3602.9000216827667,2.0273799456795905,2,22.0,0.055,0.5494711231823133,4688.587561545759
P000099-1,U01,A,A-B06,2111.7960112916944,O01→S008→O01,4289.514109451104,3.2150305422295524,2,17.0,0.039,0.2855487683934328,5718.300710539641
P007706-1,U08,C,C-B04,2364.397719495693,O01→S001→O01,3794.2814606909783,2.290680726779023,5,48.0,0.105,0.7136649091526222,5248.007490860297
P004078-1,U05,B,B-B01,2977.5278505238252,O01→S015→S001→O01,5151.450216342028,2.575758389325837,2,20.0,0.062,0.3560604026685408,6934.278851716558
P000067-1,U03,A,A-B02,3151.5183990692544,O01→S005→O01,4848.2664180737,2.0482289688595885,2,9.0,0.047,0.5448380069200914,5939.977009077581
P002853-1,U06,B,B-B02,3422.213019959291,O01→S009→O01,4923.8465195847,2.0083283642048966,2,22.0,0.055,0.49791790894877586,6460.788810740156
P002438-1,U04,A,A-B01,3497.2058317550845,O01→S009→S014→O01,6209.162365762709,3.464155573283522,2,11.0,0.04,0.23018765038143962,7709.9184202668375
P000039-1,U02,A,A-B04,3673.3927655401176,O01→S003→O01,5937.025438396805,3.0859743968387474,2,22.0,0.055,0.31422791181361165,7328.52915303911
P007757-1,U07,C,C-B01,4206.79817367707,O01→S004→O01,6381.139162549822,5.8045344184401575,4,50.0,0.109,0.2744331976949803,8786.533900877364
P000027-1,U01,A,A-B03,4289.514109451104,O01→S002→O01,6298.633261534873,3.031463530389007,2,22.0,0.055,0.32634143769133184,7674.389392536142
P007746-1,U08,C,C-B02,4500.131363853145,O01→S003→O01,6805.0254287335465,5.1641146836032,4,37.0,0.10099999999999999,0.35448566454959995,9036.973155542746
P004503-1,U06,B,B-B03,4923.8465195847,O01→S011→S002→O01,7072.865766386996,2.9225930419468,3,25.0,0.067,0.26935173951330005,9005.989417897275
P002704-1,U05,B,B-B04,5151.450216342028,O01→S001→O01,6302.265087501506,1.0782142295335881,2,20.0,0.062,0.730446442616603,7436.157920299394
P007781-1,U07,C,C-B03,6381.139162549822,O01→S005→O01,8129.97573465442,3.983416662529157,4,50.0,0.109,0.5020729171838554,10042.151080756066
P024774-1,U08,C,C-B04,6805.0254287335465,O01→S011→S010→O01,8990.436843848258,4.452306367846111,3,30.0,0.083,0.4434617040192361,11029.60315180658
P007855-1,U07,C,C-B01,8786.533900877364,O01→S008→O01,10859.503560964138,5.427338494633519,3,28.0,0.09,0.32158268817081015,13162.741069927382
P007831-1,U08,C,C-B02,9036.973155542746,O01→S007→O01,10813.131613171472,3.154051855861576,3,28.0,0.09,0.605743518017303,12500.687324133982
P007696-1,U08,C,C-B03,10813.131613171472,O01→S001→O01,12375.015354366758,3.094227186791808,7,80.0,0.192,0.613221601651024,14046.368550789539
