电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B02,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B03,A,R071595,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000234,0.0,1555.285086506462,0.5442639312721033,1456.609185795021,3011.894272301483
B-B02,B,R000248,0.0,1924.9051008627825,0.3104562468358474,1861.8758388178644,3786.780939680647
C-B01,C,R000490,0.0,2112.1173209345934,0.22647400110649651,2509.306330935924,4621.4236518705175
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
B-B03,B,R000262,1555.285086506462,3424.69073462567,0.46513624077098803,1593.7638493302875,5018.454583955958
C-B03,C,R000438,1561.3384316100783,3123.2221728053637,0.633821157436679,1626.7208255538621,4749.942998359225
B-B04,B,R000255,1924.9051008627825,3436.0293721080175,0.5433764511207355,1458.1474847240584,4894.176856832076
C-B04,C,R000660,2112.1173209345934,4020.2757785633194,0.5732464688409069,1757.9659841780351,5778.241762741354
C-B02,C,R000683,3123.2221728053637,5328.1918328921365,0.26701234184559763,2421.4732593345384,7749.6650922266745
B-B01,B,R000158,3424.69073462567,5506.016753444874,0.36100546938781397,1774.2571863944559,7280.27393983933
B-B02,B,R000269,3786.780939680647,5617.252971712884,0.4216762281099964,1669.094537942673,7286.347509655557
C-B01,C,R000516,4621.4236518705175,6992.317716750919,0.24400033473779847,2471.332608068103,9463.650324819022
C-B03,C,R000575,5328.1918328921365,7634.532821764888,0.22704598713981916,2508.0670278637253,10142.599849628612
B-B03,B,R000223,5506.016753444874,7007.650253070284,0.49791790894877586,1536.9422911554552,8544.59254422574
B-B04,B,R003841,5617.252971712884,7650.01766448584,0.37269471050610037,1753.9958351227592,9404.0134996086
C-B04,C,R000606,6992.317716750919,8873.154288855518,0.4695780952345944,1982.580793658379,10855.735082513896
B-B01,B,R000241,7280.27393983933,8470.325006909741,0.7304272463366537,1133.9261063498002,9604.251113259541
C-B02,C,R000280,7749.6650922266745,9179.548833421959,0.7309674882754471,1416.2371087365311,10595.78594215849
