货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-WAT-06,R071593,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S001-WAT-07,R071594,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S001-WAT-08,R071595,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S010-FOD-01,R000234,S010,应急食品,否,1085.1792099198976,,7200,0.0,10
S010-MED-01,R000234,S010,医疗物资,是,1085.1792099198976,3600.0,3600,0.0,24
S010-WAT-01,R000234,S010,饮用水,是,1085.1792099198976,3600.0,3600,0.0,12
S012-FOD-01,R000248,S012,应急食品,否,1272.3825504313913,,7200,0.0,10
S012-MED-01,R000248,S012,医疗物资,是,1272.3825504313913,3600.0,7200,0.0,22
S012-WAT-01,R000248,S012,饮用水,是,1272.3825504313913,3600.0,3600,0.0,12
S002-HYG-01,R000490,S002,生活卫生用品,否,1489.4686604672966,,10800,0.0,8
S002-MED-01,R000490,S002,医疗物资,是,1489.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,R000490,S002,饮用水,是,1489.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,R000490,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-03,R000490,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-04,R000490,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S006-FOD-01,R000637,S006,应急食品,否,1209.314215805039,,7200,0.0,10
S006-HYG-01,R000637,S006,生活卫生用品,否,1209.314215805039,,10800,0.0,8
S006-MED-01,R000637,S006,医疗物资,是,1209.314215805039,3600.0,3600,0.0,24
S006-WAT-01,R000637,S006,饮用水,是,1209.314215805039,3600.0,3600,0.0,12
S006-WAT-02,R000637,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S006-WAT-03,R000637,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S014-FOD-01,R000262,S014,应急食品,否,2797.5445772327325,,7200,0.0,10
S014-MED-01,R000262,S014,医疗物资,是,2797.5445772327325,3600.0,7200,0.0,22
S014-WAT-01,R000262,S014,饮用水,是,2797.5445772327325,3600.0,3600,0.0,12
S001-MED-01,R000438,S001,医疗物资,是,2810.465302207721,3600.0,3600,0.0,24
S001-MED-02,R000438,S001,医疗物资,否,2810.465302207721,3600.0,3600,0.0,24
S001-WAT-01,R000438,S001,饮用水,是,2810.465302207721,3600.0,3600,0.0,12
S001-WAT-02,R000438,S001,饮用水,否,2810.465302207721,,3600,0.0,12
S001-WAT-03,R000438,S001,饮用水,否,2810.465302207721,,3600,0.0,12
S001-WAT-04,R000438,S001,饮用水,否,2810.465302207721,,3600,0.0,12
S001-WAT-05,R000438,S001,饮用水,否,2810.465302207721,,3600,0.0,12
S013-FOD-01,R000255,S013,应急食品,否,2988.0005698187333,,7200,0.0,10
S013-MED-01,R000255,S013,医疗物资,是,2988.0005698187333,3600.0,3600,0.0,24
S013-WAT-01,R000255,S013,饮用水,是,2988.0005698187333,3600.0,3600,0.0,12
S007-FOD-01,R000660,S007,应急食品,否,3460.1565497489564,,7200,0.0,10
S007-HYG-01,R000660,S007,生活卫生用品,否,3460.1565497489564,,10800,0.0,8
S007-MED-01,R000660,S007,医疗物资,是,3460.1565497489564,3600.0,3600,0.0,24
S007-WAT-01,R000660,S007,饮用水,是,3460.1565497489564,3600.0,3600,0.0,12
S007-WAT-02,R000660,S007,饮用水,否,3460.1565497489564,,3600,0.0,12
S008-FOD-01,R000683,S008,应急食品,否,4623.54700284875,,10800,0.0,8
S008-HYG-01,R000683,S008,生活卫生用品,否,4623.54700284875,,14400,0.0,6
S008-MED-01,R000683,S008,医疗物资,是,4623.54700284875,7200.0,7200,0.0,20
S008-WAT-01,R000683,S008,饮用水,是,4623.54700284875,7200.0,7200,0.0,10
S008-WAT-02,R000683,S008,饮用水,否,4623.54700284875,,7200,0.0,10
S003-FOD-01,R000158,S003,应急食品,否,4773.327077368605,,10800,0.0,8
S003-FOD-02,R000158,S003,应急食品,否,4773.327077368605,,10800,0.0,8
S003-MED-01,R000158,S003,医疗物资,是,4773.327077368605,7200.0,7200,0.0,20
S015-FOD-01,R000269,S015,应急食品,否,5005.456955696765,,14400,0.0,6
S015-MED-01,R000269,S015,医疗物资,是,5005.456955696765,7200.0,7200,0.0,18
S015-WAT-01,R000269,S015,饮用水,是,5005.456955696765,10800.0,10800,0.0,8
S003-HYG-01,R000516,S003,生活卫生用品,否,6201.330684310718,,14400,0.0,6
S003-WAT-01,R000516,S003,饮用水,是,6201.330684310718,7200.0,7200,0.0,10
S003-WAT-02,R000516,S003,饮用水,否,6201.330684310718,,7200,0.0,10
