无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U02,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000234,0.0,1555.285086506462,1555.285086506462
U06,B,R000248,0.0,1924.9051008627825,1924.9051008627825
U07,C,R000490,0.0,2112.1173209345934,2112.1173209345934
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U05,B,R000262,1555.285086506462,3424.69073462567,1869.4056481192079
U08,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U06,B,R000255,1924.9051008627825,3436.0293721080175,1511.124271245235
U07,C,R000660,2112.1173209345934,4020.2757785633194,1908.158457628726
U08,C,R000683,3123.2221728053637,5328.1918328921365,2204.969660086773
U05,B,R000158,3424.69073462567,5506.016753444874,2081.326018819204
U06,B,R000269,3786.780939680647,5617.252971712884,1830.4720320322367
U07,C,R000516,4621.4236518705175,6992.317716750919,2370.894064880402
U08,C,R000575,5328.1918328921365,7634.532821764888,2306.3409888727515
U05,B,R000223,5506.016753444874,7007.650253070284,1501.6334996254095
U06,B,R003841,5617.252971712884,7650.01766448584,2032.764692772956
U07,C,R000606,6992.317716750919,8873.154288855518,1880.8365721045984
U05,B,R000241,7280.27393983933,8470.325006909741,1190.051067070412
U08,C,R000280,7749.6650922266745,9179.548833421959,1429.8837411952854
