无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U02,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000248,0.0,1924.9051008627825,1924.9051008627825
U06,B,R000255,0.0,1511.124271245235,1511.124271245235
U07,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U08,C,R000660,0.0,1908.158457628726,1908.158457628726
U06,B,R000234,1511.124271245235,3066.409357751697,1555.285086506462
U07,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U08,C,R000490,1908.158457628726,4020.2757785633194,2112.1173209345934
U05,B,R000262,1924.9051008627825,3794.3107489819904,1869.4056481192079
U06,B,R000269,3066.409357751697,4896.881389783934,1830.4720320322367
U07,C,R000683,3123.2221728053637,5328.1918328921365,2204.969660086773
U08,C,R000543,4020.2757785633194,6457.169843443721,2436.894064880402
U05,B,R003726,3794.3107489819904,6022.922421704141,2228.61167272215
U06,B,R000241,4896.881389783934,6086.932456854345,1190.051067070412
U07,C,R000575,5328.1918328921365,7634.532821764888,2306.3409888727515
U06,B,R000227,6086.932456854345,7648.565956479755,1561.6334996254095
U08,C,R012646,6529.582109499243,9517.544306062831,2987.9621965635874
U07,C,R000590,7749.6650922266745,9564.501664331274,1814.8365721045984
