架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R071593,U01,A,A-B01,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071594,U02,A,A-B02,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R071595,U03,A,A-B03,0.0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,0.7279184248795054,2046.7488795666027
R000248,U05,B,B-B01,0.0,O01→S012→O01,1924.9051008627825,2.7581750126566105,3,25.0,0.067,0.3104562468358474,3786.780939680647
R000255,U06,B,B-B02,0.0,O01→S013→O01,1511.124271245235,1.8264941955170582,3,25.0,0.067,0.5433764511207355,2969.2717559692933
R000637,U07,C,C-B01,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000660,U08,C,C-B02,0.0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,0.5732464688409069,3666.124441806761
R000234,U06,B,B-B03,1511.124271245235,O01→S010→O01,3066.409357751697,1.822944274911587,3,25.0,0.067,0.5442639312721033,4523.018543546717
R000438,U07,C,C-B03,1561.3384316100783,O01→S001→O01,3123.2221728053637,2.929430740506568,7,76.0,0.159,0.633821157436679,4749.942998359225
R000490,U08,C,C-B04,1908.158457628726,O01→S002→O01,4020.2757785633194,6.188207991148028,6,65.0,0.155,0.22647400110649651,6529.582109499243
R000262,U05,B,B-B04,1924.9051008627825,O01→S014→O01,3794.3107489819904,2.139455036916048,3,25.0,0.067,0.46513624077098803,5388.074598312278
R000269,U06,B,B-B02,3066.409357751697,O01→S015→O01,4896.881389783934,2.3132950875600145,3,25.0,0.067,0.4216762281099964,6565.975927726607
R000683,U07,C,C-B01,3123.2221728053637,O01→S008→O01,5328.1918328921365,5.863901265235219,5,45.0,0.129,0.26701234184559763,7749.6650922266745
R000543,U08,C,C-B02,4020.2757785633194,O01→S003→O01,6457.169843443721,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8972.500226231685
R003726,U05,B,B-B01,3794.3107489819904,O01→S002→S005→O01,6022.922421704141,2.7564769448523068,3,19.0,0.068,0.3108807637869233,7884.062431140141
R000241,U06,B,B-B03,4896.881389783934,O01→S011→O01,6086.932456854345,1.078291014653385,3,25.0,0.067,0.7304272463366537,7220.858563204145
R000575,U07,C,C-B03,5328.1918328921365,O01→S004→O01,7634.532821764888,6.183632102881447,6,59.0,0.156,0.22704598713981916,10142.599849628612
R000227,U06,B,B-B04,6086.932456854345,O01→S009→O01,7648.565956479755,2.1047274878396594,3,25.0,0.067,0.47381812804008516,9227.281201210275
R012646,U08,C,C-B04,6529.582109499243,O01→S001→S003→O01,9517.544306062831,6.2729650697129795,7,52.0,0.21000000000000002,0.21587936628587756,12049.805679110097
R000590,U07,C,C-B01,7749.6650922266745,O01→S005→O01,9564.501664331274,4.148164634303663,5,56.0,0.144,0.4814794207120421,11521.296252788516
