电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R000074,0.0,1692.6029400021396,0.4798252738776434,1176.2271439590636,2868.830083961203
A-B02,A,R000098,0.0,1612.9286703553717,0.5494711231823133,1085.6875398629927,2698.6162102183644
A-B03,A,R001127,0.0,2433.6136749363163,0.3186566218695521,1385.7463915695823,3819.3600665058984
A-B04,A,R002594,0.0,2399.8608598529595,0.337189636064246,1361.6534731164802,3761.5143329694397
B-B01,B,R000203,0.0,1576.8673992791169,0.5298282068614315,1481.631108106852,3058.498507385969
B-B02,B,R004168,0.0,2240.76827715357,0.3672878950173668,1763.3676486365641,4004.135925790134
C-B01,C,R000326,0.0,1429.8837411952854,0.6585719387761672,1573.0941326516377,3002.977873846923
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
C-B03,C,R000603,1429.8837411952854,3178.720313299884,0.5165414520313358,1880.8268539321057,5059.547167231989
C-B04,C,R000490,1561.3384316100783,3673.4557525446717,0.22647400110649651,2509.306330935924,6182.762083480596
B-B03,B,R000234,1576.8673992791169,3132.152485785579,0.5442639312721033,1456.609185795021,4588.7616715806
A-B05,A,R071593,1612.9286703553717,2805.9715022653313,0.7279184248795054,853.7060476566429,3659.6775499219743
A-B06,A,R071594,1692.6029400021396,2885.645771912099,0.7279184248795054,853.7060476566429,3739.351819568742
B-B04,B,R000262,2240.76827715357,4110.173925272778,0.46513624077098803,1593.7638493302875,5703.937774603066
A-B02,A,R071595,2698.6162102183644,3891.659042128324,0.7279184248795054,853.7060476566429,4745.365089784967
B-B01,B,R000175,3132.152485785579,4651.9687616662195,0.5679264917080371,1415.5940810394022,6067.562842705622
C-B01,C,R000575,3178.720313299884,5485.061302172635,0.22704598713981916,2508.0670278637253,7993.12833003636
C-B02,C,R000543,3673.4557525446717,6110.3498174250735,0.22369366948247882,2515.3303827879627,8625.680200213035
B-B02,B,R003841,4110.173925272778,6142.938618045735,0.37269471050610037,1753.9958351227592,7896.934453168495
B-B03,B,R000269,4651.9687616662195,6482.440793698456,0.4216762281099964,1669.094537942673,8151.535331641129
C-B03,C,R000683,5485.061302172635,7690.030962259408,0.26701234184559763,2421.4732593345384,10111.504221593947
B-B01,B,R000199,6142.938618045735,7719.806017324852,0.6113628352707474,1340.3044188640376,9060.11043618889
C-B04,C,R000280,6182.762083480596,7612.645824675881,0.7309674882754471,1416.2371087365311,9028.882933412413
B-B04,B,R000241,6482.440793698456,7672.491860768869,0.7304272463366537,1133.9261063498002,8806.417967118668
