货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S009-FOD-01,R000074,S009,应急食品,否,1127.8914700010698,,14400,0.0,6
S009-WAT-01,R000074,S009,饮用水,是,1127.8914700010698,10800.0,10800,0.0,8
S013-FOD-01,R000098,S013,应急食品,否,1083.9976685110191,,7200,0.0,10
S013-WAT-01,R000098,S013,饮用水,是,1083.9976685110191,3600.0,3600,0.0,12
S001-MED-01,R001127,S001,医疗物资,是,939.6447492883132,3600.0,3600,0.0,24
S001-MED-02,R001127,S001,医疗物资,否,939.6447492883132,3600.0,3600,0.0,24
S012-WAT-01,R001127,S012,饮用水,是,1657.645669290469,3600.0,3600,0.0,12
S012-FOD-01,R002594,S012,应急食品,否,1623.8928542071121,,7200,0.0,10
S012-MED-01,R002594,S012,医疗物资,是,1623.8928542071121,3600.0,7200,0.0,22
S013-MED-01,R002594,S013,医疗物资,是,1083.9976685110191,3600.0,3600,0.0,24
S007-WAT-01,R000203,S007,饮用水,是,1066.0736996395583,3600.0,3600,0.0,12
S007-WAT-02,R000203,S007,饮用水,否,1066.0736996395583,,3600,0.0,12
S003-FOD-01,R004168,S003,应急食品,否,1508.0786010773018,,10800,0.0,8
S003-FOD-02,R004168,S003,应急食品,否,1508.0786010773018,,10800,0.0,8
S007-MED-01,R004168,S007,医疗物资,是,1066.0736996395583,3600.0,3600,0.0,24
S001-WAT-01,R000326,S001,饮用水,是,1117.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,R000326,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-03,R000326,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-04,R000326,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S001-WAT-05,R000326,S001,饮用水,否,1117.1268705976427,,3600,0.0,12
S006-FOD-01,R000637,S006,应急食品,否,1209.314215805039,,7200,0.0,10
S006-HYG-01,R000637,S006,生活卫生用品,否,1209.314215805039,,10800,0.0,8
S006-MED-01,R000637,S006,医疗物资,是,1209.314215805039,3600.0,3600,0.0,24
S006-WAT-01,R000637,S006,饮用水,是,1209.314215805039,3600.0,3600,0.0,12
S006-WAT-02,R000637,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S006-WAT-03,R000637,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S005-MED-01,R000603,S005,医疗物资,是,2672.9370272475844,10800.0,10800,0.0,16
S005-WAT-01,R000603,S005,饮用水,是,2672.9370272475844,10800.0,10800,0.0,8
S005-WAT-02,R000603,S005,饮用水,否,2672.9370272475844,,10800,0.0,8
S005-WAT-03,R000603,S005,饮用水,否,2672.9370272475844,,10800,0.0,8
S002-HYG-01,R000490,S002,生活卫生用品,否,3050.807092077375,,10800,0.0,8
S002-MED-01,R000490,S002,医疗物资,是,3050.807092077375,3600.0,3600,0.0,24
S002-WAT-01,R000490,S002,饮用水,是,3050.807092077375,3600.0,3600,0.0,12
S002-WAT-02,R000490,S002,饮用水,否,3050.807092077375,,3600,0.0,12
S002-WAT-03,R000490,S002,饮用水,否,3050.807092077375,,3600,0.0,12
S002-WAT-04,R000490,S002,饮用水,否,3050.807092077375,,3600,0.0,12
S010-FOD-01,R000234,S010,应急食品,否,2662.0466091990147,,7200,0.0,10
S010-MED-01,R000234,S010,医疗物资,是,2662.0466091990147,3600.0,3600,0.0,24
S010-WAT-01,R000234,S010,饮用水,是,2662.0466091990147,3600.0,3600,0.0,12
S001-WAT-06,R071593,S001,饮用水,否,2462.5734196436847,,3600,0.0,12
S001-WAT-07,R071594,S001,饮用水,否,2542.247689290453,,3600,0.0,12
S014-FOD-01,R000262,S014,应急食品,否,3483.0277678798407,,7200,0.0,10
S014-MED-01,R000262,S014,医疗物资,是,3483.0277678798407,3600.0,7200,0.0,22
S014-WAT-01,R000262,S014,饮用水,是,3483.0277678798407,3600.0,3600,0.0,12
S001-WAT-08,R071595,S001,饮用水,否,3548.2609595066774,,3600,0.0,12
S005-FOD-01,R000175,S005,应急食品,否,4174.817290392566,,14400,0.0,6
S005-HYG-01,R000175,S005,生活卫生用品,否,4174.817290392566,,18000,0.0,4
S004-FOD-01,R000575,S004,应急食品,否,4764.86080773626,,10800,0.0,8
S004-HYG-01,R000575,S004,生活卫生用品,否,4764.86080773626,,14400,0.0,6
S004-MED-01,R000575,S004,医疗物资,是,4764.86080773626,7200.0,7200,0.0,20
S004-WAT-01,R000575,S004,饮用水,是,4764.86080773626,7200.0,7200,0.0,10
S004-WAT-02,R000575,S004,饮用水,否,4764.86080773626,,7200,0.0,10
S004-WAT-03,R000575,S004,饮用水,否,4764.86080773626,,7200,0.0,10
S003-HYG-01,R000543,S003,生活卫生用品,否,5319.362784984873,,14400,0.0,6
S003-MED-01,R000543,S003,医疗物资,是,5319.362784984873,7200.0,7200,0.0,20
S003-WAT-01,R000543,S003,饮用水,是,5319.362784984873,7200.0,7200,0.0,10
S003-WAT-02,R000543,S003,饮用水,否,5319.362784984873,,7200,0.0,10
S003-WAT-03,R000543,S003,饮用水,否,5319.362784984873,,7200,0.0,10
S003-WAT-04,R000543,S003,饮用水,否,5319.362784984873,,7200,0.0,10
S002-FOD-01,R003841,S002,应急食品,否,5544.378999936836,,7200,0.0,10
S002-FOD-02,R003841,S002,应急食品,否,5544.378999936836,,7200,0.0,10
S009-MED-01,R003841,S009,医疗物资,是,5142.580675085483,10800.0,10800,0.0,16
S015-FOD-01,R000269,S015,应急食品,否,5870.644777682338,,14400,0.0,6
S015-MED-01,R000269,S015,医疗物资,是,5870.644777682338,7200.0,7200,0.0,18
S015-WAT-01,R000269,S015,饮用水,是,5870.644777682338,10800.0,10800,0.0,8
S008-FOD-01,R000683,S008,应急食品,否,6985.386132216021,,10800,0.0,8
S008-HYG-01,R000683,S008,生活卫生用品,否,6985.386132216021,,14400,0.0,6
S008-MED-01,R000683,S008,医疗物资,是,6985.386132216021,7200.0,7200,0.0,20
S008-WAT-01,R000683,S008,饮用水,是,6985.386132216021,7200.0,7200,0.0,10
S008-WAT-02,R000683,S008,饮用水,否,6985.386132216021,,7200,0.0,10
S007-FOD-01,R000199,S007,应急食品,否,7209.012317685293,,7200,9.012317685293056,10
S007-HYG-01,R000199,S007,生活卫生用品,否,7209.012317685293,,10800,0.0,8
S001-FOD-01,R000280,S001,应急食品,否,7299.888954078238,,7200,99.88895407823838,10
S001-FOD-02,R000280,S001,应急食品,否,7299.888954078238,,7200,99.88895407823838,10
S001-FOD-03,R000280,S001,应急食品,否,7299.888954078238,,7200,99.88895407823838,10
S001-HYG-01,R000280,S001,生活卫生用品,否,7299.888954078238,,10800,0.0,8
S001-HYG-02,R000280,S001,生活卫生用品,否,7299.888954078238,,10800,0.0,8
S011-FOD-01,R000241,S011,应急食品,否,7389.6529939003285,,14400,0.0,6
S011-MED-01,R000241,S011,医疗物资,是,7389.6529939003285,10800.0,10800,0.0,16
S011-WAT-01,R000241,S011,饮用水,是,7389.6529939003285,10800.0,10800,0.0,8
