无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000074,0.0,1692.6029400021396,1692.6029400021396
U02,A,R000098,0.0,1612.9286703553717,1612.9286703553717
U03,A,R001127,0.0,2433.6136749363163,2433.6136749363163
U04,A,R002594,0.0,2399.8608598529595,2399.8608598529595
U05,B,R000203,0.0,1576.8673992791169,1576.8673992791169
U06,B,R004168,0.0,2240.76827715357,2240.76827715357
U07,C,R000326,0.0,1429.8837411952854,1429.8837411952854
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U07,C,R000603,1429.8837411952854,3178.720313299884,1748.8365721045984
U08,C,R000490,1561.3384316100783,3673.4557525446717,2112.1173209345934
U05,B,R000234,1576.8673992791169,3132.152485785579,1555.285086506462
U02,A,R071593,1612.9286703553717,2805.9715022653313,1193.0428319099597
U01,A,R071594,1692.6029400021396,2885.645771912099,1193.0428319099597
U06,B,R000262,2240.76827715357,4110.173925272778,1869.4056481192079
U03,A,R071595,2698.6162102183644,3891.659042128324,1193.0428319099597
U05,B,R000175,3132.152485785579,4651.9687616662195,1519.8162758806402
U07,C,R000575,3178.720313299884,5485.061302172635,2306.3409888727515
U08,C,R000543,3673.4557525446717,6110.3498174250735,2436.894064880402
U06,B,R003841,4110.173925272778,6142.938618045735,2032.764692772956
U05,B,R000269,4651.9687616662195,6482.440793698456,1830.4720320322367
U07,C,R000683,5485.061302172635,7690.030962259408,2204.969660086773
U06,B,R000199,6142.938618045735,7719.806017324852,1576.8673992791169
U08,C,R000280,6182.762083480596,7612.645824675881,1429.8837411952854
U05,B,R000241,6482.440793698456,7672.491860768869,1190.051067070412
