架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,返航SOC,充满时刻_s
R000074,U01,A,A-B01,0.0,O01→S009→O01,1692.6029400021396,2.340786267550605,2,22.0,0.055,0.4798252738776434,2868.830083961203
R000098,U02,A,A-B02,0.0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,0.5494711231823133,2698.6162102183644
R001127,U03,A,A-B03,0.0,O01→S001→S012→O01,2433.6136749363163,3.0660452015870154,3,20.0,0.051000000000000004,0.3186566218695521,3819.3600665058984
R002594,U04,A,A-B04,0.0,O01→S013→S012→O01,2399.8608598529595,2.982646637710893,3,14.0,0.052000000000000005,0.337189636064246,3761.5143329694397
R000203,U05,B,B-B01,0.0,O01→S007→O01,1576.8673992791169,1.880687172554274,2,28.0,0.054,0.5298282068614315,3058.498507385969
R004168,U06,B,B-B02,0.0,O01→S007→S003→O01,2240.76827715357,2.5308484199305328,3,19.0,0.068,0.3672878950173668,4004.135925790134
R000326,U07,C,C-B01,0.0,O01→S001→O01,1429.8837411952854,2.7314244897906628,5,70.0,0.135,0.6585719387761672,3002.977873846923
R000637,U08,C,C-B02,0.0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,0.6754079689847342,3097.954498809821
R000603,U07,C,C-B03,1429.8837411952854,O01→S005→O01,3178.720313299884,3.8676683837493133,4,45.0,0.093,0.5165414520313358,5059.547167231989
R000490,U08,C,C-B04,1561.3384316100783,O01→S002→O01,3673.4557525446717,6.188207991148028,6,65.0,0.155,0.22647400110649651,6182.762083480596
R000234,U05,B,B-B03,1576.8673992791169,O01→S010→O01,3132.152485785579,1.822944274911587,3,25.0,0.067,0.5442639312721033,4588.7616715806
R071593,U02,A,A-B05,1612.9286703553717,O01→S001→O01,2805.9715022653313,1.2243670880422255,1,14.0,0.027,0.7279184248795054,3659.6775499219743
R071594,U01,A,A-B06,1692.6029400021396,O01→S001→O01,2885.645771912099,1.2243670880422255,1,14.0,0.027,0.7279184248795054,3739.351819568742
R000262,U06,B,B-B04,2240.76827715357,O01→S014→O01,4110.173925272778,2.139455036916048,3,25.0,0.067,0.46513624077098803,5703.937774603066
R071595,U03,A,A-B02,2698.6162102183644,O01→S001→O01,3891.659042128324,1.2243670880422255,1,14.0,0.027,0.7279184248795054,4745.365089784967
R000175,U05,B,B-B01,3132.152485785579,O01→S005→O01,4651.9687616662195,1.7282940331678516,2,14.0,0.063,0.5679264917080371,6067.562842705622
R000575,U07,C,C-B01,3178.720313299884,O01→S004→O01,5485.061302172635,6.183632102881447,6,59.0,0.156,0.22704598713981916,7993.12833003636
R000543,U08,C,C-B02,3673.4557525446717,O01→S003→O01,6110.3498174250735,6.2104506441401695,6,65.0,0.155,0.22369366948247882,8625.680200213035
R003841,U06,B,B-B02,4110.173925272778,O01→S009→S002→O01,6142.938618045735,2.5092211579755985,3,19.0,0.068,0.37269471050610037,7896.934453168495
R000269,U05,B,B-B03,4651.9687616662195,O01→S015→O01,6482.440793698456,2.3132950875600145,3,25.0,0.067,0.4216762281099964,8151.535331641129
R000683,U07,C,C-B03,5485.061302172635,O01→S008→O01,7690.030962259408,5.863901265235219,5,45.0,0.129,0.26701234184559763,10111.504221593947
R000199,U06,B,B-B01,6142.938618045735,O01→S007→O01,7719.806017324852,1.55454865891701,2,14.0,0.063,0.6113628352707474,9060.11043618889
R000280,U08,C,C-B04,6182.762083480596,O01→S001→O01,7612.645824675881,2.1522600937964227,5,36.0,0.15400000000000003,0.7309674882754471,9028.882933412413
R000241,U05,B,B-B04,6482.440793698456,O01→S011→O01,7672.491860768869,1.078291014653385,3,25.0,0.067,0.7304272463366537,8806.417967118668
