货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S003-FOD-01,R000025,S003,应急食品,否,1409.789669761677,,10800,0.0,8
S003-FOD-02,R000025,S003,应急食品,否,1409.789669761677,,10800,0.0,8
S011-FOD-01,R000086,S011,应急食品,否,894.2172617676404,,14400,0.0,6
S011-WAT-01,R000086,S011,饮用水,是,894.2172617676404,10800.0,10800,0.0,8
S013-WAT-01,R000097,S013,饮用水,是,1023.9976685110191,3600.0,3600,0.0,12
S013-FOD-01,R000100,S013,应急食品,否,1083.9976685110191,,7200,0.0,10
S013-MED-01,R000100,S013,医疗物资,是,1083.9976685110191,3600.0,3600,0.0,24
S012-FOD-01,R000248,S012,应急食品,否,1272.3825504313913,,7200,0.0,10
S012-MED-01,R000248,S012,医疗物资,是,1272.3825504313913,3600.0,7200,0.0,22
S012-WAT-01,R000248,S012,饮用水,是,1272.3825504313913,3600.0,3600,0.0,12
S008-HYG-01,R005826,S008,生活卫生用品,否,1537.9050800313232,,14400,0.0,6
S008-MED-01,R005826,S008,医疗物资,是,1537.9050800313232,7200.0,7200,0.0,20
S011-MED-01,R005826,S011,医疗物资,是,847.2122002018727,10800.0,10800,0.0,16
S001-MED-01,R000438,S001,医疗物资,是,1249.1268705976427,3600.0,3600,0.0,24
S001-MED-02,R000438,S001,医疗物资,否,1249.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,R000438,S001,饮用水,是,1249.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,R000438,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-03,R000438,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-04,R000438,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-05,R000438,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S006-FOD-01,R000637,S006,应急食品,否,1209.314215805039,,7200,0.0,10
S006-HYG-01,R000637,S006,生活卫生用品,否,1209.314215805039,,10800,0.0,8
S006-MED-01,R000637,S006,医疗物资,是,1209.314215805039,3600.0,3600,0.0,24
S006-WAT-01,R000637,S006,饮用水,是,1209.314215805039,3600.0,3600,0.0,12
S006-WAT-02,R000637,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S006-WAT-03,R000637,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S001-WAT-07,R071594,S001,饮用水,否,2073.705939490261,,3600,0.0,12
S007-FOD-01,R000660,S007,应急食品,否,2909.3776604244413,,7200,0.0,10
S007-HYG-01,R000660,S007,生活卫生用品,否,2909.3776604244413,,10800,0.0,8
S007-MED-01,R000660,S007,医疗物资,是,2909.3776604244413,3600.0,3600,0.0,24
S007-WAT-01,R000660,S007,饮用水,是,2909.3776604244413,3600.0,3600,0.0,12
S007-WAT-02,R000660,S007,饮用水,否,2909.3776604244413,,3600,0.0,12
S002-HYG-01,R000490,S002,生活卫生用品,否,3051.352401662582,,10800,0.0,8
S002-MED-01,R000490,S002,医疗物资,是,3051.352401662582,3600.0,3600,0.0,24
S002-WAT-01,R000490,S002,饮用水,是,3051.352401662582,3600.0,3600,0.0,12
S002-WAT-02,R000490,S002,饮用水,否,3051.352401662582,,3600,0.0,12
S002-WAT-03,R000490,S002,饮用水,否,3051.352401662582,,3600,0.0,12
S002-WAT-04,R000490,S002,饮用水,否,3051.352401662582,,3600,0.0,12
S005-FOD-01,R001706,S005,应急食品,否,2654.059346524261,,14400,0.0,6
S008-FOD-01,R001706,S008,应急食品,否,3183.942309828808,,10800,0.0,8
S010-FOD-01,R000234,S010,应急食品,否,3010.0843107826804,,7200,0.0,10
S010-MED-01,R000234,S010,医疗物资,是,3010.0843107826804,3600.0,3600,0.0,24
S010-WAT-01,R000234,S010,饮用水,是,3010.0843107826804,3600.0,3600,0.0,12
S009-FOD-01,R000074,S009,应急食品,否,3197.503215238249,,14400,0.0,6
S009-WAT-01,R000074,S009,饮用水,是,3197.503215238249,10800.0,10800,0.0,8
S014-FOD-01,R000262,S014,应急食品,否,3453.4878454217483,,7200,0.0,10
S014-MED-01,R000262,S014,医疗物资,是,3453.4878454217483,3600.0,7200,0.0,22
S014-WAT-01,R000262,S014,饮用水,是,3453.4878454217483,3600.0,3600,0.0,12
S001-WAT-08,R071595,S001,饮用水,否,3459.0617923362024,,3600,0.0,12
S004-FOD-01,R000575,S004,应急食品,否,5055.63738367518,,10800,0.0,8
S004-HYG-01,R000575,S004,生活卫生用品,否,5055.63738367518,,14400,0.0,6
S004-MED-01,R000575,S004,医疗物资,是,5055.63738367518,7200.0,7200,0.0,20
