无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000025,0.0,2263.6326728566873,2263.6326728566873
U02,A,R000086,0.0,1224.0611902019475,1224.0611902019475
U03,A,R000097,0.0,1552.9286703553717,1552.9286703553717
U04,A,R000100,0.0,1612.9286703553717,1612.9286703553717
U05,B,R000248,0.0,1924.9051008627825,1924.9051008627825
U06,B,R005826,0.0,2211.2283546954777,2211.2283546954777
U07,C,R000438,0.0,1561.8837411952854,1561.8837411952854
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U02,A,R071594,1224.0611902019475,2417.1040221119074,1193.0428319099597
U08,C,R000660,1561.3384316100783,3469.496889238804,1908.158457628726
U07,C,R000490,1561.8837411952854,3674.001062129879,2112.1173209345934
U03,A,R001706,1552.9286703553717,3992.5746922418466,2439.646021886475
U05,B,R000234,1924.9051008627825,3480.1901873692445,1555.285086506462
U04,A,R000074,2069.611745237179,3762.214685239319,1692.6029400021396
U06,B,R000262,2211.2283546954777,4080.6340028146856,1869.4056481192079
U01,A,R071595,2609.4170430478894,3802.459874957849,1193.0428319099597
U08,C,R000575,3469.496889238804,5775.837878111555,2306.3409888727515
U07,C,R000543,3674.001062129879,6110.895127010281,2436.894064880402
U05,B,R000269,3786.780939680647,5617.252971712884,1830.4720320322367
U06,B,R003841,4080.6340028146856,6113.398695587642,2032.764692772956
U05,B,R000215,5617.252971712884,7524.352854374526,1907.0998826616424
U08,C,R000604,5775.837878111555,7590.674450216154,1814.8365721045984
U01,A,R071593,3802.459874957849,4995.502706867808,1193.0428319099597
U06,B,R000115,6113.398695587642,7264.213566747119,1150.8148711594781
U07,C,R000278,6183.307393065803,7481.191134261088,1297.8837411952854
