电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R000061,0.0,1728.1640849143257,0.5935341534417218,1028.4056005257619,2756.5696854400876
A-B02,A,R000086,0.0,1224.0611902019475,0.7341918807421295,845.5505550352317,2069.611745237179
A-B03,A,R000100,0.0,1612.9286703553717,0.5783427885381465,1048.1543749004097,2661.083045255781
A-B04,A,R002244,0.0,2482.7793849180125,0.29965844945793696,1410.4440157046818,3893.2234006226945
B-B01,B,R000203,0.0,1576.8673992791169,0.5298282068614315,1481.631108106852,3058.498507385969
B-B02,B,R000262,0.0,1869.4056481192079,0.46513624077098803,1593.7638493302875,3463.1694974494953
C-B01,C,R000490,0.0,2112.1173209345934,0.22647400110649651,2509.306330935924,4621.4236518705175
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
C-B03,C,R000438,1561.3384316100783,3123.2221728053637,0.633821157436679,1626.7208255538621,4749.942998359225
B-B03,B,R000234,1576.8673992791169,3132.152485785579,0.5442639312721033,1456.609185795021,4588.7616715806
A-B05,A,R001706,1224.0611902019475,3663.7072120884222,0.28043826119323567,1435.4302604487937,5099.137472537216
B-B04,B,R000248,1869.4056481192079,3794.3107489819904,0.3104562468358474,1861.8758388178644,5656.186587799855
C-B04,C,R000543,2112.1173209345934,4549.011385814995,0.22369366948247882,2515.3303827879627,7064.341768602958
A-B02,A,R002168,2069.611745237179,4621.51985853845,0.21581613995194127,1519.4390180624764,6140.958876600926
A-B03,A,R071594,2661.083045255781,3854.125877165741,0.7279184248795054,853.7060476566429,4707.831924822383
C-B02,C,R000575,3123.2221728053637,5429.563161678116,0.22704598713981916,2508.0670278637253,7937.630189541841
B-B01,B,R000269,3132.152485785579,4962.624517817816,0.4216762281099964,1669.094537942673,6631.719055760489
A-B01,A,R000074,2756.5696854400876,4449.172625442227,0.4798252738776434,1176.2271439590636,5625.3997694012905
B-B02,B,R003841,3794.3107489819904,5827.075441754947,0.37269471050610037,1753.9958351227592,7581.071276877707
A-B06,A,R071595,3854.125877165741,5047.1687090757005,0.7279184248795054,853.7060476566429,5900.8747567323435
A-B04,A,R000025,3893.2234006226945,6156.856073479382,0.34074709206812726,1357.0287803114345,7513.884853790816
C-B01,C,R000604,4621.4236518705175,6436.260223975116,0.49890524378123646,1919.0386384739875,8355.298862449103
A-B03,A,R071593,4707.831924822383,5900.874756732343,0.7279184248795054,853.7060476566429,6754.580804388986
B-B03,B,R000215,4962.624517817816,6869.724400479458,0.2096367446678682,2036.6296425756952,8906.354043055153
C-B03,C,R000280,5429.563161678116,6859.446902873401,0.7309674882754471,1416.2371087365311,8275.684011609932
