架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
R000061,1,O01,S007,360.0,931.7220424571628,9.0,4538.900569056266,384.27317504882814,163.47317504882812,511.9731750488281,571.7220424571628,0.8538901572221236,0.114895010775884,0.9687851679980076
R000061,2,S007,O01,1141.7220424571628,1728.1640849143257,0.0,4538.900569056266,163.47317504882812,384.27317504882814,511.9731750488281,586.4420424571629,0.8170021024301278,0.04330903908411662,0.8603111415142445
R000086,1,O01,S011,360.0,684.2172617676404,22.0,2820.30369394606,167.66175537109376,83.26175537109376,295.36175537109375,324.2172617676404,0.6080443968771139,0.05837889176601834,0.6664232886431322
R000086,2,S011,O01,894.2172617676404,1224.0611902019475,0.0,2820.30369394606,83.26175537109376,167.66175537109376,295.36175537109375,329.8439284343071,0.5076546649102908,0.02205858310699463,0.5297132480172854
R000100,1,O01,S013,360.0,873.9976685110191,11.0,4854.131973304105,271.48182373046876,47.48182373046876,399.18182373046875,513.9976685110191,0.9279081638565257,0.08322614658737183,1.0111343104438977
R000100,2,S013,O01,1083.9976685110191,1612.9286703553717,0.0,4854.131973304105,47.48182373046876,271.48182373046876,399.18182373046875,528.9310018443524,0.8737437551947388,0.012579385939704051,0.8863231411344429
R002244,1,O01,S011,390.0,714.2172617676404,12.0,2820.30369394606,167.66175537109376,83.26175537109376,295.36175537109375,324.2172617676404,0.5438248651068072,0.052033360052320704,0.5958582251591279
R002244,2,S011,S008,894.2172617676404,1464.1470025049741,9.0,5354.211654473006,200.81650390625,142.01650390625002,412.91650390625,569.9297407373338,1.0072722594117278,0.06004274010891385,1.0673149995206417
R002244,3,S008,O01,1674.1470025049741,2482.7793849180125,0.0,8118.546464933021,102.00933227539065,245.20933227539064,372.9093322753906,808.6323824130383,1.4613383636879438,0.027025389071570514,1.4883637527595144
R000203,1,O01,S007,360.0,856.0736996395583,28.0,4538.900569056266,384.27317504882814,163.47317504882812,511.9731750488281,496.07369963955836,1.0568011173278011,0.13525615192604065,1.1920572692538418
R000203,2,S007,O01,1066.0736996395583,1576.8673992791169,0.0,4538.900569056266,163.47317504882812,384.27317504882814,511.9731750488281,510.79369963955844,0.648414367008038,0.040215536292394,0.6886299033004321
R000262,1,O01,S014,390.0,1002.2594907262705,25.0,5416.97109624562,464.2473876953125,240.9473876953125,591.9473876953125,612.2594907262705,1.1481930261141633,0.15813426643371584,1.306327292547879
R000262,2,S014,O01,1242.2594907262705,1869.4056481192079,0.0,5416.97109624562,240.9473876953125,464.2473876953125,591.9473876953125,627.1461573929372,0.7738530137493743,0.05927473061879475,0.833127744368169
R000490,1,O01,S002,480.0,1093.4686604672966,65.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,613.4686604672967,3.781664001153233,0.0925409957796097,3.8742049969328427
R000490,2,S002,O01,1489.4686604672966,2112.1173209345934,0.0,7443.597475979177,89.45425415039062,181.25425415039064,308.9542541503906,622.6486604672966,2.2903376849166697,0.023665309298515323,2.314002994215185
R000637,1,O01,S006,480.0,813.3142158050391,59.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,333.3142158050391,1.486988159973669,0.11630255148362055,1.6032907114572894
R000637,2,S006,O01,1209.314215805039,1561.3384316100783,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,352.02421580503915,0.9798745863928487,0.013570950271987913,0.9934455366648367
R000438,1,O01,S001,2071.3384316100783,2378.465302207721,76.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,1.8819633062940717,0.0802646078541438,1.9622279141482155
R000438,2,S001,O01,2810.465302207721,3123.2221728053637,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,312.7568705976427,0.9436427146198294,0.02356011173852285,0.9672028263583523
R000234,1,O01,S010,1966.8673992791169,2422.0466091990147,25.0,4783.786256708622,307.93653564453126,84.03653564453123,435.63653564453125,455.1792099198977,1.0139817844294003,0.10489088245391848,1.1188726668833189
