货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-MED-01,OPT-001,S001,医疗物资,是,1249.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-001,S001,医疗物资,否,1249.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-001,S001,饮用水,是,1249.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S012-FOD-01,OPT-002,S012,应急食品,否,1272.3825504313913,,7200,0.0,10
S012-MED-01,OPT-002,S012,医疗物资,是,1272.3825504313913,3600.0,7200,0.0,22
S012-WAT-01,OPT-002,S012,饮用水,是,1272.3825504313913,3600.0,3600,0.0,12
S014-FOD-01,OPT-003,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-003,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-003,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S009-FOD-01,OPT-004,S009,应急食品,否,1097.8914700010732,,14400,0.0,6
S001-WAT-08,OPT-004,S001,饮用水,否,1564.5157509816445,,3600,0.0,12
S002-MED-01,OPT-005,S002,医疗物资,是,1316.4995760418915,3600.0,3600,0.0,24
S002-WAT-04,OPT-005,S002,饮用水,否,1316.4995760418915,,3600,0.0,12
S004-MED-01,OPT-005,S004,医疗物资,是,1764.0807798984765,7200.0,7200,0.0,20
S003-FOD-02,OPT-006,S003,应急食品,否,1379.7896697616534,,10800,0.0,8
S007-WAT-02,OPT-006,S007,饮用水,否,1836.7259174083692,,3600,0.0,12
S003-MED-01,OPT-007,S003,医疗物资,是,1409.7896697616534,7200.0,7200,0.0,20
S007-MED-01,OPT-007,S007,医疗物资,是,1896.7259174083692,3600.0,3600,0.0,24
S007-WAT-01,OPT-007,S007,饮用水,是,1896.7259174083692,3600.0,3600,0.0,12
S002-FOD-01,OPT-008,S002,应急食品,否,1489.4686604673022,,7200,0.0,10
S002-FOD-02,OPT-008,S002,应急食品,否,1489.4686604673022,,7200,0.0,10
S002-HYG-01,OPT-008,S002,生活卫生用品,否,1489.4686604673022,,10800,0.0,8
S002-WAT-01,OPT-008,S002,饮用水,是,1489.4686604673022,3600.0,3600,0.0,12
S002-WAT-02,OPT-008,S002,饮用水,否,1489.4686604673022,,3600,0.0,12
S002-WAT-03,OPT-008,S002,饮用水,否,1489.4686604673022,,3600,0.0,12
S001-FOD-01,OPT-009,S001,应急食品,否,2745.126870597655,,7200,0.0,10
S001-FOD-02,OPT-009,S001,应急食品,否,2745.126870597655,,7200,0.0,10
S001-FOD-03,OPT-009,S001,应急食品,否,2745.126870597655,,7200,0.0,10
S001-HYG-01,OPT-009,S001,生活卫生用品,否,2745.126870597655,,10800,0.0,8
