架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U07,C,C-B01,0,O01→S001→O01,1561.8837411952854,2.929430740506568,7,76.0,0.159,3188.6045667491476
OPT-002,U05,B,B-B01,0,O01→S012→O01,1924.9051008627825,2.7581750126566105,3,25.0,0.067,3786.780939680647
OPT-003,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-004,U01,A,A-B01,0,O01→S009→S001→O01,1907.9138336033063,2.4115744989027657,2,22.0,0.055,2872.5436331644123
OPT-005,U02,A,A-B02,0,O01→S002→S004→O01,2575.1368911588734,3.505840126096946,3,20.0,0.051000000000000004,3977.4729415976517
OPT-006,U03,A,A-B03,0,O01→S003→S007→O01,2423.1679598655783,3.1391317253688933,2,22.0,0.055,3678.8206500131355
OPT-007,U04,A,A-B04,0,O01→S003→S007→O01,2483.1679598655783,3.11359360781819,3,20.0,0.051000000000000004,3728.605402992854
OPT-008,U08,C,C-B02,0,O01→S002→O01,2112.1173209346043,6.1317516136323755,6,64.0,0.172,4411.524176046745
OPT-009,U07,C,C-B03,1562,O01→S001→O01,3057.88374119531,2.3188805876118965,6,50.0,0.18100000000000002,3927.4639615497713
OPT-010,U06,B,B-B03,1870,O01→S010→O01,3425.285086506462,1.822944274911587,3,25.0,0.067,4881.8942723014825
OPT-011,U01,A,A-B05,1908,O01→S005→S009→O01,4144.170183333763,2.8231360103576364,3,20.0,0.051000000000000004,5273.424587476818
OPT-012,U05,B,B-B04,1925,O01→S013→O01,3436.124271245235,1.8264941955170582,3,25.0,0.067,4894.271755969294
OPT-013,U08,C,C-B04,2113,O01→S006→O01,3674.3384316100783,2.5967362481221263,6,59.0,0.156,5210.9544988098205
OPT-014,U03,A,A-B06,2424,O01→S001→S005→O01,4386.653842347059,2.2898964850756944,2,22.0,0.055,5302.612436377337
OPT-015,U02,A,A-B01,2873,O01→S008→S015→O01,5733.790582048261,3.5891140580567793,3,12.0,0.059,7169.436205270973
OPT-016,U07,C,C-B01,3189,O01→S007→S003→O01,5817.397719495653,6.274134076311515,6,68.0,0.178,8170.197998112471
OPT-017,U05,B,B-B02,3464,O01→S008→O01,5371.099882661642,3.1614530213285272,2,28.0,0.054,7407.729525237338
OPT-018,U04,A,A-B03,3680,O01→S008→S005→O01,6119.646021886456,3.455888018800953,2,22.0,0.055,7502.0012294068365
OPT-019,U06,B,B-B01,3787,O01→S005→O01,5306.81627588064,2.0964099212838105,2,28.0,0.054,6881.927241770291
OPT-020,U08,C,C-B03,3928,O01→S005→S004→O01,6514.9591117274995,6.370361232594339,6,62.0,0.179,8903.844573950377
OPT-021,U01,A,A-B02,4145,O01→S003→S007→O01,6568.167959865578,2.9916042174697743,2,16.0,0.056,7764.809646853488
OPT-022,U03,A,A-B04,4387,O01→S015→O01,6358.333646404271,2.564208132967173,2,22.0,0.055,7384.016899591141
OPT-023,U06,B,B-B03,5307,O01→S011→O01,6497.051067070412,1.078291014653385,3,25.0,0.067,7630.977173420211
