货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S008-FOD-01,OPT-001,S008,应急食品,否,1293.7766079974879,,10800,0.0,8
S008-MED-01,OPT-001,S008,医疗物资,是,1293.7766079974879,7200.0,7200,0.0,20
S008-WAT-01,OPT-001,S008,饮用水,是,1293.7766079974879,7200.0,7200,0.0,10
S014-FOD-01,OPT-002,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-002,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-002,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S006-FOD-01,OPT-003,S006,应急食品,否,1211.314215805039,,7200,0.0,10
S006-HYG-01,OPT-003,S006,生活卫生用品,否,1211.314215805039,,10800,0.0,8
S006-MED-01,OPT-003,S006,医疗物资,是,1211.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-003,S006,饮用水,是,1211.314215805039,3600.0,3600,0.0,12
S006-WAT-02,OPT-003,S006,饮用水,否,1211.314215805039,,3600,0.0,12
S006-WAT-03,OPT-003,S006,饮用水,否,1211.314215805039,,3600,0.0,12
S007-MED-01,OPT-004,S007,医疗物资,是,1143.7220424572092,3600.0,3600,0.0,24
S007-WAT-02,OPT-004,S007,饮用水,否,1143.7220424572092,,3600,0.0,12
S002-HYG-01,OPT-005,S002,生活卫生用品,否,1492.4686604672966,,10800,0.0,8
S002-MED-01,OPT-005,S002,医疗物资,是,1492.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,OPT-005,S002,饮用水,是,1492.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,OPT-005,S002,饮用水,否,1492.4686604672966,,3600,0.0,12
S002-WAT-03,OPT-005,S002,饮用水,否,1492.4686604672966,,3600,0.0,12
S002-WAT-04,OPT-005,S002,饮用水,否,1492.4686604672966,,3600,0.0,12
S009-MED-01,OPT-006,S009,医疗物资,是,1875.8350512450706,10800.0,10800,0.0,16
