架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U05,B,B-B01,0,O01→S008→O01,1967.0998826616424,2.9892366275213544,3,25.0,0.067,3929.1024212542297
OPT-002,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-003,U07,C,C-B01,2,O01→S006→O01,1563.3384316100783,2.5967362481221263,6,59.0,0.156,3099.954498809821
OPT-004,U01,A,A-B01,2,O01→S007→O01,1730.1640849144185,1.9070423597849167,2,17.0,0.039,2492.981028828385
OPT-005,U08,C,C-B02,3,O01→S002→O01,2115.1173209345934,6.188207991148028,6,65.0,0.155,4624.4236518705175
OPT-006,U02,A,A-B02,3,O01→S012→S009→O01,2440.5465212461404,3.2628481080697593,3,20.0,0.051000000000000004,3883.1470857996264
OPT-007,U03,A,A-B03,3,O01→S010→S013→O01,2074.020046420254,2.2896010155969475,3,20.0,0.051000000000000004,3235.460339814928
OPT-008,U07,C,C-B03,1564,O01→S001→O01,3125.8837411952854,2.929430740506568,7,76.0,0.159,4752.604566749147
OPT-009,U01,A,A-B04,1731,O01→S013→O01,3343.9286703553717,2.0273799456795905,2,22.0,0.055,4429.616210218364
OPT-010,U04,A,A-B05,1990,O01→S010→S012→O01,4469.659116243527,3.2056017100104066,2,16.0,0.056,5895.721832468756
OPT-011,U03,A,A-B06,2075,O01→S007→O01,3803.1640849144187,1.9726788391422425,2,22.0,0.055,4592.235620571316
OPT-012,U05,B,B-B03,2082,O01→S003→O01,4103.3260188192035,2.938689068215845,2,28.0,0.054,6043.424615046069
OPT-013,U08,C,C-B04,2116,O01→S001→S009→S011→O01,4591.909051870648,5.367237905002829,6,78.0,0.163,6878.869317808914
OPT-014,U06,B,B-B04,2612,O01→S003→O01,4693.326018819166,2.7820536096776225,3,25.0,0.067,6362.558184625739
OPT-015,U02,A,A-B01,2799,O01→S011→S015→O01,5075.4837554491605,2.5866042921387935,3,20.0,0.051000000000000004,6322.724995400367
OPT-016,U07,C,C-B01,3127,O01→S004→O01,5433.340988872751,6.183632102881447,6,59.0,0.156,7941.408016736476
OPT-017,U01,A,A-B03,3458,O01→S011→S015→O01,5674.4837554491605,2.4890045277483153,2,16.0,0.056,6893.529507909785
OPT-018,U03,A,A-B02,4008,O01→S003→O01,6271.63267285664,3.085974396838636,2,22.0,0.055,7506.022431592095
OPT-019,U05,B,B-B01,4104,O01→S008→O01,6011.099882661642,2.7764482897371288,2,20.0,0.062,7880.894141547731
OPT-020,U04,A,A-B04,4470,O01→S002→O01,6479.119152083769,2.9152424818363283,2,16.0,0.056,7821.300313503153
OPT-021,U08,C,C-B02,4626,O01→S005→O01,6506.836572104598,4.243375238123245,6,59.0,0.156,8489.417365762978
OPT-022,U06,B,B-B02,4694,O01→S007→S003→O01,6874.76827715357,2.3557760035044497,2,12.0,0.07,8562.271212005498
OPT-023,U07,C,C-B03,5434,O01→S001→O01,6863.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,8280.120849931816
