货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S002-HYG-01,OPT-001,S002,生活卫生用品,否,1489.4686604672966,,10800,0.0,8
S002-MED-01,OPT-001,S002,医疗物资,是,1489.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,OPT-001,S002,饮用水,是,1489.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,OPT-001,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-03,OPT-001,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-04,OPT-001,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S004-MED-01,OPT-002,S004,医疗物资,是,1404.349444593728,7200.0,7200,0.0,20
S004-WAT-01,OPT-002,S004,饮用水,是,1404.349444593728,7200.0,7200,0.0,10
S005-MED-01,OPT-002,S005,医疗物资,是,1916.7943649695617,10800.0,10800,0.0,16
S006-FOD-01,OPT-003,S006,应急食品,否,1209.314215805039,,7200,0.0,10
S006-HYG-01,OPT-003,S006,生活卫生用品,否,1209.314215805039,,10800,0.0,8
S006-MED-01,OPT-003,S006,医疗物资,是,1209.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-003,S006,饮用水,是,1209.314215805039,3600.0,3600,0.0,12
S006-WAT-02,OPT-003,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S006-WAT-03,OPT-003,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S007-WAT-01,OPT-004,S007,饮用水,是,1066.0736996395583,3600.0,3600,0.0,12
S007-WAT-02,OPT-004,S007,饮用水,否,1066.0736996395583,,3600,0.0,12
S008-FOD-01,OPT-005,S008,应急食品,否,1293.7766079974879,,10800,0.0,8
S008-MED-01,OPT-005,S008,医疗物资,是,1293.7766079974879,7200.0,7200,0.0,20
S008-WAT-01,OPT-005,S008,饮用水,是,1293.7766079974879,7200.0,7200,0.0,10
S009-MED-01,OPT-006,S009,医疗物资,是,1127.8914700010698,10800.0,10800,0.0,16
S012-MED-01,OPT-006,S012,医疗物资,是,1661.5785156002935,3600.0,7200,0.0,22
S012-WAT-01,OPT-006,S012,饮用水,是,1661.5785156002935,3600.0,3600,0.0,12
S010-MED-01,OPT-007,S010,医疗物资,是,1134.9089808650415,3600.0,3600,0.0,24
S010-WAT-01,OPT-007,S010,饮用水,是,1134.9089808650415,3600.0,3600,0.0,12
S013-MED-01,OPT-007,S013,医疗物资,是,1542.0890445759017,3600.0,3600,0.0,24
S013-FOD-01,OPT-008,S013,应急食品,否,1083.9976685110191,,7200,0.0,10
S013-WAT-01,OPT-008,S013,饮用水,是,1083.9976685110191,3600.0,3600,0.0,12
S001-MED-01,OPT-009,S001,医疗物资,是,2811.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-009,S001,医疗物资,否,2811.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-009,S001,饮用水,是,2811.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S014-FOD-01,OPT-010,S014,应急食品,否,2819.2594907262705,,7200,0.0,10
S014-MED-01,OPT-010,S014,医疗物资,是,2819.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-010,S014,饮用水,是,2819.2594907262705,3600.0,3600,0.0,12
S010-FOD-01,OPT-011,S010,应急食品,否,3542.8234687118193,,7200,0.0,10
S012-FOD-01,OPT-011,S012,应急食品,否,2918.828005645847,,7200,0.0,10
S003-FOD-01,OPT-012,S003,应急食品,否,3476.0786010773018,,10800,0.0,8
S003-FOD-02,OPT-012,S003,应急食品,否,3476.0786010773018,,10800,0.0,8
S007-MED-01,OPT-012,S007,医疗物资,是,3034.073699639558,3600.0,3600,0.0,24
S001-WAT-06,OPT-013,S001,饮用水,否,3188.1268705976427,,3600,0.0,12
S001-WAT-07,OPT-013,S001,饮用水,否,3188.1268705976427,,3600,0.0,12
S001-WAT-08,OPT-013,S001,饮用水,否,3188.1268705976427,,3600,0.0,12
S009-FOD-01,OPT-013,S009,应急食品,否,3692.9180212528777,,14400,0.0,6
S009-WAT-01,OPT-013,S009,饮用水,是,3692.9180212528777,10800.0,10800,0.0,8
S011-WAT-01,OPT-013,S011,饮用水,是,4283.753225773593,10800.0,10800,0.0,8
S011-MED-01,OPT-014,S011,医疗物资,是,3100.2172617676406,10800.0,10800,0.0,16
S015-MED-01,OPT-014,S015,医疗物资,是,3770.2569322470463,7200.0,7200,0.0,18
S015-WAT-01,OPT-014,S015,饮用水,是,3770.2569322470463,10800.0,10800,0.0,8
S011-FOD-01,OPT-015,S011,应急食品,否,3563.2172617676406,,14400,0.0,6
S015-FOD-01,OPT-015,S015,应急食品,否,4203.256932247046,,14400,0.0,6
S003-HYG-01,OPT-016,S003,生活卫生用品,否,4769.907032440201,,14400,0.0,6
S003-MED-01,OPT-016,S003,医疗物资,是,4769.907032440201,7200.0,7200,0.0,20
S003-WAT-01,OPT-016,S003,饮用水,是,4769.907032440201,7200.0,7200,0.0,10
S003-WAT-02,OPT-016,S003,饮用水,否,4769.907032440201,,7200,0.0,10
S003-WAT-03,OPT-016,S003,饮用水,否,4769.907032440201,,7200,0.0,10
S003-WAT-04,OPT-016,S003,饮用水,否,4769.907032440201,,7200,0.0,10
S004-HYG-01,OPT-017,S004,生活卫生用品,否,4692.110633393081,,14400,0.0,6
