架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U07,C,C-B01,0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,4621.4236518705175
OPT-002,U01,A,A-B01,0,O01→S004→S005→O01,2482.4117078051177,3.224728192988967,3,20.0,0.051000000000000004,3913.9998524463745
OPT-003,U08,C,C-B02,0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,3097.954498809821
OPT-004,U05,B,B-B01,0,O01→S007→O01,1576.8673992791169,1.880687172554274,2,28.0,0.054,3058.498507385969
OPT-005,U06,B,B-B02,0,O01→S008→O01,1967.0998826616424,2.9892366275213544,3,25.0,0.067,3929.1024212542297
OPT-006,U02,A,A-B02,0,O01→S009→S012→O01,2437.546521246141,3.2739002336073852,3,20.0,0.051000000000000004,3883.339922066052
OPT-007,U03,A,A-B03,0,O01→S010→S013→O01,2071.020046420254,2.2896010155969475,3,20.0,0.051000000000000004,3232.460339814928
OPT-008,U04,A,A-B04,0,O01→S013→O01,1612.9286703553717,2.0273799456795905,2,22.0,0.055,2698.6162102183644
OPT-009,U08,C,C-B03,1562,O01→S001→O01,3123.8837411952854,2.929430740506568,7,76.0,0.159,4750.604566749147
OPT-010,U05,B,B-B03,1577,O01→S014→O01,3446.405648119208,2.139455036916048,3,25.0,0.067,5040.169497449495
OPT-011,U04,A,A-B05,1613,O01→S012→S010→O01,4092.6591162435275,3.260284576773995,2,16.0,0.056,5534.519105089348
OPT-012,U06,B,B-B04,1968,O01→S007→S003→O01,4208.76827715357,2.5308484199305328,3,19.0,0.068,5972.135925790134
OPT-013,U07,C,C-B04,2113,O01→S001→S009→S011→O01,4588.909051870648,5.367237905002829,6,78.0,0.163,6875.869317808914
OPT-014,U03,A,A-B06,2206,O01→S011→S015→O01,4482.4837554491605,2.5866042921387935,3,20.0,0.051000000000000004,5729.724995400367
OPT-015,U01,A,A-B04,2699,O01→S011→S015→O01,4915.4837554491605,2.4890045277483153,2,16.0,0.056,6134.529507909785
OPT-016,U08,C,C-B02,3124,O01→S003→O01,5560.894064880402,6.2104506441401695,6,65.0,0.155,8076.2244476683645
OPT-017,U05,B,B-B01,3447,O01→S004→O01,5373.927933452829,2.6814146621746975,2,20.0,0.062,7202.540953728531
OPT-018,U02,A,A-B03,3752,O01→S004→O01,5937.405555854122,3.2067987733406556,2,22.0,0.055,7363.814090374756
OPT-019,U04,A,A-B01,4093,O01→S002→O01,6102.119152083769,2.9152424818363283,2,16.0,0.056,7444.300313503153
OPT-020,U06,B,B-B02,4209,O01→S008→O01,6116.099882661642,2.7764482897371288,2,20.0,0.062,7985.894141547731
OPT-021,U07,C,C-B01,4623,O01→S005→O01,6437.836572104598,4.148164634303663,5,56.0,0.144,8394.631160561841
OPT-022,U05,B,B-B03,5374,O01→S007→O01,6950.867399279117,1.55454865891701,2,14.0,0.063,8291.171818143155
OPT-023,U08,C,C-B03,5561,O01→S001→O01,6990.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,8407.120849931816
