货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-WAT-06,OPT-001,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S001-WAT-07,OPT-002,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S001-WAT-08,OPT-003,S001,饮用水,否,849.6447492883132,,3600,0.0,12
S002-HYG-01,OPT-004,S002,生活卫生用品,否,1489.4686604672966,,10800,0.0,8
S002-MED-01,OPT-004,S002,医疗物资,是,1489.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,OPT-004,S002,饮用水,是,1489.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,OPT-004,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-03,OPT-004,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S002-WAT-04,OPT-004,S002,饮用水,否,1489.4686604672966,,3600,0.0,12
S007-FOD-01,OPT-005,S007,应急食品,否,1348.039228814363,,7200,0.0,10
S007-HYG-01,OPT-005,S007,生活卫生用品,否,1348.039228814363,,10800,0.0,8
S007-MED-01,OPT-005,S007,医疗物资,是,1348.039228814363,3600.0,3600,0.0,24
S007-WAT-01,OPT-005,S007,饮用水,是,1348.039228814363,3600.0,3600,0.0,12
S007-WAT-02,OPT-005,S007,饮用水,否,1348.039228814363,,3600,0.0,12
S010-FOD-01,OPT-006,S010,应急食品,否,1085.1792099198976,,7200,0.0,10
S010-MED-01,OPT-006,S010,医疗物资,是,1085.1792099198976,3600.0,3600,0.0,24
S010-WAT-01,OPT-006,S010,饮用水,是,1085.1792099198976,3600.0,3600,0.0,12
S014-FOD-01,OPT-007,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-007,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-007,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S013-FOD-01,OPT-008,S013,应急食品,否,2619.0954689559508,,7200,0.0,10
S013-MED-01,OPT-008,S013,医疗物资,是,2619.0954689559508,3600.0,3600,0.0,24
S013-WAT-01,OPT-008,S013,饮用水,是,2619.0954689559508,3600.0,3600,0.0,12
S012-FOD-01,OPT-009,S012,应急食品,否,3142.3825504313913,,7200,0.0,10
S012-MED-01,OPT-009,S012,医疗物资,是,3142.3825504313913,3600.0,7200,0.0,22
S012-WAT-01,OPT-009,S012,饮用水,是,3142.3825504313913,3600.0,3600,0.0,12
S001-MED-01,OPT-010,S001,医疗物资,是,3158.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-010,S001,医疗物资,否,3158.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-010,S001,饮用水,是,3158.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-010,S001,饮用水,否,3158.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-010,S001,饮用水,否,3158.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-010,S001,饮用水,否,3158.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-010,S001,饮用水,否,3158.1268705976427,,3600,0.0,12
S006-FOD-01,OPT-011,S006,应急食品,否,3322.314215805039,,7200,0.0,10
S006-HYG-01,OPT-011,S006,生活卫生用品,否,3322.314215805039,,10800,0.0,8
S006-MED-01,OPT-011,S006,医疗物资,是,3322.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-011,S006,饮用水,是,3322.314215805039,3600.0,3600,0.0,12
S006-WAT-02,OPT-011,S006,饮用水,否,3322.314215805039,,3600,0.0,12
S006-WAT-03,OPT-011,S006,饮用水,否,3322.314215805039,,3600,0.0,12
S008-FOD-01,OPT-012,S008,应急食品,否,4362.776607997488,,10800,0.0,8
S008-MED-01,OPT-012,S008,医疗物资,是,4362.776607997488,7200.0,7200,0.0,20
S008-WAT-01,OPT-012,S008,饮用水,是,4362.776607997488,7200.0,7200,0.0,10
S001-FOD-01,OPT-013,S001,应急食品,否,4784.126870597643,,7200,0.0,10
S001-FOD-02,OPT-013,S001,应急食品,否,4784.126870597643,,7200,0.0,10
S001-FOD-03,OPT-013,S001,应急食品,否,4784.126870597643,,7200,0.0,10
S001-HYG-01,OPT-013,S001,生活卫生用品,否,4784.126870597643,,10800,0.0,8
S001-HYG-02,OPT-013,S001,生活卫生用品,否,4784.126870597643,,10800,0.0,8
S002-FOD-01,OPT-014,S002,应急食品,否,5229.205074664058,,7200,0.0,10
S002-FOD-02,OPT-014,S002,应急食品,否,5229.205074664058,,7200,0.0,10
S009-MED-01,OPT-014,S009,医疗物资,是,4827.406749812704,10800.0,10800,0.0,16
S003-HYG-01,OPT-015,S003,生活卫生用品,否,6268.907032440201,,14400,0.0,6
S003-MED-01,OPT-015,S003,医疗物资,是,6268.907032440201,7200.0,7200,0.0,20
S003-WAT-01,OPT-015,S003,饮用水,是,6268.907032440201,7200.0,7200,0.0,10
S003-WAT-02,OPT-015,S003,饮用水,否,6268.907032440201,,7200,0.0,10
S003-WAT-03,OPT-015,S003,饮用水,否,6268.907032440201,,7200,0.0,10
S003-WAT-04,OPT-015,S003,饮用水,否,6268.907032440201,,7200,0.0,10
S015-FOD-01,OPT-016,S015,应急食品,否,6255.676016016118,,14400,0.0,6
S015-MED-01,OPT-016,S015,医疗物资,是,6255.676016016118,7200.0,7200,0.0,18
S015-WAT-01,OPT-016,S015,饮用水,是,6255.676016016118,10800.0,10800,0.0,8
S004-FOD-01,OPT-017,S004,应急食品,否,6684.140494436376,,10800,0.0,8
S004-HYG-01,OPT-017,S004,生活卫生用品,否,6684.140494436376,,14400,0.0,6
S004-MED-01,OPT-017,S004,医疗物资,是,6684.140494436376,7200.0,7200,0.0,20
S004-WAT-01,OPT-017,S004,饮用水,是,6684.140494436376,7200.0,7200,0.0,10
S004-WAT-02,OPT-017,S004,饮用水,否,6684.140494436376,,7200,0.0,10
S004-WAT-03,OPT-017,S004,饮用水,否,6684.140494436376,,7200,0.0,10
S008-HYG-01,OPT-018,S008,生活卫生用品,否,7061.776607997488,,14400,0.0,6
S008-WAT-02,OPT-018,S008,饮用水,否,7061.776607997488,,7200,0.0,10
S009-FOD-01,OPT-019,S009,应急食品,否,8032.406749812704,,14400,0.0,6
S009-WAT-01,OPT-019,S009,饮用水,是,8032.406749812704,10800.0,10800,0.0,8
S005-FOD-01,OPT-020,S005,应急食品,否,8435.0532860523,,14400,0.0,6
S005-HYG-01,OPT-020,S005,生活卫生用品,否,8435.0532860523,,18000,0.0,4
S005-MED-01,OPT-020,S005,医疗物资,是,8435.0532860523,10800.0,10800,0.0,16
S005-WAT-01,OPT-020,S005,饮用水,是,8435.0532860523,10800.0,10800,0.0,8
S005-WAT-02,OPT-020,S005,饮用水,否,8435.0532860523,,10800,0.0,8
S005-WAT-03,OPT-020,S005,饮用水,否,8435.0532860523,,10800,0.0,8
S003-FOD-01,OPT-021,S003,应急食品,否,9024.636342742935,,10800,0.0,8
S003-FOD-02,OPT-021,S003,应急食品,否,9024.636342742935,,10800,0.0,8
S011-FOD-01,OPT-022,S011,应急食品,否,9445.212200201873,,14400,0.0,6
S011-MED-01,OPT-022,S011,医疗物资,是,9445.212200201873,10800.0,10800,0.0,16
S011-WAT-01,OPT-022,S011,饮用水,是,9445.212200201873,10800.0,10800,0.0,8
