架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U01,A,A-B01,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-002,U02,A,A-B02,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-003,U03,A,A-B03,0,O01→S001→O01,1193.0428319099597,1.2243670880422255,1,14.0,0.027,2046.7488795666027
OPT-004,U07,C,C-B01,0,O01→S002→O01,2112.1173209345934,6.188207991148028,6,65.0,0.155,4621.4236518705175
OPT-005,U08,C,C-B02,0,O01→S007→O01,1908.158457628726,3.4140282492727447,5,45.0,0.129,3666.124441806761
OPT-006,U05,B,B-B01,0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,3011.894272301483
OPT-007,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-008,U05,B,B-B03,1556,O01→S013→O01,3067.124271245235,1.8264941955170582,3,25.0,0.067,4525.271755969294
OPT-009,U06,B,B-B04,1870,O01→S012→O01,3794.9051008627825,2.7581750126566105,3,25.0,0.067,5656.780939680647
OPT-010,U08,C,C-B03,1909,O01→S001→O01,3470.8837411952854,2.929430740506568,7,76.0,0.159,5097.604566749147
OPT-011,U07,C,C-B04,2113,O01→S006→O01,3674.3384316100783,2.5967362481221263,6,59.0,0.156,5210.9544988098205
OPT-012,U05,B,B-B01,3069,O01→S008→O01,5036.099882661642,2.9892366275213544,3,25.0,0.067,6998.10242125423
OPT-013,U08,C,C-B02,3667,O01→S001→O01,5096.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,6513.120849931816
OPT-014,U06,B,B-B02,3795,O01→S009→S002→O01,5827.764692772957,2.5092211579755985,3,19.0,0.068,7581.760527895716
OPT-015,U07,C,C-B01,4623,O01→S003→O01,7059.894064880402,6.2104506441401695,6,65.0,0.155,9575.224447668365
OPT-016,U05,B,B-B03,5037,O01→S015→O01,6867.472032032237,2.3132950875600145,3,25.0,0.067,8536.56656997491
OPT-017,U08,C,C-B03,5098,O01→S004→O01,7404.340988872751,6.183632102881447,6,59.0,0.156,9912.408016736477
OPT-018,U06,B,B-B04,5828,O01→S008→O01,7735.099882661642,2.7764482897371288,2,20.0,0.062,9604.894141547731
OPT-019,U05,B,B-B01,7000,O01→S009→O01,8501.63349962541,2.0083283642048966,2,22.0,0.055,10038.575790780866
OPT-020,U07,C,C-B02,7060,O01→S005→O01,8940.8365721046,4.243375238123245,6,59.0,0.156,10923.417365762978
OPT-021,U06,B,B-B02,7736,O01→S003→O01,9757.326018819203,2.473006394588505,2,16.0,0.056,11495.628789807555
OPT-022,U05,B,B-B03,8538,O01→S011→O01,9728.051067070412,1.078291014653385,3,25.0,0.067,10861.977173420211
