架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U01,A,A-B01,0,O01→S001→S012→O01,2433.6136749363163,3.0660452015870154,3,20.0,0.051000000000000004,3819.3600665058984
OPT-002,U07,C,C-B01,0,O01→S001→O01,1429.8837411952854,2.7314244897906628,5,70.0,0.135,3002.977873846923
OPT-003,U08,C,C-B02,0,O01→S006→O01,1561.3384316100783,2.5967362481221263,6,59.0,0.156,3097.954498809821
OPT-004,U02,A,A-B02,0,O01→S007→O01,1728.1640849143257,1.9726788391420222,2,22.0,0.055,2798.0490828886877
OPT-005,U05,B,B-B01,0,O01→S010→O01,1555.285086506462,1.822944274911587,3,25.0,0.067,3011.894272301483
OPT-006,U03,A,A-B03,0,O01→S011→S015→O01,2276.4837554491605,2.5866042921387935,3,20.0,0.051000000000000004,3523.7249954003673
OPT-007,U04,A,A-B04,0,O01→S013→S012→O01,2399.8608598529595,2.982646637710893,3,14.0,0.052000000000000005,3761.5143329694397
OPT-008,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-009,U07,C,C-B03,1430,O01→S002→O01,3542.1173209345934,6.188207991148028,6,65.0,0.155,6051.4236518705175
OPT-010,U05,B,B-B03,1556,O01→S007→O01,3132.867399279117,1.657955381635115,2,20.0,0.062,4517.981397987666
OPT-011,U08,C,C-B04,1562,O01→S001→S009→S011→O01,4037.909051870648,5.367237905002829,6,78.0,0.163,6324.869317808914
OPT-012,U02,A,A-B05,1729,O01→S013→O01,3341.9286703553717,2.0273799456795905,2,22.0,0.055,4427.616210218364
OPT-013,U06,B,B-B04,1870,O01→S007→S003→O01,4110.76827715357,2.5308484199305328,3,19.0,0.068,5874.135925790134
OPT-014,U05,B,B-B01,3133,O01→S009→S002→O01,5165.764692772957,2.5092211579755985,3,19.0,0.068,6919.760527895716
OPT-015,U07,C,C-B01,3543,O01→S003→O01,5979.894064880402,6.2104506441401695,6,65.0,0.155,8495.224447668365
OPT-016,U08,C,C-B02,4038,O01→S004→O01,6344.340988872751,6.183632102881447,6,59.0,0.156,8852.408016736477
OPT-017,U06,B,B-B02,4111,O01→S008→O01,6078.099882661642,2.9892366275213544,3,25.0,0.067,8040.10242125423
OPT-018,U05,B,B-B03,5166,O01→S008→O01,7073.099882661642,2.7764482897371288,2,20.0,0.062,8942.894141547731
OPT-019,U07,C,C-B03,6053,O01→S001→O01,7482.883741195285,2.1522600937964227,5,36.0,0.15400000000000003,8899.120849931816
OPT-020,U06,B,B-B04,6079,O01→S011→S015→O01,8090.287114873651,2.050002119782333,2,16.0,0.056,9645.288033445995
OPT-021,U08,C,C-B04,6345,O01→S005→O01,8225.8365721046,4.243375238123245,6,59.0,0.156,10208.417365762978
