货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S004-MED-01,OPT-001,S004,医疗物资,是,1671.355596544723,7200.0,7200,0.0,20
S004-WAT-01,OPT-001,S004,饮用水,是,1671.355596544723,7200.0,7200,0.0,10
S005-MED-01,OPT-001,S005,医疗物资,是,1131.1306761688895,10800.0,10800,0.0,16
S006-FOD-01,OPT-002,S006,应急食品,否,1209.314215805039,,7200,0.0,10
S006-HYG-01,OPT-002,S006,生活卫生用品,否,1209.314215805039,,10800,0.0,8
S006-MED-01,OPT-002,S006,医疗物资,是,1209.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-002,S006,饮用水,是,1209.314215805039,3600.0,3600,0.0,12
S006-WAT-02,OPT-002,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S006-WAT-03,OPT-002,S006,饮用水,否,1209.314215805039,,3600,0.0,12
S007-WAT-01,OPT-003,S007,饮用水,是,1066.0736996395583,3600.0,3600,0.0,12
S007-WAT-02,OPT-003,S007,饮用水,否,1066.0736996395583,,3600,0.0,12
S009-MED-01,OPT-004,S009,医疗物资,是,1872.8350512450706,10800.0,10800,0.0,16
S012-MED-01,OPT-004,S012,医疗物资,是,1365.828005645847,3600.0,7200,0.0,22
S012-WAT-01,OPT-004,S012,饮用水,是,1365.828005645847,3600.0,3600,0.0,12
S010-MED-01,OPT-005,S010,医疗物资,是,1134.9089808650415,3600.0,3600,0.0,24
S010-WAT-01,OPT-005,S010,饮用水,是,1134.9089808650415,3600.0,3600,0.0,12
S013-MED-01,OPT-005,S013,医疗物资,是,1542.0890445759017,3600.0,3600,0.0,24
S013-FOD-01,OPT-006,S013,应急食品,否,1083.9976685110191,,7200,0.0,10
S013-WAT-01,OPT-006,S013,饮用水,是,1083.9976685110191,3600.0,3600,0.0,12
S014-FOD-01,OPT-007,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-007,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-007,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S002-HYG-01,OPT-008,S002,生活卫生用品,否,1490.4686604672966,,10800,0.0,8
S002-MED-01,OPT-008,S002,医疗物资,是,1490.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,OPT-008,S002,饮用水,是,1490.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,OPT-008,S002,饮用水,否,1490.4686604672966,,3600,0.0,12
S002-WAT-03,OPT-008,S002,饮用水,否,1490.4686604672966,,3600,0.0,12
S002-WAT-04,OPT-008,S002,饮用水,否,1490.4686604672966,,3600,0.0,12
S001-MED-01,OPT-009,S001,医疗物资,是,2811.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-009,S001,医疗物资,否,2811.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-009,S001,饮用水,是,2811.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-009,S001,饮用水,否,2811.1268705976427,,3600,0.0,12
S004-HYG-01,OPT-010,S004,生活卫生用品,否,2822.110633393081,,14400,0.0,6
S004-WAT-02,OPT-010,S004,饮用水,否,2822.110633393081,,7200,0.0,10
S010-FOD-01,OPT-011,S010,应急食品,否,2687.9089808650415,,7200,0.0,10
S012-FOD-01,OPT-011,S012,应急食品,否,3316.6911105976806,,7200,0.0,10
S003-FOD-01,OPT-012,S003,应急食品,否,3378.0786010773018,,10800,0.0,8
