货箱编号,架次编号,服务区编号,物资类型,是否首批保障,交付完成时刻_s,硬截止时刻_s,期望送达时刻_s,相对期望延误_s,应急优先系数
S001-MED-01,OPT-001,S001,医疗物资,是,1249.1268705976427,3600.0,3600,0.0,24
S001-MED-02,OPT-001,S001,医疗物资,否,1249.1268705976427,3600.0,3600,0.0,24
S001-WAT-01,OPT-001,S001,饮用水,是,1249.1268705976427,3600.0,3600,0.0,12
S001-WAT-02,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-03,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-04,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S001-WAT-05,OPT-001,S001,饮用水,否,1249.1268705976427,,3600,0.0,12
S007-FOD-01,OPT-002,S007,应急食品,否,1965.466070844108,,7200,0.0,10
S013-WAT-01,OPT-002,S013,饮用水,是,1053.9976685110191,3600.0,3600,0.0,12
S010-MED-01,OPT-003,S010,医疗物资,是,1521.184398888546,3600.0,3600,0.0,24
S010-WAT-01,OPT-003,S010,饮用水,是,1521.184398888546,3600.0,3600,0.0,12
S013-MED-01,OPT-003,S013,医疗物资,是,1083.9976685110191,3600.0,3600,0.0,24
S012-FOD-01,OPT-004,S012,应急食品,否,1272.3825504313913,,7200,0.0,10
S012-MED-01,OPT-004,S012,医疗物资,是,1272.3825504313913,3600.0,7200,0.0,22
S012-WAT-01,OPT-004,S012,饮用水,是,1272.3825504313913,3600.0,3600,0.0,12
S014-FOD-01,OPT-005,S014,应急食品,否,1242.2594907262705,,7200,0.0,10
S014-MED-01,OPT-005,S014,医疗物资,是,1242.2594907262705,3600.0,7200,0.0,22
S014-WAT-01,OPT-005,S014,饮用水,是,1242.2594907262705,3600.0,3600,0.0,12
S015-MED-01,OPT-006,S015,医疗物资,是,1259.1068232021144,7200.0,7200,0.0,18
S015-WAT-01,OPT-006,S015,饮用水,是,1259.1068232021144,10800.0,10800,0.0,8
S002-HYG-01,OPT-007,S002,生活卫生用品,否,1787.4686604672966,,10800,0.0,8
S002-MED-01,OPT-007,S002,医疗物资,是,1787.4686604672966,3600.0,3600,0.0,24
S002-WAT-01,OPT-007,S002,饮用水,是,1787.4686604672966,3600.0,3600,0.0,12
S002-WAT-02,OPT-007,S002,饮用水,否,1787.4686604672966,,3600,0.0,12
S002-WAT-03,OPT-007,S002,饮用水,否,1787.4686604672966,,3600,0.0,12
S002-WAT-04,OPT-007,S002,饮用水,否,1787.4686604672966,,3600,0.0,12
S006-FOD-01,OPT-008,S006,应急食品,否,2771.314215805039,,7200,0.0,10
S006-HYG-01,OPT-008,S006,生活卫生用品,否,2771.314215805039,,10800,0.0,8
S006-MED-01,OPT-008,S006,医疗物资,是,2771.314215805039,3600.0,3600,0.0,24
S006-WAT-01,OPT-008,S006,饮用水,是,2771.314215805039,3600.0,3600,0.0,12
S006-WAT-02,OPT-008,S006,饮用水,否,2771.314215805039,,3600,0.0,12
S006-WAT-03,OPT-008,S006,饮用水,否,2771.314215805039,,3600,0.0,12
