架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,货箱数,载货质量_kg,载货体积_m3,充满时刻_s
OPT-001,U07,C,C-B01,0,O01→S001→O01,1561.8837411952854,2.929430740506568,7,76.0,0.159,3188.6045667491476
OPT-002,U01,A,A-B01,0,O01→S013→S007→O01,2551.9081133012705,3.5288273702162645,2,22.0,0.055,4071.347131363747
OPT-003,U02,A,A-B02,0,O01→S013→S010→O01,2071.020046420254,2.326426759241623,3,20.0,0.051000000000000004,3243.0988879789447
OPT-004,U05,B,B-B01,0,O01→S012→O01,1924.9051008627825,2.7581750126566105,3,25.0,0.067,3786.780939680647
OPT-005,U06,B,B-B02,0,O01→S014→O01,1869.4056481192079,2.139455036916048,3,25.0,0.067,3463.1694974494953
OPT-006,U03,A,A-B03,0,O01→S015→O01,1971.3336464042286,2.4783192191146846,2,17.0,0.039,3187.2925319262486
OPT-007,U08,C,C-B02,298,O01→S002→O01,2410.1173209345934,6.188207991148028,6,65.0,0.155,4919.4236518705175
OPT-008,U07,C,C-B03,1562,O01→S006→O01,3123.3384316100783,2.5967362481221263,6,59.0,0.156,4659.9544988098205
OPT-009,U06,B,B-B03,1870,O01→S011→S007→O01,3738.8165933120413,1.6883155270744763,3,12.0,0.059,5137.086655044314
OPT-010,U05,B,B-B04,1925,O01→S007→O01,3501.867399279117,1.880687172554274,2,28.0,0.054,4983.498507385969
OPT-011,U08,C,C-B04,2411,O01→S001→S009→S011→O01,4886.909051870648,5.367237905002829,6,78.0,0.163,7173.869317808914
OPT-012,U07,C,C-B01,3189,O01→S003→O01,5625.894064880402,6.2104506441401695,6,65.0,0.155,8141.2244476683645
OPT-013,U05,B,B-B02,3502,O01→S009→S002→O01,5534.764692772957,2.5092211579755985,3,19.0,0.068,7288.760527895716
OPT-014,U06,B,B-B01,3787,O01→S013→S010→O01,5614.306384629693,1.8720417380209105,2,16.0,0.056,7092.191137772087
OPT-015,U08,C,C-B03,4887,O01→S004→O01,7193.340988872751,6.183632102881447,6,59.0,0.156,9701.408016736477
OPT-016,U05,B,B-B03,5535,O01→S008→O01,7502.099882661642,2.9892366275213544,3,25.0,0.067,9464.102421254229
OPT-017,U06,B,B-B04,5615,O01→S008→O01,7522.099882661642,2.7764482897371288,2,20.0,0.062,9391.894141547731
OPT-018,U07,C,C-B02,5626,O01→S001→S003→O01,8613.962196563587,6.2729650697129795,7,52.0,0.21000000000000002,11146.223569610853
OPT-019,U08,C,C-B04,7194,O01→S005→O01,9074.8365721046,4.243375238123245,6,59.0,0.156,11057.417365762978
OPT-020,U07,C,C-B01,8614,O01→S011→S015→O01,10804.219058639927,4.041917019190684,2,16.0,0.056,12732.238251337403
