方案,N,Cmax,能耗,加权延误,按期箱,受支配,帕累托
原基准25,25,6569.099882661642,71.37213553613768,0.0,80,False,★
cN23,23,6990.883741195285,71.41867116448185,0.0,80,True,
cN25,25,6860.883741195285,70.48490658436722,0.0,80,False,★
eN22,22,9757.326018819203,62.286118028359624,0.0,80,False,★
eN23,23,10262.051067070412,63.11265339239688,0.0,80,True,
lexN20,20,8776.8365721046,67.41612363311403,0.0,80,False,★
lexN21,21,8225.8365721046,66.78479093767294,0.0,80,False,★
lexN22,22,7375.836572104598,72.50351389034158,0.0,80,False,★
lexN23,23,6990.883741195285,69.75133202545094,0.0,80,False,★
minN20,20,10804.219058639928,70.98110686985706,0.0,80,True,
