点位编号,名称,类别,OSM编号,位置,经度,纬度
ST001,黎塘镇,乡镇,621892885,乡外,109.129485,23.20284
ST002,三里镇,乡镇,3155700108,乡外,109.3917952,23.0561446
ST003,云表镇,乡镇,3155700111,乡外,109.3858039,22.9062875
ST004,五里镇,乡镇,3155700112,乡外,109.3938582,22.9618298
ST005,黄练镇,乡镇,3722472095,乡外,109.3118097,23.1581487
ST006,定布,村庄,3810307024,乡外,109.3999847,23.1991
ST007,红坭,村庄,3810307026,乡外,109.3972304,23.183709
ST008,平龙,村庄,3810307030,乡外,109.4007833,23.2167599
ST009,覃塘街道,乡镇,3810307031,乡外,109.4158451,23.1373934
ST010,宾州,村庄,3909352213,乡外,109.407,23.0041
ST011,长塘,村庄,3909352214,乡外,109.42,23.0101
ST012,东流,村庄,3909352217,乡外,109.444,22.9915
ST013,吉水,村庄,3909352219,乡外,109.43,23.0314
ST014,吉塘,村庄,3909352220,乡外,109.426,23.0194
ST015,冷尾,村庄,3909352221,乡外,109.441,23.001
ST016,梁屋,村庄,3909352222,乡外,109.439,23.0675
ST017,隆兴,村庄,3909352225,乡外,109.404,23.0207
ST018,石社,村庄,3909352226,乡外,109.434,23.0465
ST019,旺六村,村庄,3909352228,乡外,109.422,23.0365
ST020,西域,村庄,3909352231,乡外,109.431,23.018
ST021,庞村,村庄,3909512213,乡外,109.043,22.9833
ST022,草衣,村庄,3910747325,乡外,109.198,22.9115
ST023,长安,村庄,3910747326,乡外,109.112,22.8748
ST024,呔赖,村庄,3910747327,乡外,109.127,22.9925
ST025,大料,村庄,3910747328,乡外,109.0774522,22.9257376
ST026,定里,村庄,3910747329,乡外,109.195,22.9419
ST027,逢村,村庄,3910747330,乡外,109.05,22.8954
ST028,高石,村庄,3910747331,乡外,109.058,22.9144
ST029,古逢,村庄,3910747332,乡外,109.123,22.9423
ST030,禾仓,村庄,3910747333,乡外,109.036,22.9238
ST031,何村,村庄,3910747334,乡外,109.161,22.9541
ST032,何代,村庄,3910747335,乡外,109.1,22.987
ST033,禾塘,村庄,3910747336,乡外,109.053,22.8853
ST034,黄村,村庄,3910747338,乡外,109.161,22.9317
ST035,江局,村庄,3910747339,乡外,109.104,22.9432
ST036,老村,村庄,3910747340,乡外,109.157,23.0117
ST037,李陆,村庄,3910747341,乡外,109.088,22.9789
