水体要素编号,多边形编号,环编号,点序号,名称,水体类型,OSM编号,经度,纬度
WS001,1,1,1,未记录,一般水体,387829312,109.0568256,22.8872183
WS001,1,1,2,未记录,一般水体,387829312,109.0562078,22.8867344
WS001,1,1,3,未记录,一般水体,387829312,109.0559838,22.8871258
WS001,1,1,4,未记录,一般水体,387829312,109.0556671,22.8875029
WS001,1,1,5,未记录,一般水体,387829312,109.0552655,22.8877021
WS001,1,1,6,未记录,一般水体,387829312,109.0552732,22.8878515
WS001,1,1,7,未记录,一般水体,387829312,109.0553427,22.8879227
WS001,1,1,8,未记录,一般水体,387829312,109.0558834,22.8878231
WS001,1,1,9,未记录,一般水体,387829312,109.0561151,22.8878942
WS001,1,1,10,未记录,一般水体,387829312,109.0564317,22.8880223
WS001,1,1,11,未记录,一般水体,387829312,109.0565785,22.8880579
WS001,1,1,12,未记录,一般水体,387829312,109.0569338,22.8884136
WS001,1,1,13,未记录,一般水体,387829312,109.0570882,22.8883709
WS001,1,1,14,未记录,一般水体,387829312,109.0573431,22.8882002
WS001,1,1,15,未记录,一般水体,387829312,109.057374,22.8880863
WS001,1,1,16,未记录,一般水体,387829312,109.0572118,22.8879227
WS001,1,1,17,未记录,一般水体,387829312,109.056872,22.8879298
WS001,1,1,18,未记录,一般水体,387829312,109.0566326,22.8877519
WS001,1,1,19,未记录,一般水体,387829312,109.0565785,22.88751
WS001,1,1,20,未记录,一般水体,387829312,109.0566171,22.8873961
WS001,1,1,21,未记录,一般水体,387829312,109.0568256,22.8872183
WS002,1,1,1,未记录,一般水体,387841468,109.0610081,22.8987419
WS002,1,1,2,未记录,一般水体,387841468,109.0609153,22.8983714
WS002,1,1,3,未记录,一般水体,387841468,109.0607143,22.8980723
WS002,1,1,4,未记录,一般水体,387841468,109.060521,22.8979868
WS002,1,1,5,未记录,一般水体,387841468,109.0603045,22.8979583
WS002,1,1,6,未记录,一般水体,387841468,109.0600957,22.8978158
WS002,1,1,7,未记录,一般水体,387841468,109.0595544,22.8978799
WS002,1,1,8,未记录,一般水体,387841468,109.0594848,22.8980224
WS002,1,1,9,未记录,一般水体,387841468,109.059624,22.898286
WS002,1,1,10,未记录,一般水体,387841468,109.0602658,22.8985495
WS002,1,1,11,未记录,一般水体,387841468,109.0604514,22.8985139
WS002,1,1,12,未记录,一般水体,387841468,109.0605596,22.8985994
WS002,1,1,13,未记录,一般水体,387841468,109.0605828,22.8987062
WS002,1,1,14,未记录,一般水体,387841468,109.0607684,22.8987917
WS002,1,1,15,未记录,一般水体,387841468,109.0610081,22.8987419
WS003,1,1,1,未记录,一般水体,387841470,109.062864,22.89627
WS003,1,1,2,未记录,一般水体,387841470,109.0622222,22.8966333
WS003,1,1,3,未记录,一般水体,387841470,109.0625624,22.8974027
WS003,1,1,4,未记录,一般水体,387841470,109.062949,22.8978301
WS003,1,1,5,未记录,一般水体,387841470,109.0629181,22.8981506
WS003,1,1,6,未记录,一般水体,387841470,109.0630805,22.8983643
WS003,1,1,7,未记录,一般水体,387841470,109.0633589,22.8983501
WS003,1,1,8,未记录,一般水体,387841470,109.0637842,22.8981934
WS003,1,1,9,未记录,一般水体,387841470,109.0639466,22.8982076
WS003,1,1,10,未记录,一般水体,387841470,109.0641322,22.8977517
WS003,1,1,11,未记录,一般水体,387841470,109.0641708,22.8974525
WS003,1,1,12,未记录,一般水体,387841470,109.0639388,22.8971747
WS003,1,1,13,未记录,一般水体,387841470,109.0637764,22.896904
WS003,1,1,14,未记录,一般水体,387841470,109.0633434,22.8967687
WS003,1,1,15,未记录,一般水体,387841470,109.0631424,22.8964552
WS003,1,1,16,未记录,一般水体,387841470,109.0629413,22.8963911
WS003,1,1,17,未记录,一般水体,387841470,109.062864,22.89627
WS004,1,1,1,未记录,一般水体,387841471,109.1289534,22.8912099
WS004,1,1,2,未记录,一般水体,387841471,109.1291619,22.8912597
WS004,1,1,3,未记录,一般水体,387841471,109.1294168,22.8913949
WS004,1,1,4,未记录,一般水体,387841471,109.130691,22.8918645
WS004,1,1,5,未记录,一般水体,387841471,109.130969,22.8917435
WS004,1,1,6,未记录,一般水体,387841471,109.1311698,22.8916439
WS004,1,1,7,未记录,一般水体,387841471,109.1311544,22.8914589
WS004,1,1,8,未记录,一般水体,387841471,109.1312548,22.8913878
WS004,1,1,9,未记录,一般水体,387841471,109.1314633,22.8913736
WS004,1,1,10,未记录,一般水体,387841471,109.1313243,22.8910819
WS004,1,1,11,未记录,一般水体,387841471,109.131332,22.8908613
