水系要素编号,点序号,名称,水系类型,OSM编号,长度_km,经度,纬度
WY001,1,镇龙江,河流,42367634,3.713,109.4093216,22.8741428
WY001,2,镇龙江,河流,42367634,3.713,109.4108236,22.8750918
WY001,3,镇龙江,河流,42367634,3.713,109.4135702,22.877306
WY001,4,镇龙江,河流,42367634,3.713,109.4147383,22.8780609
WY001,5,镇龙江,河流,42367634,3.713,109.4159735,22.8782549
WY001,6,镇龙江,河流,42367634,3.713,109.416437,22.8776697
WY001,7,镇龙江,河流,42367634,3.713,109.4163168,22.8771478
WY001,8,镇龙江,河流,42367634,3.713,109.4144285,22.8758826
WY001,9,镇龙江,河流,42367634,3.713,109.4137419,22.8746173
WY001,10,镇龙江,河流,42367634,3.713,109.4181708,22.869382
WY001,11,镇龙江,河流,42367634,3.713,109.4191149,22.8693425
WY001,12,镇龙江,河流,42367634,3.713,109.4209517,22.8703468
WY001,13,镇龙江,河流,42367634,3.713,109.4215268,22.8698011
WY001,14,镇龙江,河流,42367634,3.713,109.4215396,22.8690538
WY001,15,镇龙江,河流,42367634,3.713,109.4221705,22.8684962
WY001,16,镇龙江,河流,42367634,3.713,109.4247282,22.8657599
WY001,17,镇龙江,河流,42367634,3.713,109.4240416,22.8644946
WY001,18,镇龙江,河流,42367634,3.713,109.4219816,22.8632292
WY001,19,镇龙江,河流,42367634,3.713,109.4211473,22.8622239
WY001,20,镇龙江,河流,42367634,3.713,109.42098170831255,22.8615453
WY002,1,镇龙江,河流,42367634,0.645,109.42399683934514,22.8615453
WY002,2,镇龙江,河流,42367634,0.645,109.4241789,22.8625332
WY002,3,镇龙江,河流,42367634,0.645,109.4254149,22.8632608
WY002,4,镇龙江,河流,42367634,0.645,109.42865889497102,22.8615453
WY003,1,未记录,河流,184470363,23.364,109.2578766,23.2069551
WY003,2,未记录,河流,184470363,23.364,109.2593966,23.2059461
WY003,3,未记录,河流,184470363,23.364,109.2610854,23.2058685
WY003,4,未记录,河流,184470363,23.364,109.262141,23.204976
WY003,5,未记录,河流,184470363,23.364,109.2624223,23.2044118
WY003,6,未记录,河流,184470363,23.364,109.2626054,23.2040446
WY003,7,未记录,河流,184470363,23.364,109.264801,23.2023759
WY003,8,未记录,河流,184470363,23.364,109.2648432,23.2016386
WY003,9,未记录,河流,184470363,23.364,109.2663632,23.1993877
WY003,10,未记录,河流,184470363,23.364,109.2670388,23.198534
WY003,11,未记录,河流,184470363,23.364,109.2690232,23.1983787
WY003,12,未记录,河流,184470363,23.364,109.2700499,23.1963098
WY003,13,未记录,河流,184470363,23.364,109.2706278,23.1950846
WY003,14,未记录,河流,184470363,23.364,109.2711343,23.1928678
WY003,15,未记录,河流,184470363,23.364,109.2715442,23.1925362
WY003,16,未记录,河流,184470363,23.364,109.272399,23.192369
WY003,17,未记录,河流,184470363,23.364,109.2740898,23.1920916
WY003,18,未记录,河流,184470363,23.364,109.2755254,23.1894137
WY003,19,未记录,河流,184470363,23.364,109.2754832,23.1869298
WY003,20,未记录,河流,184470363,23.364,109.2764543,23.1862312
WY003,21,未记录,河流,184470363,23.364,109.2775098,23.1859983
WY003,22,未记录,河流,184470363,23.364,109.2787343,23.1865029
WY003,23,未记录,河流,184470363,23.364,109.279452,23.1864252
WY003,24,未记录,河流,184470363,23.364,109.2801276,23.1853773
WY003,25,未记录,河流,184470363,23.364,109.2811832,23.1851056
WY003,26,未记录,河流,184470363,23.364,109.2832098,23.1838636
WY003,27,未记录,河流,184470363,23.364,109.2849409,23.1835919
WY003,28,未记录,河流,184470363,23.364,109.2859965,23.1823888
WY003,29,未记录,河流,184470363,23.364,109.2877074,23.1809584
WY003,30,未记录,河流,184470363,23.364,109.2888309,23.1795942
WY003,31,未记录,河流,184470363,23.364,109.2894116,23.1792754
WY003,32,未记录,河流,184470363,23.364,109.2904194,23.1796515
WY003,33,未记录,河流,184470363,23.364,109.2939764,23.1790508
WY003,34,未记录,河流,184470363,23.364,109.2956231,23.1792837
WY003,35,未记录,河流,184470363,23.364,109.297312,23.177964
WY003,36,未记录,河流,184470363,23.364,109.2977342,23.1760621
WY003,37,未记录,河流,184470363,23.364,109.2994231,23.1753246
WY003,38,未记录,河流,184470363,23.364,109.3016609,23.1731898
WY003,39,未记录,河流,184470363,23.364,109.3024209,23.1697351
WY003,40,未记录,河流,184470363,23.364,109.3031809,23.1672897
WY003,41,未记录,河流,184470363,23.364,109.3049964,23.1658534
WY003,42,未记录,河流,184470363,23.364,109.3067275,23.1656593
WY003,43,未记录,河流,184470363,23.364,109.3089231,23.1644172
WY003,44,未记录,河流,184470363,23.364,109.3113704,23.1636476
WY003,45,未记录,河流,184470363,23.364,109.312318,23.1626792
WY003,46,未记录,河流,184470363,23.364,109.3129646,23.161613
WY003,47,未记录,河流,184470363,23.364,109.3136376,23.1611848
WY003,48,未记录,河流,184470363,23.364,109.3149863,23.1615958
WY003,49,未记录,河流,184470363,23.364,109.3152201,23.1612637
WY003,50,未记录,河流,184470363,23.364,109.3153971,23.1605485
WY003,51,未记录,河流,184470363,23.364,109.3159609,23.1596493
WY003,52,未记录,河流,184470363,23.364,109.3167114,23.1595374
WY003,53,未记录,河流,184470363,23.364,109.3177897,23.1596065
WY003,54,未记录,河流,184470363,23.364,109.3189974,23.1598867
WY003,55,未记录,河流,184470363,23.364,109.319576,23.1597002
WY003,56,未记录,河流,184470363,23.364,109.3200695,23.1590886
WY003,57,未记录,河流,184470363,23.364,109.3199211,23.1588253
WY003,58,未记录,河流,184470363,23.364,109.3198979,23.1578802
WY003,59,未记录,河流,184470363,23.364,109.3200275,23.1569639
WY003,60,未记录,河流,184470363,23.364,109.3206146,23.1561295
WY003,61,未记录,河流,184470363,23.364,109.3213838,23.1552859
WY003,62,未记录,河流,184470363,23.364,109.3227425,23.1532111
WY003,63,未记录,河流,184470363,23.364,109.3231595,23.1529529
WY003,64,未记录,河流,184470363,23.364,109.3237495,23.1532735
WY003,65,未记录,河流,184470363,23.364,109.3245821,23.1531718
WY003,66,未记录,河流,184470363,23.364,109.3247473,23.1529776
WY003,67,未记录,河流,184470363,23.364,109.3248475,23.1524838
WY003,68,未记录,河流,184470363,23.364,109.3238622,23.1508221
WY003,69,未记录,河流,184470363,23.364,109.3239119,23.1505972
