道路要素编号,点序号,名称,道路类型,OSM编号,经度,纬度
RD0001,1,柳南高速,高速公路,49177928,109.0378916,23.1863366
RD0001,2,柳南高速,高速公路,49177928,109.0377114,23.1858923
RD0001,3,柳南高速,高速公路,49177928,109.037064,23.1841633
RD0001,4,柳南高速,高速公路,49177928,109.0364936,23.1826466
RD0002,1,未记录,高速公路匝道,184466570,109.0404506,23.1930965
RD0002,2,未记录,高速公路匝道,184466570,109.0400503,23.1923319
RD0002,3,未记录,高速公路匝道,184466570,109.0395977,23.1912405
RD0002,4,未记录,高速公路匝道,184466570,109.0393755,23.1907751
RD0002,5,未记录,高速公路匝道,184466570,109.0391482,23.1904395
RD0002,6,未记录,高速公路匝道,184466570,109.0388563,23.1901794
RD0002,7,未记录,高速公路匝道,184466570,109.0383221,23.1898857
RD0002,8,未记录,高速公路匝道,184466570,109.037745,23.1895273
RD0002,9,未记录,高速公路匝道,184466570,109.0374108,23.1892202
RD0002,10,未记录,高速公路匝道,184466570,109.0372047,23.1889141
RD0002,11,未记录,高速公路匝道,184466570,109.0371027,23.1886244
RD0002,12,未记录,高速公路匝道,184466570,109.0370356,23.1882866
RD0002,13,未记录,高速公路匝道,184466570,109.0370288,23.1880956
RD0002,14,未记录,高速公路匝道,184466570,109.0370418,23.1878818
RD0002,15,未记录,高速公路匝道,184466570,109.0370766,23.18769
RD0002,16,未记录,高速公路匝道,184466570,109.037144,23.1874802
RD0002,17,未记录,高速公路匝道,184466570,109.0372244,23.1873003
RD0002,18,未记录,高速公路匝道,184466570,109.0373287,23.1871285
RD0002,19,未记录,高速公路匝道,184466570,109.0374353,23.1869706
RD0002,20,未记录,高速公路匝道,184466570,109.0375831,23.1868028
RD0002,21,未记录,高速公路匝道,184466570,109.0377287,23.1866509
RD0002,22,未记录,高速公路匝道,184466570,109.0379993,23.1864291
RD0002,23,未记录,高速公路匝道,184466570,109.0382482,23.1862633
RD0002,24,未记录,高速公路匝道,184466570,109.0385786,23.1860615
RD0002,25,未记录,高速公路匝道,184466570,109.0389569,23.1858437
RD0002,26,未记录,高速公路匝道,184466570,109.039378,23.185598
RD0002,27,未记录,高速公路匝道,184466570,109.039651,23.1854314
RD0002,28,未记录,高速公路匝道,184466570,109.0397938,23.1853119
RD0002,29,未记录,高速公路匝道,184466570,109.03998,23.1851326
RD0002,30,未记录,高速公路匝道,184466570,109.0405478,23.1847813
RD0002,31,未记录,高速公路匝道,184466570,109.0412217,23.1843968
RD0002,32,未记录,高速公路匝道,184466570,109.0415521,23.1841842
RD0002,33,未记录,高速公路匝道,184466570,109.0416869,23.1840587
RD0002,34,未记录,高速公路匝道,184466570,109.0418748,23.1838535
RD0002,35,未记录,高速公路匝道,184466570,109.0419845,23.1836204
RD0002,36,未记录,高速公路匝道,184466570,109.0420768,23.1834076
RD0002,37,未记录,高速公路匝道,184466570,109.042143,23.1831509
RD0002,38,未记录,高速公路匝道,184466570,109.0422688,23.1824031
RD0003,1,未记录,干线公路,184470364,109.3487317,23.1356871
RD0003,2,未记录,干线公路,184470364,109.3494567,23.1358643
RD0003,3,未记录,干线公路,184470364,109.3511098,23.1364954
RD0003,4,未记录,干线公路,184470364,109.3526811,23.1371207
RD0003,5,未记录,干线公路,184470364,109.3531841,23.1372029
RD0003,6,未记录,干线公路,184470364,109.3535703,23.1372079
RD0003,7,未记录,干线公路,184470364,109.3539494,23.137159
RD0003,8,未记录,干线公路,184470364,109.3543965,23.1370599
RD0003,9,未记录,干线公路,184470364,109.3547451,23.136907
RD0003,10,未记录,干线公路,184470364,109.3551582,23.1367195
RD0003,11,未记录,干线公路,184470364,109.355953,23.1360539
RD0003,12,未记录,干线公路,184470364,109.3567996,23.135345
RD0003,13,未记录,干线公路,184470364,109.3575293,23.1347759
RD0003,14,未记录,干线公路,184470364,109.3596856,23.1326569
RD0003,15,未记录,干线公路,184470364,109.36019,23.132191
RD0003,16,未记录,干线公路,184470364,109.3608284,23.1317963
RD0003,17,未记录,干线公路,184470364,109.3617881,23.1313211
RD0003,18,未记录,干线公路,184470364,109.3624377,23.1311748
RD0003,19,未记录,干线公路,184470364,109.3631887,23.1311304
