sid,g,d,zc,h_up,qmax,status,e_empty,e_full,limit
S001,A,3049.825996765557,273.0566101074219,145.3566101074219,25.0,RATED,1.1599772774572763,1.3109587873874664,3.6
S001,B,3049.825996765557,273.0566101074219,145.3566101074219,30.0,RATED,0.9289873520817151,1.2722416312546272,3.2
S001,C,3049.825996765557,273.0566101074219,145.3566101074219,80.0,RATED,1.9387672881760754,3.077542508590695,6.4
S002,A,7401.018943407115,308.9542541503906,181.25425415039064,25.0,RATED,2.7360126671166602,3.0861909625741646,3.6
S002,B,7401.018943407115,308.9542541503906,181.25425415039064,30.0,RATED,2.1811051279285536,2.9946303748986227,3.2
S002,C,7401.018943407115,308.9542541503906,181.25425415039064,68.99329468607903,ENERGY_LIMITED,4.6260166922222385,7.337616540802285,6.4
S003,A,7257.737671463026,561.8041381835938,434.10413818359376,25.0,RATED,2.786775560796092,3.1544059758633862,3.6
S003,B,7257.737671463026,561.8041381835938,434.10413818359376,30.0,RATED,2.235201476696738,3.0620548910323837,3.2
S003,C,7257.737671463026,561.8041381835938,434.10413818359376,68.28207440674305,ENERGY_LIMITED,4.640041547443584,7.376686379185747,6.4
S004,A,7702.886543553243,398.2391662597656,270.53916625976564,25.0,RATED,2.889616368683951,3.261818059337382,3.6
S004,B,7702.886543553243,398.2391662597656,270.53916625976564,30.0,RATED,2.3090749959482255,3.1650704239040293,3.2
S004,C,7702.886543553243,398.2391662597656,270.53916625976564,63.866591081023216,ENERGY_LIMITED,4.856648547084905,7.703617054128458,6.4
S005,A,5272.4922381201595,326.410888671875,198.710888671875,25.0,RATED,1.985467398338154,2.2415120211695374,3.6
S005,B,5272.4922381201595,326.410888671875,198.710888671875,30.0,RATED,1.5875558183195926,2.175004667514495,3.2
S005,C,5272.4922381201595,326.410888671875,198.710888671875,80.0,RATED,3.3318559861279624,5.284649418275553,6.4
S006,A,3184.5905322475596,366.09783935546875,238.39783935546876,25.0,RATED,1.2231235929963526,1.388963913337188,3.6
S006,B,3184.5905322475596,366.09783935546875,238.39783935546876,30.0,RATED,0.9810775105017318,1.3493241346244615,3.2
S006,C,3184.5905322475596,366.09783935546875,238.39783935546876,80.0,RATED,2.0363094912299013,3.251603824586306,6.4
S007,A,4530.942261914218,501.8304748535156,374.13047485351564,25.0,RATED,1.7707372897131244,2.0099931044387365,3.6
S007,B,4530.942261914218,501.8304748535156,374.13047485351564,30.0,RATED,1.4241817162977821,1.9520759113159576,3.2
S007,C,4530.942261914218,501.8304748535156,374.13047485351564,80.0,RATED,2.927670810779952,4.667325826206751,6.4
S008,A,8067.0258829765935,372.9093322753906,245.20933227539064,25.0,RATED,2.9960243810975906,3.382218125464049,3.6
S008,B,8067.0258829765935,372.9093322753906,245.20933227539064,28.86934893205762,ENERGY_LIMITED,2.3901956681317564,3.2823329654382634,3.2
S008,C,8067.0258829765935,372.9093322753906,245.20933227539064,59.09141585230827,ENERGY_LIMITED,5.0560874048575535,8.026111104852676,6.4
S009,A,5697.394369841792,293.2289123535156,165.52891235351564,25.0,RATED,2.1116051319968347,2.3836339370990562,3.6
S009,B,5697.394369841792,293.2289123535156,165.52891235351564,30.0,RATED,1.684045610319031,2.3132559915247177,3.2
S009,C,5697.394369841792,293.2289123535156,165.52891235351564,80.0,RATED,3.56654551160642,5.66183139041439,6.4
S010,A,4781.755392710525,435.63653564453125,307.93653564453126,25.0,RATED,1.825171727990101,2.0694573762303268,3.6
S010,B,4781.755392710525,435.63653564453125,307.93653564453126,30.0,RATED,1.4625456283448681,2.009804549960042,3.2
S010,C,4781.755392710525,435.63653564453125,307.93653564453126,80.0,RATED,3.046210290125625,4.855879164814478,6.4
S011,A,2804.1827906691688,293.3490295410156,165.64902954101564,25.0,RATED,1.0748499668825187,1.216695604591315,3.6
S011,B,2804.1827906691688,293.3490295410156,165.64902954101564,30.0,RATED,0.8618718051298363,1.1811088558273823,3.2
S011,C,2804.1827906691688,293.3490295410156,165.64902954101564,80.0,RATED,1.7909017615425193,2.847635200081702,6.4
S012,A,7383.1252842251615,413.2245788574219,285.5245788574219,25.0,RATED,2.7688043932903414,3.1280332725234015,3.6
S012,B,7383.1252842251615,413.2245788574219,285.5245788574219,30.0,RATED,2.212423708535809,3.0358587358628752,3.2
S012,C,7383.1252842251615,413.2245788574219,285.5245788574219,68.21664705872536,ENERGY_LIMITED,4.654182605351515,7.390897644100993,6.4
S013,A,4845.454047847754,399.18182373046875,271.48182373046876,25.0,RATED,1.8287805336751155,2.0724868635188374,3.6
S013,B,4845.454047847754,399.18182373046875,271.48182373046876,30.0,RATED,1.462802727517145,2.012751595586663,3.2
S013,C,4845.454047847754,399.18182373046875,271.48182373046876,80.0,RATED,3.0661143562250417,4.887622989600736,6.4
S014,A,5416.829534169398,591.9473876953125,464.2473876953125,25.0,RATED,2.1366958298001997,2.4243345670111838,3.6
S014,B,5416.829534169398,591.9473876953125,464.2473876953125,30.0,RATED,1.720971550297672,2.354003833052426,3.2
S014,C,5416.829534169398,591.9473876953125,464.2473876953125,80.0,RATED,3.519804132420221,5.604727548276811,6.4
S015,A,6002.804657651103,571.7992553710938,444.09925537109376,25.0,RATED,2.3042964739647136,2.6163996579285804,3.6
S015,B,6002.804657651103,571.7992553710938,444.09925537109376,30.0,RATED,1.8481390710241807,2.541669082158851,3.2
S015,C,6002.804657651103,571.7992553710938,444.09925537109376,80.0,RATED,3.837115737263333,6.126295009274548,6.4
