id,角色,lon,lat,地面海拔_m,距O01水平距离_km,航段巡航海拔_m,C型最大安全载荷_kg,C型状态,图中标记
O01,调度中心,109.2308517,23.0085095,127.7,0.0,,,,★金星
S001,服务区,109.2432319,23.0335927,154.0,3.05,273.1,80.0,RATED,○白点(达额定)
S002,服务区,109.2585519,23.0703271,189.5,7.401,309.0,68.99,ENERGY_LIMITED,●红点(受限)
S003,服务区,109.1688578,23.0402714,308.5,7.258,561.8,68.28,ENERGY_LIMITED,●红点(受限)
S004,服务区,109.2381714,23.0778414,198.3,7.703,398.2,63.87,ENERGY_LIMITED,●红点(受限)
S005,服务区,109.2283003,23.0561338,165.0,5.272,326.4,80.0,RATED,○白点(达额定)
S006,服务区,109.1997836,23.007714,284.8,3.185,366.1,80.0,RATED,○白点(达额定)
S007,服务区,109.1928191,23.0294186,318.5,4.531,501.8,80.0,RATED,○白点(达额定)
S008,服务区,109.2127472,23.0795113,240.9,8.067,372.9,59.09,ENERGY_LIMITED,●红点(受限)
S009,服务区,109.2541424,23.0552989,200.0,5.697,293.2,80.0,RATED,○白点(达额定)
S010,服务区,109.2760168,23.0194009,321.6,4.782,435.6,80.0,RATED,○白点(达额定)
S011,服务区,109.2203356,23.0319231,182.1,2.804,293.3,80.0,RATED,○白点(达额定)
S012,服务区,109.2831357,23.054464,249.8,7.383,413.2,68.22,ENERGY_LIMITED,●红点(受限)
S013,服务区,109.2713839,23.0310882,321.7,4.845,399.2,80.0,RATED,○白点(达额定)
S014,服务区,109.2835966,23.0052097,321.0,5.417,591.9,80.0,RATED,○白点(达额定)
S015,服务区,109.1923786,23.0494548,444.5,6.003,571.8,80.0,RATED,○白点(达额定)
