航线,起点lon,起点lat,终点lon,终点lat,水平距离_km,巡航海拔_m
O01->S001,109.2308517,23.0085095,109.2432319,23.0335927,3.05,273.1
O01->S002,109.2308517,23.0085095,109.2585519,23.0703271,7.401,309.0
O01->S003,109.2308517,23.0085095,109.1688578,23.0402714,7.258,561.8
O01->S004,109.2308517,23.0085095,109.2381714,23.0778414,7.703,398.2
O01->S005,109.2308517,23.0085095,109.2283003,23.0561338,5.272,326.4
O01->S006,109.2308517,23.0085095,109.1997836,23.007714,3.185,366.1
O01->S007,109.2308517,23.0085095,109.1928191,23.0294186,4.531,501.8
O01->S008,109.2308517,23.0085095,109.2127472,23.0795113,8.067,372.9
O01->S009,109.2308517,23.0085095,109.2541424,23.0552989,5.697,293.2
O01->S010,109.2308517,23.0085095,109.2760168,23.0194009,4.782,435.6
O01->S011,109.2308517,23.0085095,109.2203356,23.0319231,2.804,293.3
O01->S012,109.2308517,23.0085095,109.2831357,23.054464,7.383,413.2
O01->S013,109.2308517,23.0085095,109.2713839,23.0310882,4.845,399.2
O01->S014,109.2308517,23.0085095,109.2835966,23.0052097,5.417,591.9
O01->S015,109.2308517,23.0085095,109.1923786,23.0494548,6.003,571.8
